updated_publication,publication,updated_DOI,DOI,ID_PUB
"Ballouche, A., 1998. Dynamique des paysages végétaux sahélo-soudaniens et pratiques agro-pastorales à l'holocène: exemples au Burkina Faso (Holocene dynamic of Sahelo-sudanian vegetation landscapes and agro-pastoral practices: examples from Burkina Faso). Bulletin de l'Association de Géographes Français, 75(2), pp.191-200.","Ballouche, A. 1998. Dynamique des paysages végétaux Sahélo-soudaniens et pratiques agro-pastorales à l'Holocène: exemples du Burkina Faso. Monographies, Bulletin de l'Association de Géographes Français 2, 190-200.",10.3406/bagf.1998.2035,,1
"Baxter, A.J., 1996. Late Quaternary Palaeonenvironments of  the Sandveld, Western Cape Province, South Africa. PhD  Thesis, University of Cape Town, South Africa.;
Meadows, M.E., Baxter, A.J. and Adams, T., 1994. The late Holocene vegetation history of lowland fynbos, Verlorenvlei, southwestern Cape Province, South Africa. Historical Biology, 9(1-2), pp.47-59.","Baxter, A.J. 1996. Late Quaternary Palaeonenvironments of  the Sandveld, Western Cape Province, South Africa. PhD  Thesis, University of Cape Town, South Africa.;
Meadows, M.E., A.J. Baxter, T. Adams 1994. The Late Holocene  vegetation history of lowland fynbos, Verlorenvlei  southwestern Cape Province, South Africa. Historical  Biology 9, 47-59.",;\n10.1080/10292389409380487,,2
"Bonnefille, R. and Buchet, G., 1987. Contribution palynologique à l'histoire récente de la forêt de Wenchi (Ethiopie). Mémoires et Travaux de l'Ecole Pratique des Hautes Etudes, Institut de Montpellier 17, pp.143-158.","Bonnefille, R., G. Buchet. 1987. Contribution palynologique à l'histoire récente de la forêt de Wenchi (Ethiopie). Mémoires et Travaux de l'Ecole Pratique des Hautes Etudes, Institut de Montpellier 17,143-158.",,,3
"Bonnefille, R. and Riollet, G., 1988. The Kashiru pollen sequence (Burundi) palaeoclimatic implications for the last 40,000 yr BP in tropical Africa. Quaternary Research, 30(1), pp.19-35.;
Bonnefille, R., Chalié, F., Guiot, J. and Vincens, A., 1992. Quantitative estimates of full glacial temperatures in equatorial Africa from palynological data. Climate Dynamics, 6(3), pp.251-257.","Bonnefille, R., G. Riollet. 1988. The Kashiru Pollen Sequence (Burundi) Palaeoclimatic Implications for the last 40,000 yr BP in Tropical Africa. Quaternary Research 30, 19-35.;
Bonnefille, R., F. Chalié, J. Guiot, A. Vincens. 1992. Quantitative estimates of full glacial temperatures in equatorial Africa from palynological data. Climate Dynamics 6, 251-257.",10.1016/0033-5894(88)90085-3;\n10.1007/BF00193538,,4
"Carrión, J.S., Scott, L. and Vogel, J.C., 1999. Twentieth century changes in montane vegetation in the eastern Free State, South Africa, derived from palynology of hyrax dung middens. Journal of Quaternary Science 14(1), pp.1-16.;
Scott, L. and Vogel, J.C., 1992. Short-term changes of climate and vegetation revealed by pollen analysis of hyrax dung in South Africa. Review of Palaeobotany and Palynology, 74(3-4), pp.283-291.","Carrion, J.S., L. Scott, J.C. Vogel 1999. Twentieth century  changes in montane vegetation in the eastern Free State,  South Africa, derived from palynology of hyrax dung  midden. Journal of Quaternary Science 14,1, 1-16.;
Scott, L., J.C. Vogel 1992. Short-term changes of climat and  vegetation revealed by pollen analysis of Hyrax dung in  South Africa. Review of Palaeobotany and Palynology 74,  283-291.",10.1002/(SICI)1099-1417(199902)14:1<1::AID-JQS412>3.0.CO;2-Y;\n10.1016/0034-6667(92)90012-6,,5
"Darbyshire, I., Lamb, H. and Umer, M., 2003. Forest clearance and regrowth in northern Ethiopia during the last 3000 years. The Holocene, 13(4), pp.537-546.","Darbyshire, I., H. F. Lamb, M. U. Mohammed. 2003. Forest clearance and regrowth in northern Ethiopia during the last 3000 years.The Holocene 13, 4, 537-546.",10.1191/0959683603hl644rp,,6
"Dupont, L.M., Jahns, S., Marret, F. and Ning, S., 2000. Vegetation change in equatorial West Africa: time-slices for the last 150 ka. Palaeogeography, Palaeoclimatology, Palaeoecology, 155(1-2), pp.95-122.;
Jahns, S., 1996. Vegetation history and climate changes in West Equatorial Africa during the Late Pleistocene and Holocene, based on a marine pollen diagram from the Congo fan. Vegetation History and Archaeobotany, 5(3), pp.207-213.;
Dupont, L.M., Schneider, R.R., Schmüser, S. and Jahns, S. 1999.  Marine-terrestrial interaction of climate changes in West  Equatorial Africa of the last 190,000 years. Palaeoecology  of Africa 26, 61-84.","Dupont, L.M., S. Jahns, F. Marret, N. Shi 2000. Vegetation  change in equatorial West Africa: time-slices for the last  150 ka. Palaeogeography, Palaeoclimatology, Palaeoecology  155, 95-122.;
Jahns, S. 1996. Vegetation history and climate changes in  West Equatorial Africa during the Late Pleistocene and  Holocene, based on a marine pollen diagram from the Congo  fan. Vegetation History and Archaeobotany 5, 207-213.;
Dupont, L.M., R.R. Schneider, S. Schmüser, S. Jahns 1999.  Marine-terrestrial interaction of climate changes in West  Equatorial Africa of the last 190,000 years. Palaeoecology  of Africa 26, 61-84.",10.1016/S0031-0182(99)00095-4;\n10.1007/BF00217498;\n,,7
"Laseski, R. A., 1983. Modern pollen data and Holocene climate change in Eastern Africa. Unpublished Thesis, Brown University, 269 p.","Laseski, R. A. 1983. Modern pollen data and Holocene climate change in Eastern Africa. Unpublished Thesis, Brown University, 269 p.",,,8
"Legesse, D., Gasse, F., Radakovitch, O., Vallet-Coulomb, C., Bonnefille, R., Verschuren, D., Gibert, E. and Barker, P., 2002. Environmental changes in a tropical lake (Lake Abiyata, Ethiopia) during recent centuries. Palaeogeography, Palaeoclimatology, Palaeoecology, 187(3-4), pp.233-258.","Legesse, D., F. Gasse, O. Radakovitch, C. Vallet-Coulomb, R. Bonnefille, D. Verschuren, E. Gibert, P. Barker. 2002. Environmental changes in a tropical lake (Lake Abiyata, Ethiopia) during recent centuries. Palaeogegraphy, Palaeoclimatology, Palaeoecology 187, 233-258.",10.1016/S0031-0182(02)00479-0,,9
"Leroy, S.A.G. and Dupont., L., 1994. Development of vegetation and  continental aridity in northwestern Africa during the Late Pleistocene: the pollen record of ODP Site 658. Palaeogeography, Palaeoclimatology, Palaeoecology 109, 295-316.;
Dupont, L.M., 1992. Marine palynology of interglacial-glacial  transitions. In: Kukla G., Went E. (eds). Start of a  Glacial. NATO, ASI Series I, 3, Springer, Heidelberg  137-155.;
Dupont, L.M., 1989. Palynology of the last 680,000 years of  ODP Site 658 (off NW-Africa): fluctuations in paleowind systems. In: Leinen M., Sarnthein M. (eds). Paleoclimatology and Paleometeorology: Modern and Past Patterns of Global Atmospheric Transport. NATO ASI Series  C282, Kluwer Academic Publishers, 779-794.;
Dupont, L.M. and Hooghiemstra, H., 1989. The Saharan–Sahelian boundary during the Brunhes chron. Acta Botanica Neerlandica, 38(4), pp.405-415.","Leroy, S. A. G., L. Dupont. 1994. Development of vegetation and  continental aridity in northwestern Africa during the Late Pleistocene: the pollen record of ODP Site 658. Palaeogeography, Palaeoclimatology, Palaeoecology 109, 295-316.;
Dupont, L. M. 1992. Marine palynology of interglacial-glacial  transitions. In: Kukla G., Went E. (eds). Start of a  Glacial. NATO, ASI Series I, 3, Springer, Heidelberg  137-155.;
Dupont, L. M. 1989. Palynology of the last 680,000 years of  ODP Site 658 (off NW-Africa): fluctuations in paleowind systems. In: Leinen M., Sarnthein M. (eds). Paleoclimatology and Paleometeorology: Modern and Past Patterns of Global Atmospheric Transport. NATO ASI Series  C282, Kluwer Academic Publishers, 779-794.;
Dupont, L. M., H. Hooghiemstra. 1989. The Saharan-Sahelian  boundary during the Brunhes chron. Acta Botanica  Neerlandica 38, 405-415.",10.1016/0031-0182(94)90181-3;\n10.1007/978-3-642-76954-2_11;\n;\n10.1111/j.1438-8677.1989.tb01372.x,,10
