ID_SAMPLE,entity_name,latitude,longitude,elevation_new,elevation_original,diff
1,AlbaSanchez_a1,36.66366,-5.04162,1264,1192,0.06040268456375839
2,AlbaSanchez_a2,36.66343,-5.05957,1199,1123,0.06767586821015138
3,AlbaSanchez_a3,36.66917,-5.05044,1264,1113,0.13566936208445643
4,AlbaSanchez_a4,36.61151,-5.01804,771,769,0.002600780234070221
5,AlbaSanchez_a5,36.66655,-5.03367,1293,1192,0.08473154362416108
6,AlbaSanchez_a6,36.68877,-5.02554,1486,1655,0.10211480362537764
7,AlbaSanchez_a7,36.6904,-5.03423,1486,1483,0.0020229265003371545
8,AlbaSanchez_a8,36.69814,-5.03876,1283,1366,0.06076134699853587
9,AlbaSanchez_a9,36.70322,-4.96761,1178,1252,0.05910543130990415
10,AlbaSanchez_a10,36.70322,-4.96582,1178,1140,0.03333333333333333
11,AlbaSanchez_a11,36.64856,-5.04177,1162,1456,0.20192307692307693
12,AlbaSanchez_a12,36.64856,-5.03144,996,1006,0.009940357852882704
13,AlbaSanchez_a13,36.69548,-5.019,1486,1634,0.09057527539779682
14,AlbaSanchez_a14,36.69592,-5.0167,1486,1634,0.09057527539779682
15,AlbaSanchez_a15,36.69353,-5.01459,1567,1733,0.09578765147143682
16,AlbaSanchez_a16,36.70011,-5.01851,1388,1386,0.001443001443001443
17,AlbaSanchez_a17,36.70214,-5.02261,1388,1386,0.001443001443001443
18,AlbaSanchez_a18,36.71336,-5.01423,1501,1332,0.12687687687687688
19,AlbaSanchez_a19,36.71097,-5.01487,1388,1332,0.042042042042042045
20,AlbaSanchez_a20,36.70631,-5.01623,1388,1569,0.11536010197578075
21,AlbaSanchez_a21,36.70521,-5.0177,1388,1386,0.001443001443001443
22,AlbaSanchez_a23,36.67838,-4.99694,1567,1765,0.11218130311614731
23,AlbaSanchez_a25,36.68781,-4.98794,1428,1596,0.10526315789473684
24,AlbaSanchez_a26,36.6831,-5.00165,1567,1646,0.0479951397326853
25,AlbaSanchez_a27,36.69101,-5.01865,1486,1663,0.10643415514131088
26,AlbaSanchez_a28,36.69262,-5.0395,1308,1366,0.0424597364568082
27,AlbaSanchez_a29,36.7439,-4.98172,904,851,0.06227967097532315
28,AlbaSanchez_a30,36.7425,-4.98415,904,859,0.05238649592549476
29,AlbaSanchez_a31,36.72546,-5.00475,1189,1046,0.1367112810707457
30,AlbaSanchez_a32,36.72651,-4.9841,1213,1097,0.105742935278031
31,AlbaSanchez_a33,36.72632,-4.99253,1213,1157,0.04840103716508211
32,AlbaSanchez_a34,36.73175,-4.97169,1081,1197,0.09690893901420217
33,AlbaSanchez_a35,36.72254,-4.96644,1081,1114,0.0296229802513465
34,AlbaSanchez_a36,36.71362,-4.98044,1457,1397,0.04294917680744453
35,AlbaSanchez_a37,36.71267,-4.98061,1457,1397,0.04294917680744453
36,AlbaSanchez_a38,36.71493,-5.00146,1501,1575,0.04698412698412698
37,AlbaSanchez_a39,36.71856,-4.99042,1213,1348,0.10014836795252226
