updated_publication,publication,updated_DOI,DOI,ID_PUB
"Birks, H.H., 1972. Studies in the vegetational history of Scotland: III. A radiocarbon-dated pollen diagram from Loch Maree, Ross and Cromatry. New Phytologist 71(4),  pp.731-754.","Birks, H.H. 1972. Studies in the vegetational history of Scotland. A radiocarbon-dated pollen diagram from Loch Maree, Ross and Cromatry. New Phytologist 71(4):731-754.",10.1111/j.1469-8137.1972.tb01285.x,10.1111/j.1469-8137.1972.tb01285.x,1
"Cheddadi, R. and Khater, C., 2016. Climate change since the last glacial period in Lebanon and the persistence of Mediterranean species. Quaternary Science Reviews, 150, pp.146-157.","Cheddadi, R., and C. Khater. 2016. Climate change since the last glacial period in Lebanon and the persistence of Mediterranean species. Quaternary Science Reviews 150:146-157",10.1016/j.quascirev.2016.08.010,10.1016/j.quascirev.2016.08.010,2
"Fossitt, J.A., 1994. Modern pollen rain in the northwest of the British Isles. The Holocene, 4(4), pp.365-376.","Fossitt, J.A. 1994. Modern pollen rain in the northwest of the British Isles. The Holocene 4(4):365-376.",10.1177/095968369400400404,10.1177/095968369400400404,3
"Hájková, P., Grootjans, A.B., Lamentowicz, M., Rybníčková, E., Madaras, M., Opravilová, V., Michaelis, D., Hájek, M., Joosten, H. and Wołejko, L., 2012. How a Sphagnum fuscum‐dominated bog changed into a calcareous fen: the unique Holocene history of a Slovak spring‐fed mire. Journal of Quaternary Science, 27(3), pp.233-243.","Hájková, P., A. Grootjans, M. Lamentowicz, E. Rybníčková, M. Madaras, V. Opravilová, D. Michaelis, M. Hájek, H. Joosten, and L. Wołejko. 2012. How a Sphagnum fuscum-dominated bog changed into a calcareous fen: the unique Holocene history of a Slovak spring-fed mire. Journal of Quaternary Science 27(3):233–243.",10.1002/jqs.1534,10.1002/jqs.1534,4
"Hájková, P., Pařil, P., Petr, L., Chattová, B., Grygar, T.M. and Heiri, O., 2016. A first chironomid-based summer temperature reconstruction (13–5 ka BP) around 49 N in inland Europe compared with local lake development. Quaternary Science Reviews, 141, pp.94-111.","Hájková, P., P. Pařil, L. Petr, B. Chattová, T.M. Grygar, and O. Heiri. 2016. A first chironomid-based summer temperature reconstruction (13–5 ka BP) around 49°N in inland Europe compared with local lake development. Quaternary Science Reviews 141:94-11.",10.1016/j.quascirev.2016.04.001,10.1016/j.quascirev.2016.04.001,5
"Jamrichová, E., Gálová, A., Gašpar, A., Horsák, M., Frodlová, J., Hájek, M., Hajnalová, M. and Hájková, P., 2018. Holocene development of two calcareous spring fens at the Carpathian-Pannonian interface controlled by climate and human impact. Folia Geobotanica, 53(3), pp.243-263.","Jamrichová, E., A. Gálová, A. Gašpar, M. Horsák, J. Frodlová, M. Hájek, M. Hajnalová, and P. Hájková. 2018. Holocene development of two calcareous spring fens at the Carpathian-Pannonian interface controlled by climate and human impact. Folia Geobotanica 53:243-263.",10.1007/s12224-018-9324-5,10.1007/s12224-018-9324-5,6
"Kuneš, P., Pokorný, P., Jankovská, V., 2007. Post-glacial vegetation development in sandstone areas of the Czech Republic, in: Härtel, H., Cıĺek, V., Herben, T., Jackson, A., Williams, R. (Eds.), Sandstone Landscapes. Academia, Praha, Czech Republic, pp. 244–257. ","Kuneš, P., P. Pokorný, and V. Jankovská. 2007. Post-glacial vegetation development in sandstone areas of Czech Republic. Pages 224-257 in H. Härtel, V. Cílek, T. Herben, A. Jackson, and R. Williams, editors. Sandstone landscapes. Academia, Prague, Czech Republic.;",,,7
"Kuneš, P., Abraham, V., Werchan, B., Plesková, Z., Fajmon, K., Jamrichová, E. and Roleček, J., 2019. Relative pollen productivity estimates for vegetation reconstruction in central-eastern Europe inferred at local and regional scales. The Holocene, 29(11), pp.1708-1719.","Kuneš, P., V. Abraham, B. Werchan, Z. Plesková, K. Fajmon, E. Jamrichová, and J. Roleček. 2019. Relative pollen productivity estimates for vegetation reconstruction in central-eastern Europe inferred at local and regional scales. The Holocene 29: 1708-1719",10.1177/0959683619862026,10.1177/0959683619862026,8
"Roleček, J., Svitavská Svobodová, H., Jamrichová, E., Dudová, L., Hájková, P., Kletetschka, G., Kuneš, P. and Abraham, V., 2020. Conservation targets from the perspective of a palaeoecological reconstruction: the case study of Dářko peat bog in the Czech Republic. Preslia 92(2), pp.87-114.","Roleček, J., H. Svitavská Svobodová, E. Jamrichová, L. Dudová, P. Hájková, G. Kletetschka, P. Kuneš, and V. Abraham. 2020. Conservation targets from the perspective of a palaeoecological reconstruction: the case study of Dářko peat bog in the Czech Republic. Preslia 92(2):87-114.",10.23855/preslia.2020.087,10.23855/preslia.2020.087,9
"Rybníčková, E., Hájková, P. and Rybníček, K., 2005. The origin and development of spring fen vegetation and ecosystems–palaeogeobotanical results, in: Poulíčková, A., Hájek, A., Rybníček, K. (Eds.), Ecology and palaeoecology of spring fens of the West Carpathians. Palacký University Olomouc, Academy of Sciences of the Czech Republic, Masaryk University Brno, Olomouc, Czech Republic, pp.29-62.","Rybníčková, E., P. Hájková, and K. Rybníček. 2005. The origin and development of spring fen vegetation and ecosystems - palaeogeobotanical results. Pages 29-57 in A. Poulíčková, M. Hájek, and K. Rybníček, editors. Ecology and palaeoecology of spring fens of the West Carpathians. Palacký University Olomouc, Academy of Sciences of the Czech Republic, Masaryk University Brno, Olomouc.;",,,10
