"source","site_name","entity_name","latitude","longitude","elevation","basin_size","site_type","entity_type","age_BP","ID_SAMPLE","publication","doi","ID_BIOME"
"EMPD2","Vilaboa saltmarsh (Ría de Vigo)","MunozSobrino_a1 (Vilaboa J1)",42.356717,-8.629817,1,"unknown","unknown","sediment","assumed modern",2239,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ría de Vigo)","MunozSobrino_a2 (Vilaboa S1)",42.356867,-8.629928,1,"unknown","unknown","sediment","assumed modern",2240,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ría de Vigo)","MunozSobrino_a3 (Vilaboa J2)",42.35685,-8.629833,1,"unknown","unknown","sediment","assumed modern",2241,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ría de Vigo)","MunozSobrino_a4 (Vilaboa S2)",42.356700000000004,-8.630017,1,"unknown","unknown","sediment","assumed modern",2242,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ría de Vigo)","MunozSobrino_a5 (Vilaboa J3)",42.356483,-8.63005,1,"unknown","unknown","sediment","assumed modern",2243,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a6 (Vilaboa S3)",42.35635,-8.63,1,"unknown","unknown","sediment","assumed modern",2244,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a7 (Vilaboa S4)",42.356133,-8.630217,1,"unknown","unknown","sediment","assumed modern",2245,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a8 (Vilaboa J4)",42.356717,-8.630183,1,"unknown","unknown","sediment","assumed modern",2246,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a9 (Vilaboa S5)",42.356717,-8.630183,1,"unknown","unknown","sediment","assumed modern",2247,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a10 (Vilaboa J5)",42.356717,-8.630017,1,"unknown","unknown","sediment","assumed modern",2248,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a11 (Vilaboa H1)",42.356717,-8.629933,1,"unknown","unknown","sediment","assumed modern",2249,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a12 (Vilaboa H2)",42.355633,-8.629817,1,"unknown","unknown","sediment","assumed modern",2250,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a13 (Vilaboa H3)",42.35555,-8.629933,1,"unknown","unknown","sediment","assumed modern",2251,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a14 (Vilaboa H4)",42.35525,-8.629817,1,"unknown","unknown","sediment","assumed modern",2252,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a15 (Vilaboa H5)",42.355117,-8.63,1,"unknown","unknown","sediment","assumed modern",2253,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a16 (Vilaboa P1)",42.352367,-8.635217,1,"unknown","unknown","sediment","assumed modern",2254,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a17 (Vilaboa P2)",42.352317,-8.635317,1,"unknown","unknown","sediment","assumed modern",2255,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a18 (Vilaboa P3)",42.352383,-8.635367,1,"unknown","unknown","sediment","assumed modern",2256,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a19 (Vilaboa P4)",42.3525,-8.635367,1,"unknown","unknown","sediment","assumed modern",2257,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a20 (Vilaboa P5)",42.352567,-8.635267,1,"unknown","unknown","sediment","assumed modern",2258,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a21 (Vilaboa B1)",42.350433,-8.634783,1,"unknown","unknown","sediment","assumed modern",2259,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a22 (Vilaboa B4)",42.35015,-8.633683,1,"unknown","unknown","sediment","assumed modern",2260,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a23 (Vilaboa B3)",42.350067,-8.633667,1,"unknown","unknown","sediment","assumed modern",2261,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a24 (Vilaboa B2)",42.350367,-8.634117,1,"unknown","unknown","sediment","assumed modern",2262,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a25 (Vilaboa B5)",42.35035,-8.634717,1,"unknown","unknown","sediment","assumed modern",2263,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
