"updated_publication","publication","doi","updated_DOI","DOI","ID_PUB"
NA,"Adam, D.P. 1975. A late Holocene pollen record from Pearson's Pond, Weeks Creek landslide, San Francisco peninsula, California. Journal of Research of the U.S. Geological Survey 3(6):721-731. [DOI: 10.3133/70007411]","10.3133/70007411",NA,"10.3133/70007411",1
NA,"Ager, T.A. 1975. Late Quaternary environmental history of the Tanana Valley, Alaska. Institute of Polar Studies Report 54. Ohio State University, Columbus, Ohio, USA.;
Ager, T.A. 1972. Surficial geology and Quaternary history of the Healy Lake area, Alaska. Thesis. Department of Geology, University of Alaska, Fairbanks, Alaska, USA.;
Anderson, J.H. 1975. A palynological study of late Holocene vegetation and climate in the Healy Lake Area of Alaska. Arctic 28:62-69.",NA,NA,"",2
NA,"Ager, T.A. 1975. Late Quaternary environmental history of the Tanana Valley, Alaska. Institute of Polar Studies Report 54. Ohio State University, Columbus, Ohio, USA.;
Anderson, J.H. 1975. A palynological study of late Holocene vegetation and climate in the Healy Lake Area of Alaska. Arctic 28:62-69.;
Reeburgh, W.S., and M.S. Young. 1976. University of Alaska radiocarbon dates 1. Radiocarbon 18:1-15.",NA,NA,"",3
NA,"Ager, T.A. 1980. A 16,000 year pollen record from St. Michael Island, Norton Sound, western Alaska. Page 3 in American Quaternary Association, Sixth Biennial Meeting, Abstracts and Program, 18-20 August 1980. Institute for Quaternary Studies, University of Maine, Orono, Maine, USA.;
Ager, T.A. 1982. Vegetational history of western Alaska during the WIsconsin glacial interval and the Holocene. Pages 75-93 in D.M. Hopkins, J.V. Matthews, Jr., C.E. Schweger, and S.B. Young, editors. Paleoecology of Beringia. Academic Press, New York, New York, USA.;
Ager, T.A., and J.P. Bradbury. 1982. Quaternary history of vegetation and climate of the Yukon Delta-Norton Sound Area. In W.L. Conrad, editor. The United States Geological Survey in Alaska: Accomplishments during 1981. U.S. Geological Survey Circular 868:103-105.;
Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.",NA,NA,"",4
NA,"Ager, T.A. 1982. Pollen studies of Quaternary-age sediments in the Tanana Valley (Alaska). Pages 64-67 in W. Conrad, editor. United States Geological Survey in Alaska: Accomplishments during 1980. USGS Circular 844.;
Ager, T.A. 1983. Holocene vegetational history of Alaska. Pages 128-141 in H.E. Wright, Jr., editor. Late-Quaternary Environments of the United States. Volume 2. The Holocene. University of Minnesota Press. Minneapolis, Minnesota, USA.;
Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Nakao, K., J. La Perriere, and T.A. Ager. 1980. Climatic changes in interior Alaska. Pages 16-23 in K. Nakao, editor. Climatic Changes in Interior Alaska. Hokkaido Univesity, Department of Geophysics, Sapporo, Japan.",NA,NA,"",5
NA,"Ager, T.A. 1983. Holocene vegetational history of Alaska. Pages 128-141 in H.E. Wright, Jr., editor. Late-Quaternary Environments of the United States. Volume 2. The Holocene. University of Minnesota Press. Minneapolis, Minnesota, USA.;
Ager, T.A., and J.D. Sims. 1984. Postglacial pollen and tephra records from lakes in the Cook Inlet region, southern Alaska. Pages 103-105 in W.L. Conrad and R.L. Elliot, editors. The United States Geological Survey in Alaska: Accomplishments During 1981. U.S. Geological Survey Circular 868.;
Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Rymer, M.J., and J.D. Sims. 1982. Lake-sediment evidence for the date of deglaciation of the Hidden Lake area, Kenai Peninsula, Alaska. Geology 10:314-316.",NA,NA,"",6
NA,"Ager, T.A. 2019. Late Quaternary vegetation development following deglaciation of northwestern Alexander Archipelago, Alaska. Frontiers in Earth Science 7:104. [DOI: 10.3389/feart.2019.00104]","10.3389/feart.2019.00104",NA,"10.3389/feart.2019.00104",7
NA,"Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Edwards, M.E., P.M. Anderson, H.L. Garfinkel, and L.B. Brubaker. 1985. Late Wisconsin and Holocene vegetational history of the Upper Koyukuk region, Brooks Range, Alaska. Canadian Journal of Botany 63:616-626.",NA,NA,"",8
NA,"Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Miller, R.D., and E. Dobrovolny. 1959. Surficial geology of Anchorage and vicinity, Alaska. U.S. Geological Survey Bulletin 1093, 128 p.",NA,NA,"",9
NA,"Ager, T.A., P.E. Carrara, J.I. Smith, V. Anne, and J. Johnson. 2010. Postglacial vegetation history of Mitkof Island, Alexander Archipelago,

southeastern Alaska. Quaternary Research 73:259-268.",NA,NA,"",10
NA,"Albert, B.M. 2004. Pollen analyses of Middle to Late Holocene palaeo-channel deposits from the Big Sandy Creek flood plain adjacent to 41UR77 in Upshur County, Texas. Pages 81-95 in K.L. Perttula and R.A. Ricklis, editors. Archaeological Testing at 41UR77 on Big Sandy Creek, Upshur County, Texas. Coastal Environments. Corpus Christi, Texas, USA.",NA,NA,"",11
NA,"Albert, B.M. 2011. Acidification and pine expansion in East Texas according to pollen evidence from dual cores in alluvium. Castanea 76(2):164-177.",NA,NA,"",12
NA,"Albert, L.E., and D.G. Wyckoff, editors. 1981. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma. Studies in Oklahoma's Past 7. Oklahoma Archaeological Survey, Norman, Oklahoma, USA.;
Hall, S.A. 1983. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma (by L.E. Albert). [Book Review] Plains Anthropologist 28:150-151.",NA,NA,"",13
NA,"Allen, K.E. 1992. Geochemical stratigraphy of Medicine Lake, South Dakota: Paleoclimatic implications of the freshwater/ saline transition. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.;
Radle, N.J. 1981. Vegetation history and lake-level changes at a saline lake in northeastern South Dakota. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,"",14
NA,"Almendinger, J.C. 1992. The late Holocene history of prairie, brush-prairie, and jack pine (Pinus banksiana) forest on outwash plains, north-central Minnesota, USA. The Holocene 2(1):37-50. [DOI: 10.1177/095968369200200105]","10.1177/095968369200200105",NA,"10.1177/095968369200200105",15
NA,"Almendinger, J.C. 1992. The late Holocene history of prairie, brush-prairie, and jack pine (Pinus banksiana) forest on outwash plains, north-central Minnesota, USA. The Holocene 2(1):37-50. [DOI: 10.1177/095968369200200105];
Almendinger, J.C. 1985. The late-Holocene development of jack pine forests on outwash plains, north-central Minnesota. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.","10.1177/095968369200200105];",NA,"10.1177/095968369200200105",16
NA,"Almquist-Jacobson, H., and D. Sanger. 1995. Holocene climate and vegetation in the Milford drainage basin, Maine, U.S.A., and their implications for human history. Vegetation History and Archaeobotany 4:211-222.",NA,NA,"",17
NA,"Almquist-Jacobson, H., J.E. Almendinger, and S.E. Hobbie. 1992. Influence of terrestrial vegetation on sediment-forming processes in kettle lakes of west-central Minnesota. Quaternary Research 38(1):103-116.;
Almendinger, J.E. 1988. Lake and groundwater paleohydrology: a groundwater model to explain past lake levels in west-central Minnesota. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,"",18
NA,"Alt, M., D.B. McWethy, R. Everett, and C. Whitlock. 2018. Millennial scale climate-fire-vegetation interactions in a mid-elevation mixed coniferous forest, Mission Range, northwestern Montana, USA. Quaternary Research 90:66-82.",NA,NA,"",19
NA,"Alwin, B.C. 1982. Vegetation history of the Sugar Hills area, Itasca Co., Minnesota. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,"",20
NA,"Anderson, L., A. Brunelle, and R.S. Thompson. 2015. A multi-proxy record of hydroclimate, vegetation, fire, and post-settlement impacts for a subalpine plateau, central Rocky Mountains, U.S.A. The Holocene 25(6):932-943. [DOI: 10.1177/0959683615574583]","10.1177/0959683615574583",NA,"10.1177/0959683615574583",21
NA,"Anderson, P.M. 1985. Late Quaternary vegetational change in the Kotzebue Sound area, northwestern Alaska. Quaternary Research 24:307-321.",NA,NA,"",22
NA,"Anderson, P.M. 1988. Late Quaternary pollen records from the Kobuk and Noatak River drainages, northwestern Alaska. Quaternary Research 29:263-276.",NA,NA,"",23
NA,"Anderson, P.M., A.V. Lozhkin, W.R. Eisner, D.M. Hopkins, L.B. Brubaker, and P.A. Colinvaux. 1994. Pollen records from Ten Mile and Wonder Lake, Alaska. Geographie Physique et Quaternaire 48(2):131-141..",NA,NA,"",24
NA,"Anderson, P.M., R.E. Reanier, and L.B. Brubaker. 1988. Late Quaternary vegetational history of the Black River region in northeastern Alaska. Canadian Journal of Earth Sciences 25:84-94.",NA,NA,"",25
