updated_publication,publication,updated_DOI,DOI,ID_PUB
"Adam, D.P. 1975. A late Holocene pollen record from Pearson's Pond, Weeks Creek landslide, San Francisco peninsula, California. Journal of Research of the U.S. Geological Survey 3(6):721-731.","Adam, D.P. 1975. A late Holocene pollen record from Pearson's Pond, Weeks Creek landslide, San Francisco peninsula, California. Journal of Research of the U.S. Geological Survey 3(6):721-731. [DOI: 10.3133/70007411]",10.3133/70007411,10.3133/70007411,1
"Ager, T.A. 1975. Late Quaternary environmental history of the Tanana Valley, Alaska. Institute of Polar Studies Report 54. Ohio State University, Columbus, Ohio, USA.;
Ager, T.A. 1972. Surficial geology and Quaternary history of the Healy Lake area, Alaska. Thesis. Department of Geology, University of Alaska, Fairbanks, Alaska, USA.;
Anderson, J.H. 1975. A palynological study of late Holocene vegetation and climate in the Healy Lake Area of Alaska. Arctic 28:62-69.","Ager, T.A. 1975. Late Quaternary environmental history of the Tanana Valley, Alaska. Institute of Polar Studies Report 54. Ohio State University, Columbus, Ohio, USA.;
Ager, T.A. 1972. Surficial geology and Quaternary history of the Healy Lake area, Alaska. Thesis. Department of Geology, University of Alaska, Fairbanks, Alaska, USA.;
Anderson, J.H. 1975. A palynological study of late Holocene vegetation and climate in the Healy Lake Area of Alaska. Arctic 28:62-69.",,,2
"Ager, T.A. 1975. Late Quaternary environmental history of the Tanana Valley, Alaska. Institute of Polar Studies Report 54. Ohio State University, Columbus, Ohio, USA.;
Anderson, J.H. 1975. A palynological study of late Holocene vegetation and climate in the Healy Lake Area of Alaska. Arctic 28:62-69.;
Reeburgh, W.S., and M.S. Young. 1976. University of Alaska radiocarbon dates 1. Radiocarbon 18:1-15.","Ager, T.A. 1975. Late Quaternary environmental history of the Tanana Valley, Alaska. Institute of Polar Studies Report 54. Ohio State University, Columbus, Ohio, USA.;
Anderson, J.H. 1975. A palynological study of late Holocene vegetation and climate in the Healy Lake Area of Alaska. Arctic 28:62-69.;
Reeburgh, W.S., and M.S. Young. 1976. University of Alaska radiocarbon dates 1. Radiocarbon 18:1-15.",,,3
"Ager, T.A. 1980. A 16,000 year pollen record from St. Michael Island, Norton Sound, western Alaska. Page 3 in American Quaternary Association, Sixth Biennial Meeting, Abstracts and Program, 18-20 August 1980. Institute for Quaternary Studies, University of Maine, Orono, Maine, USA.;
Ager, T.A. 1982. Vegetational history of western Alaska during the WIsconsin glacial interval and the Holocene. Pages 75-93 in D.M. Hopkins, J.V. Matthews, Jr., C.E. Schweger, and S.B. Young, editors. Paleoecology of Beringia. Academic Press, New York, New York, USA.;
Ager, T.A., and J.P. Bradbury. 1982. Quaternary history of vegetation and climate of the Yukon Delta-Norton Sound Area. In W.L. Conrad, editor. The United States Geological Survey in Alaska: Accomplishments during 1981. U.S. Geological Survey Circular 868:103-105.;
Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.","Ager, T.A. 1980. A 16,000 year pollen record from St. Michael Island, Norton Sound, western Alaska. Page 3 in American Quaternary Association, Sixth Biennial Meeting, Abstracts and Program, 18-20 August 1980. Institute for Quaternary Studies, University of Maine, Orono, Maine, USA.;
Ager, T.A. 1982. Vegetational history of western Alaska during the WIsconsin glacial interval and the Holocene. Pages 75-93 in D.M. Hopkins, J.V. Matthews, Jr., C.E. Schweger, and S.B. Young, editors. Paleoecology of Beringia. Academic Press, New York, New York, USA.;
Ager, T.A., and J.P. Bradbury. 1982. Quaternary history of vegetation and climate of the Yukon Delta-Norton Sound Area. In W.L. Conrad, editor. The United States Geological Survey in Alaska: Accomplishments during 1981. U.S. Geological Survey Circular 868:103-105.;
Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.",,,4
"Ager, T.A. 1982. Pollen studies of Quaternary-age sediments in the Tanana Valley (Alaska). Pages 64-67 in W. Conrad, editor. United States Geological Survey in Alaska: Accomplishments during 1980. USGS Circular 844.;
Ager, T.A. 1983. Holocene vegetational history of Alaska. Pages 128-141 in H.E. Wright, Jr., editor. Late-Quaternary Environments of the United States. Volume 2. The Holocene. University of Minnesota Press. Minneapolis, Minnesota, USA.;
Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Nakao, K., J. La Perriere, and T.A. Ager. 1980. Climatic changes in interior Alaska. Pages 16-23 in K. Nakao, editor. Climatic Changes in Interior Alaska. Hokkaido Univesity, Department of Geophysics, Sapporo, Japan.","Ager, T.A. 1982. Pollen studies of Quaternary-age sediments in the Tanana Valley (Alaska). Pages 64-67 in W. Conrad, editor. United States Geological Survey in Alaska: Accomplishments during 1980. USGS Circular 844.;
Ager, T.A. 1983. Holocene vegetational history of Alaska. Pages 128-141 in H.E. Wright, Jr., editor. Late-Quaternary Environments of the United States. Volume 2. The Holocene. University of Minnesota Press. Minneapolis, Minnesota, USA.;
Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Nakao, K., J. La Perriere, and T.A. Ager. 1980. Climatic changes in interior Alaska. Pages 16-23 in K. Nakao, editor. Climatic Changes in Interior Alaska. Hokkaido Univesity, Department of Geophysics, Sapporo, Japan.",,,5
"Ager, T.A. 1983. Holocene vegetational history of Alaska. Pages 128-141 in H.E. Wright, Jr., editor. Late-Quaternary Environments of the United States. Volume 2. The Holocene. University of Minnesota Press. Minneapolis, Minnesota, USA.;
Ager, T.A., and J.D. Sims. 1984. Postglacial pollen and tephra records from lakes in the Cook Inlet region, southern Alaska. Pages 103-105 in W.L. Conrad and R.L. Elliot, editors. The United States Geological Survey in Alaska: Accomplishments During 1981. U.S. Geological Survey Circular 868.;
Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Rymer, M.J., and J.D. Sims. 1982. Lake-sediment evidence for the date of deglaciation of the Hidden Lake area, Kenai Peninsula, Alaska. Geology 10:314-316.","Ager, T.A. 1983. Holocene vegetational history of Alaska. Pages 128-141 in H.E. Wright, Jr., editor. Late-Quaternary Environments of the United States. Volume 2. The Holocene. University of Minnesota Press. Minneapolis, Minnesota, USA.;
Ager, T.A., and J.D. Sims. 1984. Postglacial pollen and tephra records from lakes in the Cook Inlet region, southern Alaska. Pages 103-105 in W.L. Conrad and R.L. Elliot, editors. The United States Geological Survey in Alaska: Accomplishments During 1981. U.S. Geological Survey Circular 868.;
Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Rymer, M.J., and J.D. Sims. 1982. Lake-sediment evidence for the date of deglaciation of the Hidden Lake area, Kenai Peninsula, Alaska. Geology 10:314-316.",,,6
"Ager, T.A. 2019. Late Quaternary vegetation development following deglaciation of northwestern Alexander Archipelago, Alaska. Frontiers in Earth Science 7:104.","Ager, T.A. 2019. Late Quaternary vegetation development following deglaciation of northwestern Alexander Archipelago, Alaska. Frontiers in Earth Science 7:104. [DOI: 10.3389/feart.2019.00104]",10.3389/feart.2019.00104,10.3389/feart.2019.00104,7
"Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Edwards, M.E., P.M. Anderson, H.L. Garfinkel, and L.B. Brubaker. 1985. Late Wisconsin and Holocene vegetational history of the Upper Koyukuk region, Brooks Range, Alaska. Canadian Journal of Botany 63:616-626.","Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Edwards, M.E., P.M. Anderson, H.L. Garfinkel, and L.B. Brubaker. 1985. Late Wisconsin and Holocene vegetational history of the Upper Koyukuk region, Brooks Range, Alaska. Canadian Journal of Botany 63:616-626.",,,8
"Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Miller, R.D., and E. Dobrovolny. 1959. Surficial geology of Anchorage and vicinity, Alaska. U.S. Geological Survey Bulletin 1093, 128 p.","Ager, T.A., and L.B. Brubaker. 1985. Quaternary palynology and vegetational history of Alaska. Pages 353-384 in V.M. Bryant, Jr. and R.G. Holloway, editors. Pollen records of late Quaternary North American sediments. American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.;
Miller, R.D., and E. Dobrovolny. 1959. Surficial geology of Anchorage and vicinity, Alaska. U.S. Geological Survey Bulletin 1093, 128 p.",,,9
"Ager, T.A., Carrara, P.E., Smith, J.L., Anne, V. and Johnson, J., 2010. Postglacial vegetation history of Mitkof Island, Alexander Archipelago, southeastern Alaska. Quaternary Research, 73(2), pp.259-268.","Ager, T.A., P.E. Carrara, J.I. Smith, V. Anne, and J. Johnson. 2010. Postglacial vegetation history of Mitkof Island, Alexander Archipelago,

southeastern Alaska. Quaternary Research 73:259-268.",10.1016/j.yqres.2009.12.005,,10
