updated_publication,publication,updated_DOI,DOI,ID_PUB
"Albert, L.E., and D.G. Wyckoff, editors. 1981. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma. Studies in Oklahoma's Past 7. Oklahoma Archaeological Survey, Norman, Oklahoma, USA.","Albert, L.E., and D.G. Wyckoff, editors. 1981. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma. Studies in Oklahoma's Past 7. Oklahoma Archaeological Survey, Norman, Oklahoma, USA.",,,1
"Andrews, J.T. and Nichols, H., 1981. Modern pollen deposition and Holocene paleotemperature reconstructions, central northern Canada. Arctic and alpine research, 13(4), pp.387-408.","Andrews, J.T., and H. Nichols. 1981. Modern pollen deposition and Holocene palaeotemperature reconstructions, central northern Canada. Arctic and Alpine Research 13(4):387-408. [DOI: 10.1080/00040851.1981.12004259]",10.1080/00040851.1981.12004259,10.1080/00040851.1981.12004259,2
"Beetham, N.M. 1958. Pollen studies of forest and bald soils from the mountains of North Carolina. Thesis. Duke University, Durham, North Carolina, USA. 133p.","Beetham, N.M. 1958. Pollen studies of forest and bald soils from the mountains of North Carolina. Thesis. Duke University, Durham, North Carolina, USA. 133p.",,,3
"Brookes, I.A., McAndrews, J.H. and von Bitter, P.H., 1982. Quaternary interglacial and associated deposits in southwest Newfoundland. Canadian Journal of Earth Sciences, 19(3), pp.410-423.","Brookes, I.A., J.H. McAndrews, and P.H. von Bitter. 1982. Quaternary interglacial and associated deposits in southwest Newfoundland. Canadian Journal of Earth Sciences 19:410-423.",10.1139/e82-033,,4
"Bryant Jr, V.M., 1977. A 16,000 year pollen record of vegetational change in central Texas. Palynology 1(1), pp.143-156.","Bryant, V.M., Jr. 1977. A 16,000 year pollen record of vegetational change in central Texas. Palynology 1:143-156.",10.1080/01916122.1977.9989156,,5
"Davis, A.M. 1975. Reconstructions of local and regional Holocene environments from the pollen and peat stratigraphies of some Driftless Area peat deposits. Doctoral dissertation. University of Wisconsin, Madison, Wisconsin, USA.;
Davis, A.M., 1977. The prairie-deciduous forest ecotone in the upper Middle West. Annals of the Association of American Geographers, 67(2), pp.204-213.","Davis, A.M. 1975. Reconstructions of local and regional Holocene environments from the pollen and peat stratigraphies of some Driftless Area peat deposits. Doctoral dissertation. University of Wisconsin, Madison, Wisconsin, USA.;
Davis, A.M. 1977. The prairie-deciduous forest ecotone in the upper Middle West. Annals of the Association of American Geographers 67(2):204-213.",;\n10.1111/j.1467-8306.1977.tb01133.x,,6
"Davis, R.B., L.A. Brewster, and J. Sutherland. 1969. Variation in pollen spectra within lakes. Pollen et Spores 11:557-571.","Davis, R.B., L.A. Brewster, and J. Sutherland. 1969. Variation in pollen spectra within lakes. Pollen et Spores 11:557-571.",,,7
"Delcourt, H.R. 1978. Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.","Delcourt, H.R. 1978. Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",,,8
"Delcourt, P.A., Delcourt, H.R. and Davidson, J.L., 1983. Mapping and calibration of modern pollen-vegetation relationships in the southeastern United States. Review of Palaeobotany and Palynology, 39(1-2), pp.1-45.","Delcourt, P.A., H.R. Delcourt, and J.L. Davidson. 1983. Mapping and calibration of modern pollen-vegetation relationships in the southeastern United States. Review of Palaeobotany and Palynology 39:1-45.",10.1016/0034-6667(83)90009-X,,9
"Dunwiddie, P.W. 1990. Postglacial vegetation history of coastal islands in southeastern New England. National Geographic Research 6:178-195.","Dunwiddie, P.W. 1990. Postglacial vegetation history of coastal islands in southeastern New England. National Geographic Research 6:178-195.",,,10
