"site.id","site.name","dataset.id","sample.id","depth","thickness","age.type","age","e.older","e.young","delta13C","lab.no","material.dated","geo.chron.type","notes","infinite","radiocarbon.method"
9,"Adange",7859,376229,83,5,"Radiocarbon years BP",910,20,20,,"KIGI-350",,"Carbon-14",,FALSE,
9,"Adange",7859,376230,118,5,"Radiocarbon years BP",2420,200,200,,"KIGI-349",,"Carbon-14",,FALSE,
9,"Adange",7859,376231,140,10,"Radiocarbon years BP",2900,190,190,,"KIGI-348",,"Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355215,36,4,"Radiocarbon years BP",430,80,80,,"St-976","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355216,87.5,5,"Radiocarbon years BP",1090,85,85,,"St-977","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355217,97,6,"Radiocarbon years BP",1250,85,85,,"St-978","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355218,119.5,3,"Radiocarbon years BP",1495,85,85,,"St-979","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355219,124.5,5,"Radiocarbon years BP",1645,95,95,,"St-982","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355220,172,6,"Radiocarbon years BP",1935,80,80,,"St-983","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355221,178,6,"Radiocarbon years BP",2140,85,85,,"St-985","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355222,183.5,5,"Radiocarbon years BP",2205,85,85,,"St-986","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355223,192,4,"Radiocarbon years BP",2845,90,90,,"St-987","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355224,213.5,5,"Radiocarbon years BP",3205,85,85,,"St-988","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355225,221,6,"Radiocarbon years BP",3315,90,90,,"St-989","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355226,233.5,3,"Radiocarbon years BP",3560,65,65,,"St-1050","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355227,258,4,"Radiocarbon years BP",4000,90,90,,"St-990","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355228,297.5,3,"Radiocarbon years BP",4510,80,80,,"St-996","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355229,327,4,"Radiocarbon years BP",5090,80,80,,"St-997","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355230,331,4,"Radiocarbon years BP",5060,90,90,,"St-998","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355231,373,4,"Radiocarbon years BP",5950,95,95,,"St-792","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355232,377,4,"Radiocarbon years BP",6170,120,120,,"St-790","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355233,406.5,5,"Radiocarbon years BP",6570,95,95,,"St-1000","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355234,429,4,"Radiocarbon years BP",6800,100,100,,"St-791","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,355235,479,4,"Radiocarbon years BP",7320,100,100,,"St-794","Peat","Carbon-14",,FALSE,
16,"Ahlenmoor",7864,108046,51,2,"Radiocarbon years BP",1435,75,75,,"Hv-6826",,"Carbon-14",,FALSE,
16,"Ahlenmoor",7864,108047,100,2,"Radiocarbon years BP",1920,85,85,,"Hv-6827",,"Carbon-14",,FALSE,
20,"Akuvaara",7867,412010,37.5,5,"Radiocarbon years BP",2620,170,170,,"Hel-525","Lake mud","Carbon-14",,FALSE,
