"site.id","site.name","dataset.id","handle","submission.date","sample.id","depth","thickness","age.type","age","e.older","e.young","delta13C","lab.no","material.dated","geo.chron.type","notes","infinite","radiocarbon.method"
9,"Adange",7859,"ADANGE","2019/06/18 00:00:00",376229,83,5,"Radiocarbon years BP",910,20,20,,"KIGI-350",,"Carbon-14",,FALSE,
9,"Adange",7859,"ADANGE","2019/06/18 00:00:00",376230,118,5,"Radiocarbon years BP",2420,200,200,,"KIGI-349",,"Carbon-14",,FALSE,
9,"Adange",7859,"ADANGE","2019/06/18 00:00:00",376231,140,10,"Radiocarbon years BP",2900,190,190,,"KIGI-348",,"Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355215,36,4,"Radiocarbon years BP",430,80,80,,"St-976","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355216,87.5,5,"Radiocarbon years BP",1090,85,85,,"St-977","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355217,97,6,"Radiocarbon years BP",1250,85,85,,"St-978","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355218,119.5,3,"Radiocarbon years BP",1495,85,85,,"St-979","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355219,124.5,5,"Radiocarbon years BP",1645,95,95,,"St-982","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355220,172,6,"Radiocarbon years BP",1935,80,80,,"St-983","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355221,178,6,"Radiocarbon years BP",2140,85,85,,"St-985","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355222,183.5,5,"Radiocarbon years BP",2205,85,85,,"St-986","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355223,192,4,"Radiocarbon years BP",2845,90,90,,"St-987","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355224,213.5,5,"Radiocarbon years BP",3205,85,85,,"St-988","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355225,221,6,"Radiocarbon years BP",3315,90,90,,"St-989","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355226,233.5,3,"Radiocarbon years BP",3560,65,65,,"St-1050","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355227,258,4,"Radiocarbon years BP",4000,90,90,,"St-990","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355228,297.5,3,"Radiocarbon years BP",4510,80,80,,"St-996","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355229,327,4,"Radiocarbon years BP",5090,80,80,,"St-997","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355230,331,4,"Radiocarbon years BP",5060,90,90,,"St-998","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355231,373,4,"Radiocarbon years BP",5950,95,95,,"St-792","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355232,377,4,"Radiocarbon years BP",6170,120,120,,"St-790","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355233,406.5,5,"Radiocarbon years BP",6570,95,95,,"St-1000","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355234,429,4,"Radiocarbon years BP",6800,100,100,,"St-791","Peat","Carbon-14",,FALSE,
12,"Ageröds Mosse",7861,"AGE","2019/04/07 00:00:00",355235,479,4,"Radiocarbon years BP",7320,100,100,,"St-794","Peat","Carbon-14",,FALSE,
16,"Ahlenmoor",7864,"AHL5","2008/02/28 00:00:00",108046,51,2,"Radiocarbon years BP",1435,75,75,,"Hv-6826",,"Carbon-14",,FALSE,
16,"Ahlenmoor",7864,"AHL5","2008/02/28 00:00:00",108047,100,2,"Radiocarbon years BP",1920,85,85,,"Hv-6827",,"Carbon-14",,FALSE,
20,"Akuvaara",7867,"AKUV","2019/09/30 00:00:00",412010,37.5,5,"Radiocarbon years BP",2620,170,170,,"Hel-525","Lake mud","Carbon-14",,FALSE,
20,"Akuvaara",7867,"AKUV","2019/09/30 00:00:00",412011,67.5,5,"Radiocarbon years BP",4180,180,180,,"Hel-524","Lake mud","Carbon-14",,FALSE,
20,"Akuvaara",7867,"AKUV","2019/09/30 00:00:00",412012,97.5,5,"Radiocarbon years BP",6080,170,170,,"Hel-523","Lake mud","Carbon-14",,FALSE,
20,"Akuvaara",7867,"AKUV","2019/09/30 00:00:00",412013,125,5,"Radiocarbon years BP",7770,220,220,,"Hel-522","Lake mud","Carbon-14",,FALSE,
20,"Akuvaara",7867,"AKUV","2019/09/30 00:00:00",412014,147.5,5,"Radiocarbon years BP",8840,170,170,,"Hel-521","Lake mud","Carbon-14",,FALSE,
200,"Amtkel",7879,"AMTKEL","2019/12/20 00:00:00",423704,47.5,5,"Radiocarbon years BP",970,45,45,,"KU-2133",,"Carbon-14",,FALSE,
200,"Amtkel",7879,"AMTKEL","2019/12/20 00:00:00",423705,97.7,5,"Radiocarbon years BP",1650,50,50,,"KU-2132",,"Carbon-14",,FALSE,
214,"Arts Lough",7892,"ARTSLOUG","2019/04/07 00:00:00",354423,9.5,5,"Radiocarbon years BP",1920,60,60,,"GrN-13619",,"Carbon-14",,FALSE,
214,"Arts Lough",7892,"ARTSLOUG","2019/04/07 00:00:00",354424,15.5,5,"Radiocarbon years BP",1845,40,40,,"GrN-1338",,"Carbon-14",,FALSE,
214,"Arts Lough",7892,"ARTSLOUG","2019/04/07 00:00:00",354425,20.5,5,"Radiocarbon years BP",1690,60,60,,"GrN-13620",,"Carbon-14",,FALSE,
214,"Arts Lough",7892,"ARTSLOUG","2019/04/07 00:00:00",354426,27.5,5,"Radiocarbon years BP",3550,60,60,,"GrN-13339",,"Carbon-14",,FALSE,
214,"Arts Lough",7892,"ARTSLOUG","2019/04/07 00:00:00",354427,60.5,5,"Radiocarbon years BP",5830,110,110,,"GrN-13340",,"Carbon-14",,FALSE,
223,"Ballinloghig Lake",7898,"BALLIN","2019/04/07 00:00:00",353846,312.5,5,"Radiocarbon years BP",4100,85,85,,"UB-2698","Sedge peat","Carbon-14",,FALSE,
223,"Ballinloghig Lake",7898,"BALLIN","2019/04/07 00:00:00",353847,407.5,5,"Radiocarbon years BP",5275,175,175,,"UB-2697","Fine gyttja","Carbon-14",,FALSE,
223,"Ballinloghig Lake",7898,"BALLIN","2019/04/07 00:00:00",353848,516,8,"Radiocarbon years BP",9695,465,465,,"UB-2696","Fine gyttja","Carbon-14",,FALSE,
223,"Ballinloghig Lake",7898,"BALLIN","2019/04/07 00:00:00",353849,541.5,7,"Radiocarbon years BP",9840,295,295,,"UB-2686","Fine gyttja","Carbon-14",,FALSE,
223,"Ballinloghig Lake",7898,"BALLIN","2019/04/07 00:00:00",353850,546,2,"Radiocarbon years BP",9370,315,315,,"UB-2692","Fine gyttja","Carbon-14",,FALSE,
223,"Ballinloghig Lake",7898,"BALLIN","2019/04/07 00:00:00",353851,560.5,3,"Radiocarbon years BP",10460,215,215,,"UB-2693","Silty clay","Carbon-14",,FALSE,
223,"Ballinloghig Lake",7898,"BALLIN","2019/04/07 00:00:00",353852,578,6,"Radiocarbon years BP",10020,340,340,,"UB-2682","Clay gyttja","Carbon-14",,FALSE,
223,"Ballinloghig Lake",7898,"BALLIN","2019/04/07 00:00:00",353853,584,6,"Radiocarbon years BP",10045,360,360,,"UB-2683","Clay gyttja","Carbon-14",,FALSE,
223,"Ballinloghig Lake",7898,"BALLIN","2019/04/07 00:00:00",353854,596,6,"Radiocarbon years BP",11006,,,,"UB-2684","Clay gyttja","Carbon-14",,FALSE,
223,"Ballinloghig Lake",7898,"BALLIN","2019/04/07 00:00:00",353855,603,6,"Radiocarbon years BP",13980,,,,"UB-2685","Clay gyttja","Carbon-14",,FALSE,
223,"Ballinloghig Lake",7898,"BALLIN","2019/04/07 00:00:00",353856,607.5,3,"Radiocarbon years BP",7075,,,,"UB-2694","Clay gyttja","Carbon-14",,FALSE,
224,"Ballybetagh",7899,"BALLYBET","2008/02/28 00:00:00",108203,161,,"Radiocarbon years BP",10070,60,60,,"TO-233","Salix herbacea leaves","Carbon-14","Wood = buds and twigs Carex = C. achenes The depths are calculated from the diagram!",FALSE,
224,"Ballybetagh",7899,"BALLYBET","2008/02/28 00:00:00",108204,207,,"Radiocarbon years BP",10120,60,60,,"TO-234","Salix herbacea leaves, wood","Carbon-14",,FALSE,
224,"Ballybetagh",7899,"BALLYBET","2008/02/28 00:00:00",108205,270,,"Radiocarbon years BP",10600,60,60,,"TO-235","Wood fragments and Carex","Carbon-14",,FALSE,
224,"Ballybetagh",7899,"BALLYBET","2008/02/28 00:00:00",108206,370,,"Radiocarbon years BP",12200,90,90,,"TO-236",,"Carbon-14",,FALSE,
224,"Ballybetagh",7899,"BALLYBET","2008/02/28 00:00:00",108207,423,,"Radiocarbon years BP",12350,140,140,,"TO-237",,"Carbon-14",,FALSE,
224,"Ballybetagh",7899,"BALLYBET","2008/02/28 00:00:00",108208,460,,"Radiocarbon years BP",12540,80,80,,"TO-238",,"Carbon-14",,FALSE,
