"site.id","site.name","latitude","longitude","elevation","dataset.id","dataset.type","source","publication","description","doi"
9,"Adange",43.305556,41.333333,1750,9,"pollen","European Pollen Database","Kvavadze, E.V., and L.P. Rukhadze. 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Notes: 136p. Printed by order of the Scientific and Publishing Council of the Georgian SSR Academy of Sciences. Text in Russian.","Meander of Adange river. Physiography: Fluvial terrace above flood-plain. Surrounding vegetation: Subalpine tall herbaceous vegetation.","10.21233/n3301b"
12,"Ageröds Mosse",55.934475,13.42774,58,12,"pollen","European Pollen Database","Nilsson, T. 1964. Standard pollen diagramme und C14 datiengen aus dem Ageröds mosse in mittleren schonen. Lunds Universitets Årsskrift N. F. 59(7):1-52.","Forested Sphagnum bog. Physiography: till. Surrounding vegetation: pasture and arable land.","10.21233/znex-sp94"
16,"Ahlenmoor",53.70273,8.755514999999999,2,16,"pollen","European Pollen Database","Behre, K.-E. 1976. Pollenanalytische Untersuchungen zur Vegetations- und Siedlungsgeschichte bei Flögeln und im Ahlenmoor (Elb-Weser-Winkel). Probleme der Küstenforschung im südlichen Nordseegebiet 11:101-118.;
Behre, K.-E., and D. Kucan. 1986. Die Reflektion archäologisch bekannter Siedlungen in Pollendiagrammen verschiedener Entfernung - Beispiele aus der Siedlungskammer Flögeln, Nordwestdeutschland. Pages 95-114 in K.-E. Behre, editor. Anthropogenic indicators in pollen diagrams. Balkema, Rotterdam.;
Behre, K.-E., and D. Kucan. 1994. Die Geschichte der Kulturlandschaft und des Ackerbaus in der Siedlungskammer Flögeln, Niedersachsen, seit der Jungsteinzeit. Probleme der Küstenforschung im südlichen Nordseegebiet 21:1-227.","Excavated bog. Physiography: Raised bog. Surrounding vegetation: Sphagnetum.","10.21233/n3bh6k"
20,"Akuvaara",69.12326,27.67406,170,20,"pollen","European Pollen Database","Hyvärinen, H. 1975. Absolute and relative pollen diagrams from northernmost Fennoscandia. Fennia 142(1):1-23.","Lake. Physiography: Hill of sandy/gravelly outwash. Surrounding vegetation: Thin pine forest.","10.21233/n37g69"
200,"Amtkel",43.268056,41.308333,1830,200,"pollen","European Pollen Database","Kvavadze, E.V., and L.P. Rukhadze. 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Notes: 136p. Printed by order of the Scientific and Publishing Council of the Georgian SSR Academy of Sciences. Text in Russian.;
Kvavadze, E.V., L.P. Rukhadze, P.R. Tretyak, and L.V. Petrenko. 1987. On the migration on high-mountain vegetation belts in the late Holocene in the valley of the Amtqel river (Abkazia). Bulletin of the Georgian Academy of Sciences 125(2):421-424.","Lower part of glacial trough. Physiography: Head of river Amtkel. Surrounding vegetation: Subalpine beech elfin woodland.","10.21233/n3cc88"
214,"Arts Lough",52.95,-6.433333,490,215,"pollen","European Pollen Database","Bradshaw, R.H.W., and E. McGee. 1988. The extent and time-course of mountain blanket peat erosion in Ireland. New Phytologist 108:219-224.","Eroding blanket peat. Physiography: Steep cliffs to south rising to 800m. Surrounding vegetation: Heathland vegetation.","10.21233/n34x3q"
223,"Ballinloghig Lake",52.2,-10.308333,84,225,"pollen","European Pollen Database","Barnosky, C.W. 1988. A late-glacial and post-glacial pollen record from the Dingle Peninsula, County Kerry. Proceedings of the Royal Irish Academy 88(B):23-37.","Lake with marginal fen. Physiography: Southern slope of Slieve Mish mountains. Surrounding vegetation: Blanket bog, heath, pasture and woodland.","10.21233/n30684"
224,"Ballybetagh",53.166667,-6.25,250,226,"pollen","European Pollen Database","Cwynar, L.C., and W.A. Watts. 1989. Accelerator-mass spectrometer ages for late-glacial events at Ballybetagh, Ireland. Quaternary Research 31:377-380.;
Jessen, K., and A. Farrington. 1938. The bogs at Ballybetagh, near Dublin, with remarks on late-glacial conditions in Ireland. Proceedings of the Royal Irish Academy 44B(10):205-260.;
Watts, W.A. 1977. The late Devensian vegetation of Ireland. Philosophical Transactions of the Royal Society of London, Series B 280:273-293.","Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.","10.21233/n38c8b"
310,"Bruvatnet [Rovvejávri]",70.18109000000001,28.407204999999998,119,317,"pollen","European Pollen Database","Hyvärinen, H. 1975. Absolute and relative pollen diagrams from northernmost Fennoscandia. Fennia 142(1):1-23.","Lake. Physiography: Bedrock hills mantled by gl. drift (till. Surrounding vegetation: Thin mountain birch scrub.","10.21233/n3870x"
335,"Selle di Carnino",44.15,7.694444,1905,342,"pollen","European Pollen Database","de Beaulieu, J.L. 1977. Contribution pollenanalytique à l'histoire tardiglaciaire et Holocène de la végétation des Alpes méridionales françaices. Doctoral dissertation. Université d'Aix-Marseille, Marseille, France.","Large peaty depression. Surrounding vegetation: Subalpine meadows.","10.21233/n39398"
