"site.id","site.name","dataset.id","citation"
9,"Adange",9,"Kvavadze, E.V., and L.P. Rukhadze. 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Notes: 136p. Printed by order of the Scientific and Publishing Council of the Georgian SSR Academy of Sciences. Text in Russian."
12,"Ageröds Mosse",12,"Nilsson, T. 1964. Standard pollen diagramme und C14 datiengen aus dem Ageröds mosse in mittleren schonen. Lunds Universitets Årsskrift N. F. 59(7):1-52."
16,"Ahlenmoor",16,"Behre, K.-E., and D. Kucan. 1986. Die Reflektion archäologisch bekannter Siedlungen in Pollendiagrammen verschiedener Entfernung - Beispiele aus der Siedlungskammer Flögeln, Nordwestdeutschland. Pages 95-114 in K.-E. Behre, editor. Anthropogenic indicators in pollen diagrams. Balkema, Rotterdam."
16,"Ahlenmoor",16,"Behre, K.-E. 1976. Pollenanalytische Untersuchungen zur Vegetations- und Siedlungsgeschichte bei Flögeln und im Ahlenmoor (Elb-Weser-Winkel). Probleme der Küstenforschung im südlichen Nordseegebiet 11:101-118."
16,"Ahlenmoor",16,"Behre, K.-E., and D. Kucan. 1994. Die Geschichte der Kulturlandschaft und des Ackerbaus in der Siedlungskammer Flögeln, Niedersachsen, seit der Jungsteinzeit. Probleme der Küstenforschung im südlichen Nordseegebiet 21:1-227."
20,"Akuvaara",20,"Hyvärinen, H. 1975. Absolute and relative pollen diagrams from northernmost Fennoscandia. Fennia 142(1):1-23."
200,"Amtkel",200,"Kvavadze, E.V., and L.P. Rukhadze. 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Notes: 136p. Printed by order of the Scientific and Publishing Council of the Georgian SSR Academy of Sciences. Text in Russian."
200,"Amtkel",200,"Kvavadze, E.V., L.P. Rukhadze, P.R. Tretyak, and L.V. Petrenko. 1987. On the migration on high-mountain vegetation belts in the late Holocene in the valley of the Amtqel river (Abkazia). Bulletin of the Georgian Academy of Sciences 125(2):421-424."
214,"Arts Lough",215,"Bradshaw, R.H.W., and E. McGee. 1988. The extent and time-course of mountain blanket peat erosion in Ireland. New Phytologist 108:219-224."
223,"Ballinloghig Lake",225,"Barnosky, C.W. 1988. A late-glacial and post-glacial pollen record from the Dingle Peninsula, County Kerry. Proceedings of the Royal Irish Academy 88(B):23-37."
224,"Ballybetagh",226,"Cwynar, L.C., and W.A. Watts. 1989. Accelerator-mass spectrometer ages for late-glacial events at Ballybetagh, Ireland. Quaternary Research 31:377-380."
224,"Ballybetagh",226,"Jessen, K., and A. Farrington. 1938. The bogs at Ballybetagh, near Dublin, with remarks on late-glacial conditions in Ireland. Proceedings of the Royal Irish Academy 44B(10):205-260."
224,"Ballybetagh",226,"Watts, W.A. 1977. The late Devensian vegetation of Ireland. Philosophical Transactions of the Royal Society of London, Series B 280:273-293."
310,"Bruvatnet [Rovvejávri]",317,"Hyvärinen, H. 1975. Absolute and relative pollen diagrams from northernmost Fennoscandia. Fennia 142(1):1-23."
335,"Selle di Carnino",342,"de Beaulieu, J.L. 1977. Contribution pollenanalytique à l'histoire tardiglaciaire et Holocène de la végétation des Alpes méridionales françaices. Doctoral dissertation. Université d'Aix-Marseille, Marseille, France."
346,"Chabada Lake",354,"Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false"
346,"Chabada Lake",354,"Andreev, A.A., V.A. Klimanov, L.D. Sulerzhitsky, and N.A. Khotinsky. 1989. Chronology of environmental changes in central Yakutia during the Holocene. Pages 115-121 in Paleoklimaty golotsena i pozdnelednikov'ya [Paleoclimates of Holocene and late glacial). Nauka, Moscow, Russia."
346,"Chabada Lake",3975,"Andreev, A.A., and V.A. Klimanov. 1989. Vegetation and climate history of central Yakutia during the Holocene and Late Pleistocene (in Russian). Pages 28-51 in B.F. Ivanov and B.F. Palymsky, editors. Formirovanie rel’efa, korelyatnykh otlozheny i rossypei Severo-Vostoka  SSSR [Formation of deposits and placers on northeast of the USSR]. Publishing  House  of  SVKNII, Magadan, Russia."
346,"Chabada Lake",3975,"Andreev, A.A., V.A. Klimanov, L.D. Sulerzhitsky, and N.A. Khotinsky. 1989. Chronology of environmental changes in central Yakutia during the Holocene. Pages 115-121 in Paleoklimaty golotsena i pozdnelednikov'ya [Paleoclimates of Holocene and late glacial). Nauka, Moscow, Russia."
355,"Chernikhovo",363,"Zernitskaya, V.P. 1985. Development of vegetation in the western part of the Kopyl upland during the Late Glacial time and Holocene. Pages 110-116 in Geographical aspects of rational nature use, Nauka i Taknika edition. Minsk, Byelorussia. Notes: in Russian"
355,"Chernikhovo",363,"Matveev, A.V., E.A. Krutous, and V.P. Zernitskaya. 1993. Geochronology of the Holocene of the Belorussian Polessie. Radiocarbon 35(3):435-439. [DOI: 10.1017/S0033822200060458]"
363,"Le Marais St Boetien",374,"van Zeist, W., and M.R. van der Spoel-Walvius. 1980. A palynological study of the Late-Glacial and the Postglacial in the Paris basin. Palaeohistoria 23:67-108."
516,"Voros-mocsar",530,"Nagy-Bodor, E., T. Cserny, and E. Nagy. 1995. Unpublished report on the study performed for the European Pollen Database.."
517,"Starniki",531,"Bezusko, L.G., T.M. Kajutkina, and N.N. Kovalyukh. 1982. YIII s'ezd Ukrainskovo botanicheskogo obschestva [New data of Allerod vegetation of Ukraine], Naukova dumka edition. Kiev, Ukraine. Notes: 399 p."
517,"Starniki",531,"Bezusko, L.G., V.A. Klimanov, and Y.R. Sheliag-Sosonko. 1988. Climatic conditions in Ukraine in the Late Post-glacial and Holocene. Pages 125-135 in , Paleoklimaty golotsena Evropeiyskoy territorii SSSR edition. Moscow, Russia."
517,"Starniki",531,"Khotinskiy, N.A., L.G. Bezusko, and A.E. Cherkinsky. 1994. Changes in vegetation in central and western regions of the Russian Plain. Pages 111-118 in Paleogeographical basis of the modern landscapes, Nauka edition. Moscow, Russia. Notes: Results of the Russian-Polish research"
517,"Starniki",531,"Bezusko, L.G., and V.A. Klimanov. 1987. Climate and vegetation of the plain part of the Ukrainian SSR West in the Late Post-glacial period. Ukrain'skyi Botanichnyi Zhurnal 43:54-58."
517,"Starniki",531,"Bezusko, L.G., T.M. Kajutkina, N.N. Kovalyukh, and A.T. Artyushenko. 1985. Paleobotanical and radiological studies of deposits from bog Starniki (Maloe Polessie). Ukrain'skyi Botanichnyi Zhurnal 42:27-30."
517,"Starniki",531,"Klimanov, V.A., and L.G. Bezusko. 1981. Climate and vegetation of small Polessie in Holocene. Ukrain'skyi Botanichnyi Zhurnal 38:24-26."
517,"Starniki",531,"Sheliag-Sosonko, Y.R., and L.G. Bezusko. 1987. The oak- forests of Maloye Polessie in the Late Post-Glacial period. Ukrain'skyi Botanichnyi Zhurnal 71:4-8."
664,"Derput",682,"Andreev, A.A., and V.A. Klimanov. 1991. Izmeneniya rastitel’nost i klimatamezhdurech’ya rek Ungra i Yakokit (Yuzhnaya Yakutia) v golotsene [Vegetation history and climate changes in the interfluve of the rivers Ungra and Yakokit (Southern Yakutia) during the Holocene]. Botanichesky Zhurnal 76(3):334-351."
700,"Domsvatnet",720,"Hyvärinen, H. 1976. Flandrian pollen deposition rates and tree-line history in northern Fennoscandia. Boreas 5(3):163-175. [DOI: 10.1111/j.1502-3885.1976.tb00260.x]"
703,"Dovjok Swamp",723,
703,"Dovjok Swamp",723,
765,"Edessa",784,"Bottema, S. 1974. Late Quaternary vegetation history of northwestern Greece. Doctoral dissertation. University of Groningen, Groningen, The Netherlands."
831,"Gagra",858,"Kvavadze, E.V., and L.P. Rukhadze. 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Notes: 136p. Printed by order of the Scientific and Publishing Council of the Georgian SSR Academy of Sciences. Text in Russian."
831,"Gagra",858,"Kvavadze, E.V. 1982. Novye dannye po stratigrafii i paleogeografii Golotsena Kolkhidskoi nizmennosti. Pages 123-130 in Chetvertichnaia Sistema Gruzii. Metsniereba, Tbilisi."
839,"Gel'myazevskoye",867,"Artyushenko, A.T., R.Y. Arap, L.G. Bezusko, E.O. Il'ves, T.M. Kajutkina, and N.N. Kovalyukh. 1982. Razvitie prirody tyerritorii SSSR v pozdnem pleiystoytsyene i golotsenye [New data of Holocene vegetation of Ukraine]. Pages 173-179 in , Nauka edition. Moscow, Russia."
839,"Gel'myazevskoye",867,"Artyushenko, A.T., S.I. Parishkura-Turlo, G.O. Parchomenko, R.Y. Arap, and L.G. Bezusko. 1984. Obschaya i regionalnaya paleogeografia [History of Holocene vegetation of Ukraine]. Pages 104-120 in , Naukova dumka edition. Kiev, Ukraine."
839,"Gel'myazevskoye",867,"Bezusko, L.G., V.A. Klimanov, and Y.R. Sheliag-Sosonko. 1988. Climatic conditions in Ukraine in the Late Post-glacial and Holocene. Pages 125-135 in , Paleoklimaty golotsena Evropeiyskoy territorii SSSR edition. Moscow, Russia."
947,"Grasvatn",977,"Moe, D., K.-D. Vorren, T. Alm, S. Fimreite, B. Mørkved, E. Nilssen, Aa. Paus, H. Ramfjord, S.F. Selvik, and R. Sørensen. 1996. Norway. Pages 153-213 in B.E. Berglund, H.J.B. Birks, M. Ralska-Jasiewiczowa, and H.E. Wright, editors. Palaeoecological events during the last 15000 years: regional syntheses of palaeoecological studies of lakes and mires in Europe. John Wiley & Sons, Chichester, United Kingdom."
947,"Grasvatn",977,"Paus, Aa. 1982. Paleo-økologiske undersøkelser på Frøya, Sør-Trøndelag. Den vegetasjonshistoriske utviklingen fra senistiden og fram til idag. Master's thesis. University of Trondheim, Trondheim, Norway."
1121,"Ivanovskoye Peat Bog",4116,"Spiridonova, E.A. 1986. Unpublished report. Archives of the Institute of Archeology, Moscow, Russia."
1121,"Ivanovskoye Peat Bog",4117,"Spiridonova, E.A. 1986. Unpublished report. Archives of the Institute of Archeology, Moscow, Russia."
1121,"Ivanovskoye Peat Bog",1155,
1121,"Ivanovskoye Peat Bog",1155,
