"site.id","site.name","latitude","longitude","dataset.id","dataset.type","age.oldest","age.youngest","...9","id","pub.type","year","citation","contact.id","order","contact.name"
9,"Adange",43.305556,41.333333,9,"pollen",5199,-46,NA,556,"Authored Book",1989,"Kvavadze, E.V., and L.P. Rukhadze. 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Notes: 136p. Printed by order of the Scientific and Publishing Council of the Georgian SSR Academy of Sciences. Text in Russian.",NA,NA,NA
12,"Ageröds Mosse",55.934475,13.42774,12,"pollen",9099,19,NA,15719,"Journal Article",1964,"Nilsson, T. 1964. Standard pollen diagramme und C14 datiengen aus dem Ageröds mosse in mittleren schonen. Lunds Universitets Årsskrift N. F. 59(7):1-52.",NA,NA,NA
16,"Ahlenmoor",53.70273,8.755515,16,"pollen",4276,990,NA,587,"Book Chapter",1986,"Behre, K.-E., and D. Kucan. 1986. Die Reflektion archäologisch bekannter Siedlungen in Pollendiagrammen verschiedener Entfernung - Beispiele aus der Siedlungskammer Flögeln, Nordwestdeutschland. Pages 95-114 in K.-E. Behre, editor. Anthropogenic indicators in pollen diagrams. Balkema, Rotterdam.",NA,NA,NA
16,"Ahlenmoor",53.70273,8.755515,16,"pollen",4276,990,NA,586,"Journal Article",1976,"Behre, K.-E. 1976. Pollenanalytische Untersuchungen zur Vegetations- und Siedlungsgeschichte bei Flögeln und im Ahlenmoor (Elb-Weser-Winkel). Probleme der Küstenforschung im südlichen Nordseegebiet 11:101-118.",NA,NA,NA
16,"Ahlenmoor",53.70273,8.755515,16,"pollen",4276,990,NA,16614,"Journal Article",1994,"Behre, K.-E., and D. Kucan. 1994. Die Geschichte der Kulturlandschaft und des Ackerbaus in der Siedlungskammer Flögeln, Niedersachsen, seit der Jungsteinzeit. Probleme der Küstenforschung im südlichen Nordseegebiet 21:1-227.",NA,NA,NA
20,"Akuvaara",69.12326,27.67406,20,"pollen",10647,16,NA,699,"Journal Article",1975,"Hyvärinen, H. 1975. Absolute and relative pollen diagrams from northernmost Fennoscandia. Fennia 142(1):1-23.",NA,NA,NA
200,"Amtkel",43.268056,41.308333,200,"pollen",2229,183,NA,556,"Authored Book",1989,"Kvavadze, E.V., and L.P. Rukhadze. 1989. Vegetation and climate of the Holocene of Abkhazia. Metsniereba, Tbilisi, Georgia. Notes: 136p. Printed by order of the Scientific and Publishing Council of the Georgian SSR Academy of Sciences. Text in Russian.",NA,NA,NA
200,"Amtkel",43.268056,41.308333,200,"pollen",2229,183,NA,557,"Journal Article",1987,"Kvavadze, E.V., L.P. Rukhadze, P.R. Tretyak, and L.V. Petrenko. 1987. On the migration on high-mountain vegetation belts in the late Holocene in the valley of the Amtqel river (Abkazia). Bulletin of the Georgian Academy of Sciences 125(2):421-424.",NA,NA,NA
214,"Arts Lough",52.95,-6.433333,215,"pollen",17282,191,NA,698,"Journal Article",1988,"Bradshaw, R.H.W., and E. McGee. 1988. The extent and time-course of mountain blanket peat erosion in Ireland. New Phytologist 108:219-224.",NA,NA,NA
223,"Ballinloghig Lake",52.2,-10.308333,225,"pollen",17824,1748,NA,15708,"Journal Article",1988,"Barnosky, C.W. 1988. A late-glacial and post-glacial pollen record from the Dingle Peninsula, County Kerry. Proceedings of the Royal Irish Academy 88(B):23-37.",NA,NA,NA
224,"Ballybetagh",53.166667,-6.25,226,"pollen",13024,9178,NA,588,"Legacy",1989,"Cwynar, L.C., and W.A. Watts. 1989. Accelerator-mass spectrometer ages for late-glacial events at Ballybetagh, Ireland. Quaternary Research 31:377-380.",NA,NA,NA
224,"Ballybetagh",53.166667,-6.25,226,"pollen",13024,9178,NA,589,"Legacy",1938,"Jessen, K., and A. Farrington. 1938. The bogs at Ballybetagh, near Dublin, with remarks on late-glacial conditions in Ireland. Proceedings of the Royal Irish Academy 44B(10):205-260.",NA,NA,NA
224,"Ballybetagh",53.166667,-6.25,226,"pollen",13024,9178,NA,590,"Legacy",1977,"Watts, W.A. 1977. The late Devensian vegetation of Ireland. Philosophical Transactions of the Royal Society of London, Series B 280:273-293.",NA,NA,NA
310,"Bruvatnet [Rovvejávri]",70.18109,28.407205,317,"pollen",13564,402,NA,699,"Journal Article",1975,"Hyvärinen, H. 1975. Absolute and relative pollen diagrams from northernmost Fennoscandia. Fennia 142(1):1-23.",NA,NA,NA
335,"Selle di Carnino",44.15,7.694444,342,"pollen",15847,263,NA,722,"Doctoral Dissertation",1977,"de Beaulieu, J.L. 1977. Contribution pollenanalytique à l'histoire tardiglaciaire et Holocène de la végétation des Alpes méridionales françaices. Doctoral dissertation. Université d'Aix-Marseille, Marseille, France.",NA,NA,NA
346,"Chabada Lake",61.976835,129.377875,354,"pollen",11322,40,NA,316,"Authored Report",1994,"Tarasov, P.E., S.P. Harrison, L. Saarse, M.Y. Pushenko, A.A. Andreev, Z.V. Aleshinskaya, N.N. Davydova, N.I. Dorofeyuk, Y.V. Efremov, V.I. Khomutova, D.V. Sevastyanov, J. Tamosaitis, O.N. Uspenskaya, O.F. Yakushko, and I.V. Tarasova. 1994. Lake status records from the former Soviet Union and Mongolia: data base documentation. Paleoclimatology Publications Series 2, World Data Center-A for Paleoclimatology, NOAA Paleoclimatology Program, Boulder, Colorado, USA. Notes: https://books.google.no/books?id=SXeZJsjZ4dwC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q=melekhovo&f=false",NA,NA,NA
346,"Chabada Lake",61.976835,129.377875,354,"pollen",11322,40,NA,317,"Book Chapter",1989,"Andreev, A.A., V.A. Klimanov, L.D. Sulerzhitsky, and N.A. Khotinsky. 1989. Chronology of environmental changes in central Yakutia during the Holocene. Pages 115-121 in Paleoklimaty golotsena i pozdnelednikov'ya [Paleoclimates of Holocene and late glacial). Nauka, Moscow, Russia.",NA,NA,NA
346,"Chabada Lake",61.976835,129.377875,3975,"pollen",8524,105,NA,363,"Book Chapter",1989,"Andreev, A.A., and V.A. Klimanov. 1989. Vegetation and climate history of central Yakutia during the Holocene and Late Pleistocene (in Russian). Pages 28-51 in B.F. Ivanov and B.F. Palymsky, editors. Formirovanie rel’efa, korelyatnykh otlozheny i rossypei Severo-Vostoka  SSSR [Formation of deposits and placers on northeast of the USSR]. Publishing  House  of  SVKNII, Magadan, Russia.",NA,NA,NA
346,"Chabada Lake",61.976835,129.377875,3975,"pollen",8524,105,NA,317,"Book Chapter",1989,"Andreev, A.A., V.A. Klimanov, L.D. Sulerzhitsky, and N.A. Khotinsky. 1989. Chronology of environmental changes in central Yakutia during the Holocene. Pages 115-121 in Paleoklimaty golotsena i pozdnelednikov'ya [Paleoclimates of Holocene and late glacial). Nauka, Moscow, Russia.",NA,NA,NA
355,"Chernikhovo",53.416667,26.433333,363,"pollen",17481,1191,NA,724,"Book Chapter",1985,"Zernitskaya, V.P. 1985. Development of vegetation in the western part of the Kopyl upland during the Late Glacial time and Holocene. Pages 110-116 in Geographical aspects of rational nature use, Nauka i Taknika edition. Minsk, Byelorussia. Notes: in Russian",NA,NA,NA
