siteid,sitename,latitude,longitude,elevation,datasetid,datasettype,ageoldest,ageyoungest,depth,thickness,age,age.young,age.old,control.type,chron.control.id,dataset.name,collection.type,collection.handle,dataset.type,default,name,age.type,age.model,age.older,age.younger,chron.id,date,site.name,long,lat,description,long.acc,lat.acc
9,Adange,43.305556,41.333333,1750,9,pollen,5199,-46,362.5,5,29430,28955,29905,Radiocarbon,59,EPD E# 1,Section,ADANGE,pollen,TRUE,GPD 1,Radiocarbon years BP,linear interpolation,44480,29190,9,2003-11-13T00:00:00,Adange,41.333333,43.305556,Meander of Adange river. Physiography: Fluvial terrace above flood-plain. Surrounding vegetation: Subalpine tall herbaceous vegetation.,0,0
9,Adange,43.305556,41.333333,1750,9,pollen,5199,-46,515,10,44000,42600,45400,Thermoluminescence,60,EPD E# 1,Section,ADANGE,pollen,TRUE,GPD 1,Radiocarbon years BP,linear interpolation,44480,29190,9,2003-11-13T00:00:00,Adange,41.333333,43.305556,Meander of Adange river. Physiography: Fluvial terrace above flood-plain. Surrounding vegetation: Subalpine tall herbaceous vegetation.,0,0
12,Ageröds Mosse,55.934475,13.42774,58,12,pollen,9099,19,399.5,5,10440,10240,10640,Radiocarbon,72,EPD E# 2,Core,AGE,pollen,TRUE,Author's preferred,Radiocarbon years BP,single sample - single date,10450,10430,12,1997-03-06T00:00:00,Ageröds Mosse,13.42774,55.934475,Forested Sphagnum bog. Physiography: till. Surrounding vegetation: pasture and arable land.,0.021460000000001145,0.011830000000003338
16,Ahlenmoor,53.70273,8.755515,2,16,pollen,4276,990,0,,2000,1500,2500,Core top,79,AHL V,Core,AHL5,pollen,FALSE,COHMAP chron 2,Radiocarbon years BP,linear interpolation,,,16,,Ahlenmoor,8.729075,53.693998,Excavated bog. Physiography: Raised bog. Surrounding vegetation: Sphagnetum.,0,0
16,Ahlenmoor,53.70273,8.755515,2,16,pollen,4276,990,50,20,4055,3935,4175,Radiocarbon,80,AHL V,Core,AHL5,pollen,FALSE,COHMAP chron 2,Radiocarbon years BP,linear interpolation,,,16,,Ahlenmoor,8.729075,53.693998,Excavated bog. Physiography: Raised bog. Surrounding vegetation: Sphagnetum.,0,0
16,Ahlenmoor,53.70273,8.755515,2,16,pollen,4276,990,160,20,5945,5825,6065,Radiocarbon,81,AHL V,Core,AHL5,pollen,FALSE,COHMAP chron 2,Radiocarbon years BP,linear interpolation,,,16,,Ahlenmoor,8.729075,53.693998,Excavated bog. Physiography: Raised bog. Surrounding vegetation: Sphagnetum.,0,0
16,Ahlenmoor,53.70273,8.755515,2,16,pollen,4276,990,230,20,5985,5845,6125,Radiocarbon,82,AHL V,Core,AHL5,pollen,FALSE,COHMAP chron 2,Radiocarbon years BP,linear interpolation,,,16,,Ahlenmoor,8.729075,53.693998,Excavated bog. Physiography: Raised bog. Surrounding vegetation: Sphagnetum.,0,0
20,Akuvaara,69.12326,27.67406,170,20,pollen,10647,16,,,,,,,,EPD E# 4,Core,AKUV,pollen,,,,,,,,,Akuvaara,27.67406,69.12326,Lake. Physiography: Hill of sandy/gravelly outwash. Surrounding vegetation: Thin pine forest.,0,0
200,Amtkel,43.268056,41.308333,1830,200,pollen,2229,183,0,,0,-30,100,Core top,1131,EPD E# 5,Core,AMTKEL,pollen,TRUE,Author Preferred,Radiocarbon years BP,single sample - single date,2150,2140,200,1997-03-06T00:00:00,Amtkel,41.308333,43.268056,Lower part of glacial trough. Physiography: Head of river Amtkel. Surrounding vegetation: Subalpine beech elfin woodland.,0,0
200,Amtkel,43.268056,41.308333,1830,200,pollen,2229,183,80.5,1,2470,2180,2760,Radiocarbon,1132,EPD E# 5,Core,AMTKEL,pollen,TRUE,Author Preferred,Radiocarbon years BP,single sample - single date,2150,2140,200,1997-03-06T00:00:00,Amtkel,41.308333,43.268056,Lower part of glacial trough. Physiography: Head of river Amtkel. Surrounding vegetation: Subalpine beech elfin woodland.,0,0
214,Arts Lough,52.95,-6.433333,490,215,pollen,17282,191,,,,,,,,EPD E# 6,Core,ARTSLOUG,pollen,,,,,,,,,Arts Lough,-6.433333,52.95,Eroding blanket peat. Physiography: Steep cliffs to south rising to 800m. Surrounding vegetation: Heathland vegetation.,0,0
223,Ballinloghig Lake,52.2,-10.308333,84,225,pollen,17824,1748,0,1,0,0,0,Core top,1242,EPD E# 7,Core,BALLIN,pollen,FALSE,Markgraf 1993,Radiocarbon years BP,linear interpolation,9600,330,225,1997-08-01T00:00:00,Ballinloghig Lake,-10.308333,52.2,"Lake with marginal fen. Physiography: Southern slope of Slieve Mish mountains. Surrounding vegetation: Blanket bog, heath, pasture and woodland.",0,0
223,Ballinloghig Lake,52.2,-10.308333,84,225,pollen,17824,1748,132.5,25,2980,2730,3230,Radiocarbon,1243,EPD E# 7,Core,BALLIN,pollen,FALSE,Markgraf 1993,Radiocarbon years BP,linear interpolation,9600,330,225,1997-08-01T00:00:00,Ballinloghig Lake,-10.308333,52.2,"Lake with marginal fen. Physiography: Southern slope of Slieve Mish mountains. Surrounding vegetation: Blanket bog, heath, pasture and woodland.",0,0
223,Ballinloghig Lake,52.2,-10.308333,84,225,pollen,17824,1748,220,30,4840,4540,5240,Radiocarbon,1244,EPD E# 7,Core,BALLIN,pollen,FALSE,Markgraf 1993,Radiocarbon years BP,linear interpolation,9600,330,225,1997-08-01T00:00:00,Ballinloghig Lake,-10.308333,52.2,"Lake with marginal fen. Physiography: Southern slope of Slieve Mish mountains. Surrounding vegetation: Blanket bog, heath, pasture and woodland.",0,0
223,Ballinloghig Lake,52.2,-10.308333,84,225,pollen,17824,1748,400,20,8820,8530,9110,Radiocarbon,1245,EPD E# 7,Core,BALLIN,pollen,FALSE,Markgraf 1993,Radiocarbon years BP,linear interpolation,9600,330,225,1997-08-01T00:00:00,Ballinloghig Lake,-10.308333,52.2,"Lake with marginal fen. Physiography: Southern slope of Slieve Mish mountains. Surrounding vegetation: Blanket bog, heath, pasture and woodland.",0,0
224,Ballybetagh,53.166667,-6.25,250,226,pollen,13024,9178,0,,-30,-30,0,Core top,1246,,Core,BALLYBET,pollen,TRUE,NAPD 1,Radiocarbon years BP,linear interpolation,13050,-30,226,1994-04-08T00:00:00,Ballybetagh,-6.25,53.166667,Spring-fed marsh or spring. Physiography: On the edge of the Dublin mountains.,0,0
