"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"Aibi Lake","Aibi Lake",45,82.8,194,0.19838226320433072,4007.606648731313,7.989389090188966,-13.440218012633462,24.930292589716984
"Aibi Lake","Aibi Lake ZK00B",44.65,82.9333,195,0.18206409575078622,4059.045741145884,8.11178915242239,-13.722406947734326,25.031338920231025
"Alashan","Alashan-00-02",41.718,100.583,910,0.0732882014204953,3784.500646587407,7.711700655730431,-11.534369472749676,24.57593206338128
"Alashan","Alashan-00-04",42.34,101.034,910,0.07333722608087768,3771.6552582092295,7.669967247822517,-11.534837122726529,24.520422830236907
"Alashan","Alashan-00-05",42.352,100.965,900,0.07289960437692511,3781.6607796657936,7.713175348122278,-11.489990956192148,24.55380899110552
"Alashan","Alashan-00-06",42.166,100.85,930,0.07479861668683825,3781.649012504791,7.757304924473275,-11.353920083577888,24.496805566951345
"Alashan","Alashan-00-07",42.108,102.9,1000,0.08351859822432423,3807.7841696814635,7.802326760107417,-11.432799986815056,24.874943563578338
"Alashan","Alashan-00-09",41.942,102.513,1100,0.0847854114759724,3676.4879858286604,7.275790700657795,-11.887712998472796,24.267660264755552
"Alashan","Alashan-00-12",42.108,101.567,1000,0.07873289617026182,3725.7932611202796,7.478861025134972,-11.723501005101507,24.388827689154493
"Alashan","Alashan-00-15",41.792,100.42,960,0.07446010299815733,3752.6897120325766,7.710997660749324,-11.212086159946434,24.266924552049527
"Alashan","Alashan-00-16",41.78,100.212,960,0.07352579161540652,3748.5117769747244,7.720875177119052,-11.128153459720886,24.201442756400546
"Alashan","Alashan-00-17",41.885,99.847,1000,0.07321913690932877,3702.91716564562,7.577683945825264,-11.137265266379151,23.963061742837926
"Alashan","Alashan-00-18",41.863,99.992,960,0.07291519494265616,3745.2349874363167,7.716670373820437,-11.10162277440672,24.176029351283507
"Alashan","Alashan-00-19",42.352,100.963,900,0.07289598194532487,3781.6195872336525,7.71315160923294,-11.489638691269985,24.55336560799577
"Alashan","Alashan-00-22",42.157,100.299,950,0.07327620327941224,3747.452007538619,7.688216976466562,-11.224363542516365,24.2436989882597
"Alashan","Alashan-00-23",41.87,100.621,910,0.07354642298647979,3806.540255115036,7.8961487038703835,-11.13296084071506,24.528891497688747
"Alashan","Alashan-00-24",41.762,100.205,950,0.0733932181701853,3759.6268547173754,7.759571350786377,-11.110100816074052,24.254172174371703
"Alashan","Alashan-00-24.132",41.883,99.633,960,0.07178498712878383,3734.603361300082,7.700253350026066,-11.032661318788756,24.096185815388388
"Alashan","Alashan-00-25",41.545,99.833,960,0.07484212543580855,3766.520556251962,7.762547445691964,-11.174496880559262,24.316062553926745
"Alashan","Alashan-00-26",41.275,99.474,960,0.07586996985829476,3776.396101439378,7.860608739366041,-10.938194670893772,24.265655204990114
"Alashan","Alashan-00-27",40.87,99.412,1350,0.08643525699857561,3467.9916306313157,7.206779241883596,-10.089634877218487,22.15747516223764
"Alashan","Alashan-00-28",40.84,99.412,1400,0.0878772875885222,3420.267562013329,7.084315763925357,-10.032363727572056,21.86025626038808
"Alashan","Alashan-00-31",39.803,98.797,1300,0.09305852523904976,3546.943295163916,7.662788660347288,-9.348449312810168,22.166389257835668
"Alashan","Alashan-00-32",39.469,98.98,1500,0.10154508701743971,3260.765040237073,6.641435362784462,-10.028763777689479,20.854636886295147
"Alashan","Alashan-00-33",39.296,99.266,1670,0.1099108628249887,3001.466966417362,5.654867985828394,-10.796768729204878,19.759547833488927
"Alashan","Alashan-01-03.97",38.403,101.604,2377,0.17906242931691196,2091.176562099098,2.4600211858529546,-12.124674136557076,15.302694277562853
"Alashan","Alashan-01-05.99",39.278,99.597,1530,0.10941906349459815,3196.2341338264478,6.396907317443539,-10.261515218144417,20.638591090265447
"Alashan","Alashan-01-06",40.35,99.195,1280,0.08856113542502159,3558.687460262711,7.593401383201722,-9.688900405691417,22.446598633868582
"Alashan","Alashan-01-07",40.433,99.383,1330,0.09108136491121438,3485.8890433193424,7.272643955480611,-10.079599426661979,22.223722100204665
"Alashan","Alashan-01-11",40.528,99.485,1330,0.09084467025373331,3481.281751637014,7.237582548896607,-10.152431698084136,22.235184103374124
"Alashan","Alashan-01-12",40.833,99.4,1410,0.08810085834572697,3410.2848662780707,7.057808661973691,-10.022993614539429,21.799282659627703
"Alashan","Alashan-01-13",41.217,99.45,1300,0.08322127930265283,3512.1904907897247,7.296424511250804,-10.210233381665386,22.480939303344805
"Alashan","Alashan-01-15",41.5,99.783,1010,0.07590276258810463,3724.5546260526526,7.669640630933831,-11.065980415105273,24.040605287614117
"Alashan","Alashan-01-16",41.55,99.833,960,0.07482744350220893,3766.3409771719116,7.761578434600435,-11.175863760364905,24.315643880431008
"Alashan","Alashan-01-18",41.733,100.8,979,0.07630115445700768,3735.8920316620392,7.58862044021143,-11.46827854960302,24.28902980588339
"Alashan","Alashan-01-23",41.85,99.667,970,0.07203149580051037,3726.700203059733,7.675999719925747,-11.035911611286004,24.054164678067902
"Alashan","Alashan-01-24.131",41.883,99.633,960,0.07178498712878383,3734.603361300082,7.700253350026066,-11.032661318788756,24.096185815388388
"Alashan","Alashan-01-25",41.933,99.633,1000,0.07209256323014948,3695.1566674514656,7.573916208827513,-11.056850158662492,23.894552394356953
"Alashan","Alashan-01-27",41.667,100.983,900,0.07266075029966523,3783.2188461002274,7.699707015582282,-11.569573499141702,24.585704413210255
"Ali","Ali 1",31.96,90.62,4450,0.45353466471630605,1367.0087517840163,0.49627456495898414,-10.782882375697737,10.587931365943897
"Ali","Ali 2",31.95,90.66,4585,0.43150790908093517,1174.7422315840022,-0.5923992017647867,-11.870730614988513,9.617473716317978
"Ali","Ali 3",31.96,90.62,4450,0.45353466471630605,1367.0087517840163,0.49627456495898414,-10.782882375697737,10.587931365943897
"Ali","Ali 4",31.98,90.46,4520,0.44626543368889393,1261.5830967685174,-0.08296902366713689,-11.337143709673333,10.076817820486495
