"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"A Cespedosa 1","Barboni_a351",42.877778,-6.830556,1425,0.8041316725111927,2899.719372571563,7.876865831869066,-0.5177806214085249,17.782567252494932
"A Cespedosa 2","Barboni_a352",42.877778,-6.830556,1425,0.8041316725111927,2899.719372571563,7.876865831869066,-0.5177806214085249,17.782567252494932
"A Golada","Barboni_a353",42.7,-7,1225,0.8263633966299477,3214.2483697273897,8.806159917061342,0.8464120752775187,18.12603033370962
"A096 (EMBSECBIO)","A096",48.91,24.06,300,0.8963511450837665,3105.0527075566447,7.7256302669235515,-4.736812486629944,17.945966925747875
"A097 (EMBSECBIO)","A097",48.56,27.16,200,0.6073592487365302,3650.556128136247,9.435622495910643,-3.792725612999673,20.872329378936346
"A098 (EMBSECBIO)","A098",48.25,24.33,150,0.7988384400692785,3424.3337459752365,8.791763329485253,-4.088881579162578,19.164538319648408
"Aakenustunturi","FIN/SPH/A60",67.7011055555556,24.4177861111111,330,1.1189843032088722,1323.3271147116218,-2.2600274063184593,-16.62214744858029,13.00751986600051
"Aakenustunturi","FIN/SPH/A61",67.6977777777778,24.4188833333333,390,1.1496781778491314,1208.6128985099238,-3.082152253488589,-17.527848839687664,12.345608467039945
"Aakenustunturi","FIN/SPH/A62",67.6919444444444,24.4205611111111,482,1.1994760661774153,1043.6908117586688,-4.343155144767426,-18.918053571860916,11.331177729966631
"Aakenustunturi","FIN/SPH/A63",67.6886055555556,24.4227694444444,430,1.1705153065678315,1135.3660548694534,-3.630689293728753,-18.133567136865693,11.905300643224862
"Aalgastsee","Aalgastsee_ss",53.13914,13.905,34,0.8046338012630243,3206.1840383716326,8.681358568673701,-0.8927901529490153,17.769571624637972
"Aalkistensee","Aalkistensee_Mba3",48.994444,8.761667,227,0.8709135225505582,3455.732562143103,9.467710007805646,0.10920532005583859,18.477552480652715
