"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"Akert","Akert",55.722412,13.523678,61,0.9771813049359339,2830.8035431193784,7.523006241018671,-1.435658978132914,16.542851734442745
"Alestad","Alestad A",55.719898,13.719322,107,1.0339875564006598,2706.0097485529004,7.092684153578517,-1.8214146088910175,16.1328036060878
"Alestad","Alestad B",55.719898,13.719322,107,1.0339875564006598,2706.0097485529004,7.092684153578517,-1.8214146088910175,16.1328036060878
"Alvena","Alvena",57.610221,18.643962,24,0.900977379281376,2567.031821470773,6.638593918774202,-2.331487822610462,16.19486145943713
"Arno","Arno",58.975792,17.131513,36,0.9024596418290856,2417.4567859986073,5.778440427191165,-3.81174282185783,16.00379933159387
"Backakra","Backakra",55.445596,14.13438,30,0.9242053552779657,2930.3522579226055,7.8254872041148476,-1.3247360240146993,16.948663764454736
"Baldringe","Baldringe",55.531873,13.839669,50,0.951226928032207,2868.275557031364,7.631818669500986,-1.4231565127585997,16.714607327984904
"Boarp","Boarp",56.565372000000004,12.810691,0,0.9703739575190199,2916.246844607331,7.844469874651654,-0.9500169834514642,16.725647059434554
"Bokesjon","Bokesjon",55.575661,13.437382,64,0.9787440134466201,2826.735156453774,7.50974206023181,-1.4461880716341677,16.526690683562293
"Borgahage","Borgahage",56.85344,16.627282,32,0.8618840958432122,2646.714465567822,6.9185765237310175,-1.8926485515779146,16.29190365871477
"Bredasund","Bredasund",56.144443,15.32905,-2,0.8584721590819749,2854.0036212248688,7.631755052646624,-1.1508041824776845,16.772837675744555
"Brosarp","Brosarp",55.72604,14.10094,40,0.9404272233932315,2890.6984643716723,7.704320114356941,-1.3722855877296638,16.799600520290394
"Brunnsbo","Brunnsbo",58.27,13.68,201,1.0914007180116059,2382.028842528434,5.638271312990117,-3.866036975232825,15.43496763410609
"Dagshog","Dagshog",56.48464,12.661719,0,0.9573511659966633,2915.3674871027056,7.843178904638348,-0.9375536688970274,16.715592099771474
"Dalby","Dalby",55.665734,13.3473,75,0.9984266650385393,2794.261629297387,7.401008316793588,-1.5345900399012469,16.414321941796207
"Drakamolla","Drakamolla",55.849858,14.131357,23,0.9357154526403059,2913.067305917476,7.798740241681578,-1.1958540422265844,16.8312524880657
"Eneskar","Eneskar",56.129042,15.803276,26,0.8642816879535838,2762.3270225670935,7.311912668041319,-1.467272458693854,16.552144675373558
"Eneskar-Hallarum","Eneskar-Hallarum",56.141958,15.79803,0,0.8557918323599687,2811.3621911360156,7.492116526809543,-1.2516241445459615,16.688925894392792
"Fjallfotasjon","Fjallfotasjon",55.530185,13.303796,51,0.9608929122033829,2864.6858754759237,7.6392195907874,-1.324551015158971,16.645494024937662
"Frosslunda","Frosslunda",56.515445,16.42215,19,0.8604958308997409,2691.397425832733,7.105015409296026,-1.5871849587900706,16.35774301892149
"Gorslovsan","Gorslovsan",56.19174,12.623968,1,0.9159103561187728,2952.9247207596495,7.969051146700588,-0.8108161477781478,16.813719406636377
"Graborg","Graborg",56.680628,16.604751,33,0.8666866190361674,2661.479163010728,6.9878242993847035,-1.7552862890574656,16.288210461081082
"Hallands Vadero","Hallands Vadero",56.442817,12.561628,10,0.9627685020656617,2894.5167168803014,7.771551245078778,-1.0168794820943614,16.65693009168925
"Hallstad","Hallstad A",58.313168,15.652975,119,0.949726475693275,2411.337691755562,5.735414381216458,-3.8634331251748697,15.782844649087831
"Hallstad","Hallstad B",58.313168,15.652975,119,0.949726475693275,2411.337691755562,5.735414381216458,-3.8634331251748697,15.782844649087831
"Hammarsange","Hammarsange",57.78796,18.794458,18,0.910617870652896,2537.312145337839,6.474985650179477,-2.666391398618658,16.16642703864539
"Hammarsranna","Hammarsranna",55.397458,14.036702,2,0.8957304628327232,3018.218806790751,8.107729444620484,-1.1217932599143983,17.240807353107524
"Haslov","Haslov A",55.439261,13.044929,9,0.8934831632821966,2995.870785708361,8.092538907564046,-0.8045887251880527,16.99393717319008
"Haslov","Haslov B",55.439261,13.044929,9,0.8934831632821966,2995.870785708361,8.092538907564046,-0.8045887251880527,16.99393717319008
"Hasslo","Hasslo",56.111397,15.461529,5,0.8602292345802971,2834.344067236946,7.562226228734756,-1.2271592793808976,16.72666098428242
"Hjallarod","Hjallarod A",56.046025,13.557404,117,1.045427972271941,2672.9752372901416,6.952931869998816,-2.0233023926287745,16.061044411056468
"Hjallarod","Hjallarod B",56.046025,13.557404,117,1.045427972271941,2672.9752372901416,6.952931869998816,-2.0233023926287745,16.061044411056468
"Hogestads mosse","Hogestads mosse",55.509739,13.844586,44,0.9439872165881317,2886.6571225239227,7.69156029104298,-1.380976913553349,16.7779730830377
"Holma","Holma",55.57303,12.985967,16,0.9086632271116997,2968.252977527279,8.004486876820875,-0.8746862243221667,16.903811492903852
"Horby falad","Horby falad",55.859726,13.648409,85,1.0047972095151076,2753.214859751265,7.246400344495193,-1.7195290442776154,16.314222553757578
"Horjel","Horjel Am",55.595548,13.915405,73,0.976118974039282,2799.381789891595,7.4030940286113625,-1.5979208343716493,16.482998124591976
"Horjel","Horjel Bb",55.595548,13.915405,73,0.976118974039282,2799.381789891595,7.4030940286113625,-1.5979208343716493,16.482998124591976
"Horjel","Horjel C",55.595548,13.915405,73,0.976118974039282,2799.381789891595,7.4030940286113625,-1.5979208343716493,16.482998124591976
"Hyby","Hyby",55.58158,13.258778,35,0.9397150901292891,2907.853368287376,7.784342416709593,-1.190163201209758,16.782990462680026
"Ideboas","Ideboas",57.097714,15.672859,178,0.937654670220075,2463.4827256578146,6.076841072528026,-3.204088322631654,15.731835110835574
"Idholm","Idholm",56.153702,15.743671,2,0.8547240201924795,2822.24942259763,7.527279233374909,-1.22469378368583,16.706430124658695
"Ire","Ire Am",56.376642,14.844425,124,0.9463352831526707,2609.9396111435267,6.710203615817264,-2.259156993160243,16.02883557968547
"Ire","Ire B",56.376642,14.844425,124,0.9463352831526707,2609.9396111435267,6.710203615817264,-2.259156993160243,16.02883557968547
"Ire","Ire C",56.376642,14.844425,124,0.9463352831526707,2609.9396111435267,6.710203615817264,-2.259156993160243,16.02883557968547
"Ire","Ire D",56.376642,14.844425,124,0.9463352831526707,2609.9396111435267,6.710203615817264,-2.259156993160243,16.02883557968547
"Ire","Ire G",56.376642,14.844425,124,0.9463352831526707,2609.9396111435267,6.710203615817264,-2.259156993160243,16.02883557968547
"Ire","Ire E",56.376642,14.844425,124,0.9463352831526707,2609.9396111435267,6.710203615817264,-2.259156993160243,16.02883557968547
"Ire","Ire F",56.376642,14.844425,124,0.9463352831526707,2609.9396111435267,6.710203615817264,-2.259156993160243,16.02883557968547
"Karups angar","Karups angar",55.669502,13.551246,24,0.9255026948890309,2935.7798071041634,7.872394430936475,-1.1345105565349056,16.887694230903865
"Krakenabben","Krakenabben",56.0008103,14.718912,5,0.9003290224608061,2938.154899290252,7.886527191313492,-1.0877109022572493,16.940943762357506
"Kronovall","Kronovall A",55.641102,14.047781,126,1.028485276475765,2647.5426684237414,6.886487047676069,-1.9952300075280964,15.96316605177585
