"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"Ushinohira","UsnhrD0",32.4,128.44,50,1.8495652352821705,5827.476966877987,15.965690320213664,5.031836820966098,26.953835840325205
"Odanoike","OdnikD0",33.12,131.18,770,2.9668092566864352,4120.7448935550465,11.26458979249233,-0.266888854418472,22.382083611519278
"Karaike","KaraikD0",33.6,133.08,1220,2.09607920843987,3094.0060827559973,7.713831104257611,-3.803498654731304,19.941094498634786
"Ukishima-no-mori","UksmnD0",33.72,136,5,1.6096158012727564,5911.729239004988,16.196518463027363,5.8748597600297074,27.251039397591516
"Ukishimanomori","UkismC0",33.72,136,7,1.6124097341649979,5907.050990546341,16.18370134396258,5.860162581191159,27.23912789367804
"Kannarashiike","KannrsD0",33.78,133.22,1600,2.4286997319318324,2402.6147716565238,4.7103480306325745,-7.278652569055384,17.52400633665785
"Shoe","ShoeD0",33.8,130.95,5,1.8045950230798338,5770.349300277794,15.809176165144642,4.935810400262118,27.12593672752759
"Ohdai Nanatsuike","Odi945C0",34.18,136.09,1490,3.947431803804281,2769.9234214522503,6.3571497511785395,-5.561938252225115,18.448526348295385
"Ohdai Masakigahara","Odi942C0",34.18,136.11,1630,4.2248363299622325,2565.375324397069,5.478867396417305,-6.558357573466671,17.631202049400848
"Ubuka","UbukC0",34.48,131.58,390,1.8879024378767846,4796.945064450062,13.142315245068662,2.277730525651865,24.845369364624794
"Ikenohira","IknhrD0",34.52,136.18,600,2.282272224525831,4231.657237615513,11.583378699632018,0.058161857711278984,23.64848380441065
"Makura","MakrC0",34.72,132.37,720,1.978051798145172,3993.2570834208054,10.918655178428207,-0.08309227571465681,22.95411624402961
"Oike","OikeC0",34.73,137.62,5,1.7825403067972876,5814.5736195725785,15.930338683760489,5.334506218926879,27.21953114096379
"Oochiba","OocbC0",34.75,137.52,4,1.7807754848624529,5807.5199518614545,15.911013566743712,5.293773546472828,27.22681011496751
"Nose","NoseC0",34.97,135.42,190,1.7110508291774955,5171.78807134699,14.169282387252027,3.0958657596410912,26.124956014459535
"Naganoyama","NgnymC0",35,137.45,550,1.8887973748169768,4310.394457993316,11.808908739461849,0.2745794420181588,23.840279466775225
"Mizorogaike","MzrgkD0",35.05,135.77,75,1.6426942656568815,5474.785697864504,14.999412870861654,4.082175205190124,26.845144016970796
"Hatchodaira C","HatchC0",35.23,135.83,810,2.39527627285582,3677.0451301755347,9.673928892969315,-2.488664671538649,22.259648545483184
"Sugiyaike","SugyikC0",35.23,135.88,950,2.5470895237777964,3417.6135294021465,8.672291311379041,-3.7309737741712916,21.400130249702997
"Sonenuma","SnnmD0",35.23,136.2,86,1.7005896369165892,5422.354530578918,14.855765837202513,3.8748186173858237,26.735573484439463
"Yakumogahara A","YakmC0",35.25,135.92,910,2.4620326886314015,3482.1934964648003,8.916450570997908,-3.46135754867584,21.647536273746137
"Chojidani","ChojiC0",35.34,135.76,637,2.166665087723606,4004.841886909311,10.8252426729276,-1.123477459346819,23.33335991190984
"Hosoike","HosokC0",35.35,134.13,970,2.6377217949482255,3102.87840278686,7.543033592223603,-4.522999857350569,20.61113455257086
"Koseinuma","KosiC0",35.35,134.52,1470,3.8214114896993747,2345.6319041986962,4.219419246324148,-8.342252103844537,17.376658475479097
"Kanai site","D14006",35.366667,139.516667,9,1.646430639258501,5484.275863799043,15.025413325476828,4.8190330676199995,26.158250665100088
"Ohnuma","OhnmC0",35.4,134.57,610,2.1781900026605707,3940.937357473627,10.670808756621934,-0.9753151801117128,23.17654149142367
"Sugawara","SugawC0",35.42,133.98,640,2.1342317279302647,3814.5145950466817,10.256602697033227,-1.3862436594119703,22.92160190307702
"Sugano","SuganoD0",35.45,134.38,340,1.7812966809980701,4618.436847553164,12.653251637131955,1.2859459215498978,24.97922139947456
"Iwaya","IwayaC0",35.53,135.88,20,1.668767402698488,5490.512381643102,15.042499675734527,4.00442863540356,27.117975444556137
"Hanawa","D12008",35.566667,140.15,12,1.6008183838588326,5393.092874832899,14.775596917350407,4.508254049419595,26.005203057640127
"Yamakado Moor","YamakC0",35.57,136.13,300,1.890006055690199,4777.343900665369,13.088613426480462,1.5887441984028903,25.39361429617566
"Higashiterayama","D12007",35.616667,140.133333,5,1.5951535088299829,5402.8195961737365,14.802245468969142,4.531928706569639,26.038065096452424
"Yutorinuma","UtrnmC0",35.63,140.55,620,1.7833336472557446,3846.6307160721303,10.429443131545996,-0.8561700621737466,22.599938213063307
"Ikenokochi","IkenoC0",35.65,136.14,300,1.899236620724595,4766.499532893262,13.058902829844552,1.5441594994458374,25.381382599520038
"Uenodai archaeological sie","D12006",35.65,140.05,5,1.5926903038473623,5401.721796062794,14.799237797432312,4.515526725683623,26.045870473748746
"Oofuke","OfukC0",35.67,135.18,550,2.2733497077253975,4137.625525548825,11.29802600722129,-0.2697513931090085,23.588700392917573
"Kamezaki","KmzkC0",35.68,140.21,4,1.5888056110980542,5392.4082689409515,14.773721284769731,4.491866645226927,26.02619585272175
"Kujukuri plain (YK-6)","D12013",35.716667,140.6,5,1.5727552938978866,5374.801907956547,14.725484679333006,4.449659914514727,25.978564228415372
"Kyoto Nonbara","KNonbC0",35.73,135.13,160,1.6079367019339774,5100.110355517966,13.972905083610867,2.700475093733755,26.266570539742055
"Horinouchi","D12019",35.75,139.916667,22,1.587148845513971,5353.707435657495,14.667691604541082,4.3217322594527365,25.967408141945985
"Tanohata","TanhrC0",35.9,137.48,2000,1.8453946652174387,2024.7332727951257,2.6054225758082383,-10.699757434615151,15.873460012310348
"Ippekiko","D22001",35.916667,139.1,186,1.6643847184509666,4966.7965568111085,13.60766179948249,2.800428054138051,25.284526937377493
"Noda swamp","D12001",35.95,139.85,5,1.5667267016210389,5333.637183833161,14.612704613241537,4.208739613685575,26.00208606145163
"Noda","D12002",35.95,139.85,5,1.5667267016210389,5333.637183833161,14.612704613241537,4.208739613685575,26.00208606145163
"Shirokuma Moor","SirkmC0",36.05,138.38,2130,1.934790571646585,1852.128724619956,1.6035550800215634,-11.986033493580715,15.217228008178132
"Yashimagahara","D20048",36.116667,138.166667,1630,1.8516623840528685,2481.76952218861,4.82741575270347,-8.012420146570191,17.881622611883408
"Morinjinuma","D10003",36.216667,139.533333,8,1.5875567142210802,5307.381454928647,14.540771109393555,4.0122433326914475,26.077257924885338
"Itakuranuma","D10001",36.216667,139.6,10,1.5832997041302819,5300.967583332662,14.52319885844565,3.9992037098409994,26.05507687306548
"Kojonuma","D10004",36.233333,139.55,8,1.5856059029404763,5303.846005843592,14.531084947516693,3.9989249929859896,26.0727816474311
"Karakemi","D20010",36.483333,137.883333,950,1.8567736058987887,3433.8817961582554,8.78761298393882,-3.4668790687326654,21.572893931750254
