"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"Al Jourd","Al Jourd core top",34.35,36.2,2111,0.3094263132106543,3211.3402741270834,8.590185655111231,-1.3178968090355148,17.63452674847079
"Hypkana","Hypkana core top",48.913385,22.16346,840,1.2756860152559466,2237.057321254969,4.693476891866166,-6.634267471291182,14.223057518407556
"Belanske Luky","Belanske Luky core top",49.21496,20.387695,679,1.1498719064407066,2497.7672345490123,5.823340111344589,-5.278545727949496,15.275590860330807
"Bily Karpaty 41","Karpaty 41",48.888139,17.458989,242,0.7723124152942479,3396.543471002844,9.016073587202637,-2.348989835230438,18.748625169961517
"Lough Meenaviller","Lough Meenaviller ss",54.628,-8.66652,152,2.4371733071499984,3067.727170763634,8.404731974694888,3.796163928884917,13.7685292608486
"Loch Idrigill","Loch Idrigill ss",57.83245,-6.752125,20,3.0202029346931845,3003.205740268686,8.227960932242976,4.101910650245692,13.033536366744178
"Loch Lang","Loch Lang ss",57.244555,-7.29608,83,3.440513857006488,2929.8011218156776,8.026852388536103,3.7588230265505422,12.957005207790804
"Sarah's Loch","Sarah's Loch ss",57.959715,-6.983825,35,3.188950965049819,2976.9376177546937,8.155993473300532,4.011640378136866,12.970544677430194
"Lochan Tota Ruairidh Dhuibh","Lochan Tota Ruairidh Dhuibh ss",58.021515,-6.402885,151,4.103135092461816,2733.663104822781,7.489487958418578,3.078182000163538,12.501514110800766
"Loch Mór na Cairteach","Loch Mór na Cairteach ss",58.19274,-6.423595,46,3.3695223460816197,2980.7282166817004,8.166378675840276,4.034451855151015,12.961903161041903
"Loch Maree","Loch Maree core top",57.68456,-5.453995,10,3.363775184408263,3111.4348422615894,8.524479019894766,4.397771899262227,13.280078621771143
"Horni Lomna","MB-5-A",49.520556,18.630833,638,1.2699269166646499,2562.331111885803,6.11234215605879,-4.9245194491989475,15.475801388483644
"Machova","BK-5-A",48.830833,17.541111,442,1.0189549918371639,2894.153488470587,7.344780372681135,-3.7022051871292585,16.80413480310743
"Dastin","Dastin core top",48.645645,17.975875,369,0.9279963840524346,3119.8280922969943,8.068636764702399,-3.324846719875092,17.691241543803123
"Darko","Darko core top",49.63968,15.873705,627,1.0378990781985538,2730.980123617092,6.8752622275898325,-3.5794263356930633,16.20563949755684
"Bily Karpaty 1","BK1",48.837313,17.499965,438,1.0115441288216376,2903.867869661791,7.379746062437872,-3.6665852092970685,16.84406212737815
"Bily Karpaty 2","BK2",48.884507,17.533329,386,0.9485978815402687,3029.4076355088846,7.806996150843921,-3.3256857782213167,17.34081500270067
"Bily Karpaty 3","BK3",48.80854,17.322964,401,0.9541684293110273,2997.777507026801,7.70497090971083,-3.3802257752030815,17.221847964687996
"Bily Karpaty 4","BK4",48.832877,17.524576,389,0.9505459751594499,3024.157386228165,7.788555407956192,-3.3435367264494893,17.320830197906492
"Bily Karpaty 5","BK5",48.81709,17.527297,460,1.0409973064578195,2851.1451245643425,7.196523365299749,-3.81989385691322,16.631472226079477
"Bily Karpaty 6","BK6",48.87034,17.558022,405,0.9735665581360932,2982.882376087461,7.648486337981081,-3.45781009734563,17.15698565134925
"Bily Karpaty 8","BK8",48.864009,17.430106,388,0.945372514096809,3026.4452484084986,7.7995810015454,-3.317706305407307,17.331842303357814
"Bily Karpaty 9","BK9",48.822758,17.502742,391,0.9516867113156576,3019.844049941523,7.774409937600824,-3.3523306369410784,17.304410803579636
"Bily Karpaty 10","BK10",48.848009,17.429744,428,0.9949505211705604,2928.4327340299833,7.466477614530687,-3.5845438645328493,16.94389809588758
"Bily Karpaty 11","BK11",48.822397,17.485159,492,1.080274747880381,2774.192565916452,6.930351748575854,-4.02480938982966,16.32032278034141
"Bily Karpaty 12","BK12",48.855315,17.402717,354,0.902233448195982,3112.1888575115977,8.08743288112684,-3.084948670821977,17.667524833614166
"Bily Karpaty 13","BK13",48.830981,17.441965,584,1.20114881453335,2557.546184033712,6.161146234373064,-4.629796316465799,15.422334749742536
"Bily Karpaty 14","BK14",48.844981,17.446188,523,1.119414873692,2699.7483057237628,6.670365619012508,-4.222979549022973,16.016061441944032
"Bily Karpaty 15","BK15",48.799899,17.392269,546,1.143613992593415,2647.170400293509,6.4850296320387715,-4.3636495735705285,15.799040482787419
"Bily Karpaty 16","BK16",48.807538,17.393075,499,1.0820885383956367,2758.3238774895376,6.878227597709477,-4.050018548897599,16.25784386205223
"Bily Karpaty 17","BK17",48.928199,17.604414,435,1.016765819345065,2907.110810458252,7.389337802842677,-3.668036056410108,16.854556706131124
"Bily Karpaty 18","BK18",48.918476,17.649275,551,1.1771405779598068,2632.3515650605477,6.422962809224967,-4.455018228364732,15.73266778989355
"Bily Karpaty 19","BK19",48.895423,17.546524,519,1.1239467729677362,2707.489419799843,6.694639584053645,-4.218634128100456,16.04609086876992
"Bily Karpaty 20","BK20",48.905005,17.59433,470,1.061681553086226,2823.6408158742584,7.1005870842552605,-3.90065309679446,16.51921490190087
"Bily Karpaty 21","BK21",48.920044,17.604719,495,1.0965689308402873,2763.495386755911,6.890335178481863,-4.070089820891386,16.274681997150005
"Bily Karpaty 22","BK22",48.870509,17.445217,378,0.933921441508859,3050.887789539894,7.88146276952023,-3.2541608131764854,17.42722330043515
"Bily Karpaty 23","BK23",48.882144,17.600384,441,1.0228903933203153,2894.3516234116205,7.344536146750956,-3.707733192903814,16.803573606599628
"Bily Karpaty 24","BK24",48.855398,17.446633,484,1.0683275644793322,2792.2786172903893,6.995769423805664,-3.962438798732752,16.39526358556174
"Bily Karpaty 25","BK25",48.891838,17.614829,559,1.1843928965117316,2614.3511327160213,6.3593354220995835,-4.501947161984166,15.657912812652853
"Bily Karpaty 26","BK26",48.892922,17.591968,481,1.0757857779966424,2797.768856197479,7.010204291592091,-3.974026868660404,16.414288918422223
