"site_name","entity_name","longitude","latitude","elevation","mi","gdd0","mat","mtco","mtwa"
"Cascade Fen [Engineer Mountain Bog]","LMSJ18D",-107.808675,37.647645,2690,0.4534967148047372,2100.273139897588,3.452450080302486,-9.041396087887929,15.767338590183803
"Cascade Fen [Engineer Mountain Bog]","LMSJ18B",-107.808675,37.647645,2690,0.4534967148047372,2100.273139897588,3.452450080302486,-9.041396087887929,15.767338590183803
"Cascade Fen [Engineer Mountain Bog]","LMSJ18A",-107.808675,37.647645,2690,0.4534967148047372,2100.273139897588,3.452450080302486,-9.041396087887929,15.767338590183803
"Cascade Fen [Engineer Mountain Bog]","LMSJ18C",-107.808675,37.647645,2690,0.4534967148047372,2100.273139897588,3.452450080302486,-9.041396087887929,15.767338590183803
"Columbine Ranch Fen","LMSJ17",-107.81571,37.60664,2694,0.4544379750905143,2095.0888702140755,3.4324225294098887,-9.050375648750988,15.74001974880263
"Devils Lake","TW057",-89.73205,43.4178,294,0.938092883475423,3362.690531661815,7.132682683839206,-9.771049181933954,21.695308561538244
"Copperas Pond (Fish Creek)","COPF_C90",-74.376255,44.314045,546,1.3511673942775078,2654.5679237491886,4.8627059341496155,-9.992584969129176,18.22349285887391
"George (BE)","GEO-1M",-93.870705,44.2327949999999,300,0.8429647368258938,3498.2463655639526,7.1049174052181545,-11.374377417937703,22.666194272231998
"George (BE)","GEO-1C",-93.870705,44.2327949999999,300,0.8429647368258938,3498.2463655639526,7.1049174052181545,-11.374377417937703,22.666194272231998
"Baker Lake (Cole 1969)","HC001",-96.00572,64.32433,12,0.7732261577119566,836.8932328366539,-11.817961320671,-32.321521590035715,10.958669026932757
"Repulse Bay (Cole 1969) [Naujaat]","HC002",-86.23529,66.52364,122,0.7096430421481652,480.4877856753015,-13.424977664443203,-31.507106670127893,7.2899406291394495
"Pelly Lake Airport","HC003",-101.083336,66.06667,211,0.7220150851044448,660.328249189977,-13.051556396039114,-33.119589904990065,9.266843912895773
"Cullaton Lake Airport","HC004",-98.49204,61.31631,243,0.8168097437708206,992.7004849872426,-9.806120352220704,-30.864133633122464,12.129507172787141
"Choir Boy Lake","LFR68024",-94.03201,58.659665,35,0.9416168963765288,1193.17064535998,-6.7209747659142165,-27.26942043409486,12.682052128374101
"Choir Boy Lake","LFR68023",-94.03201,58.659665,35,0.9416168963765288,1193.17064535998,-6.7209747659142165,-27.26942043409486,12.682052128374101
"Egg Lake (Cole 1069)","HC006",-101.39832,54.35497,305,0.7440201143477725,2152.685559060203,-0.6791207552295425,-22.095950002081373,17.34613486666736
"Raven Lake (Cole 1969)","HC007",-91.27361,49.28218,476,1.039025941180444,2241.2864982017622,1.1990827279342309,-18.0476399063791,17.442742191132652
"Remi Lake (Cole 1969)","HC008",-82.1688,49.42222,235,1.2553487318578387,2148.911738433787,0.5753894006092377,-18.485103729273522,17.013531951323074
"Klotz Lake (Cole 1969)","HC009",-85.86885,49.79568,280,1.1220455099976714,2054.128817120845,0.17662757526924933,-18.964310229953526,16.49285003507683
"Spiritwood Lake","NDSTSP",-98.5866,47.074695,437,0.5688085101065105,3003.6543807350336,4.5028681472807515,-14.797191328956835,21.032581892702396
"Baker Lake (Nichols Site 17)","S17T1POL10",-96.009323,64.315026,14,0.7730345095961091,834.7769274150079,-11.837061321698984,-32.33425604447871,10.941214031318063
"Baker Lake (Nichols Site 17)","S17T1POL1",-96.009323,64.315026,14,0.7730345095961091,834.7769274150079,-11.837061321698984,-32.33425604447871,10.941214031318063
"Baker Lake (Nichols Site 17)","S17T1POL5",-96.009323,64.315026,14,0.7730345095961091,834.7769274150079,-11.837061321698984,-32.33425604447871,10.941214031318063
"Baker Lake (Nichols Site 17)","S17T1POL4",-96.009323,64.315026,14,0.7730345095961091,834.7769274150079,-11.837061321698984,-32.33425604447871,10.941214031318063
"Baker Lake (Nichols Site 17)","S17T1POL6",-96.009323,64.315026,14,0.7730345095961091,834.7769274150079,-11.837061321698984,-32.33425604447871,10.941214031318063
"Baker Lake (Nichols Site 17)","S17T1POL9",-96.009323,64.315026,14,0.7730345095961091,834.7769274150079,-11.837061321698984,-32.33425604447871,10.941214031318063
"Baker Lake (Nichols Site 17)","S17T1POL3",-96.009323,64.315026,14,0.7730345095961091,834.7769274150079,-11.837061321698984,-32.33425604447871,10.941214031318063
"Baker Lake (Nichols Site 17)","S17T1POL8",-96.009323,64.315026,14,0.7730345095961091,834.7769274150079,-11.837061321698984,-32.33425604447871,10.941214031318063
"Repulse Bay (Nichols Site E) [Naujaat]","SET2POL5",-86.2403,66.5233,19,0.7067319061188961,546.6701342458024,-12.871012943975204,-31.235148955725762,7.825602176996561
"Repulse Bay (Nichols Site E) [Naujaat]","SET2POL10",-86.2403,66.5233,19,0.7067319061188961,546.6701342458024,-12.871012943975204,-31.235148955725762,7.825602176996561
"Repulse Bay (Nichols Site E) [Naujaat]","SET2POL3",-86.2403,66.5233,19,0.7067319061188961,546.6701342458024,-12.871012943975204,-31.235148955725762,7.825602176996561
"Repulse Bay (Nichols Site E) [Naujaat]","SET2POL2",-86.2403,66.5233,19,0.7067319061188961,546.6701342458024,-12.871012943975204,-31.235148955725762,7.825602176996561
"Repulse Bay (Nichols Site E) [Naujaat]","SET2POL1",-86.2403,66.5233,19,0.7067319061188961,546.6701342458024,-12.871012943975204,-31.235148955725762,7.825602176996561
"Repulse Bay (Nichols Site E) [Naujaat]","SET2POL8",-86.2403,66.5233,19,0.7067319061188961,546.6701342458024,-12.871012943975204,-31.235148955725762,7.825602176996561
"Repulse Bay (Nichols Site E) [Naujaat]","SET2POL9",-86.2403,66.5233,19,0.7067319061188961,546.6701342458024,-12.871012943975204,-31.235148955725762,7.825602176996561
"Repulse Bay (Nichols Site E) [Naujaat]","SET2POL4",-86.2403,66.5233,19,0.7067319061188961,546.6701342458024,-12.871012943975204,-31.235148955725762,7.825602176996561
"Repulse Bay (Nichols Site E) [Naujaat]","SET2POL7",-86.2403,66.5233,19,0.7067319061188961,546.6701342458024,-12.871012943975204,-31.235148955725762,7.825602176996561
"Repulse Bay (Nichols Site E) [Naujaat]","SET2POL6",-86.2403,66.5233,19,0.7067319061188961,546.6701342458024,-12.871012943975204,-31.235148955725762,7.825602176996561
"Medicine Lake","SDCOME",-97.3501249999999,44.98419,519,0.6056303978814828,3359.1454329948415,6.531403523772624,-11.704971347652297,22.646573498478887
"Molas Lake","LMSJ13B",-107.682735,37.74759,3200,0.6058535056720058,1232.6142290584787,-0.8743030788426733,-12.842750298659105,10.942489587675276
"Molas Lake","LMSJ13A",-107.682735,37.74759,3200,0.6058535056720058,1232.6142290584787,-0.8743030788426733,-12.842750298659105,10.942489587675276
"Molas Lake","LMSJ13C",-107.682735,37.74759,3200,0.6058535056720058,1232.6142290584787,-0.8743030788426733,-12.842750298659105,10.942489587675276
"Molas Lake","LMSJ13GHI",-107.682735,37.74759,3200,0.6058535056720058,1232.6142290584787,-0.8743030788426733,-12.842750298659105,10.942489587675276
"Molas Pass Bog","LMSJMPB-5",-107.6975,37.737778,3220,0.6136438544217467,1203.10025755508,-1.0345301868201708,-12.980056204631119,10.762575826444014
"Moon Lake","NDBAMO",-98.15984,46.85592,444,0.5702380021242706,3030.2930663349366,4.661226663324401,-14.561722334836109,21.16009045883126
"Roberts Creek 01","RC01",-91.500278,42.986111,308,0.9183318801345605,3609.0880041169025,7.968415583370576,-9.447468949035393,22.594058122834262
"Sierra Bacha 1","SBACHA2F",-112.576388888889,29.7708333333333,220,0.10135896440024007,8120.198985177714,22.247120507336202,14.756572676383534,30.141630404632235
"Scott Lake","BU1468",-81.94163,27.965415,51,0.8825886783113046,7994.87466215507,21.903766197685123,14.863784221350487,27.564264139260093
"Stratton","TW053",-89.181389,44.291667,270,0.9322847107192089,3243.7980692594238,6.712403331298508,-9.898558903211793,21.29894577665634
"Saint Joseph Lake","TW226",-88.51223,45.02874,267,0.9546560469494725,3085.67165092505,6.1481753845598,-10.10303379376798,20.634664964123893
"Site 62-1 (Riegel 1965)","WLR62-1",-81.13,25.265,1,0.8225103989367055,9022.797282636497,24.719992555168485,19.950667309781974,28.629721155891428
"Site 62-2 (Riegel 1965)","WLR62-2",-81.1666666666667,25.2383333333333,1,0.7937165281707252,9036.635253731885,24.757904804744893,20.02214071729601,28.663003121477683
"Site 62-3 (Riegel 1965)","WLR62-3",-81.17,25.26,1,0.8216868733590484,9022.5133991074,24.71921479207507,19.94717730959768,28.630979384757875
"Site 62-5 (Riegel 1965)","WLR62-5",-81.15,25.305,1,0.8237391353725801,9019.86836228965,24.711968115862053,19.934933669450682,28.627474321873514
"Site 62-6 (Riegel 1965)","WLR62-6",-81.1285,25.2766666666667,1,0.8229857221469722,9022.063456016967,24.717982071279362,19.94706481170266,28.628902032199974
