"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"Ahakagyezi Swamp 1","AH1_13",-1.083333,29.9,2208,1.267310819402033,5553.341279981601,15.214633643785207,14.685840617171229,15.448495687025078
"Albitrunca Cliff 1","ALBITR1_0",-23.65,16.266667,1784,0.15665039518531165,7154.111136311296,19.600304483044646,12.411698592371954,25.218450581484394
"Albitrunca Cliff 2","ALBITR2_0",-23.650278,16.266667,1786,0.15687871436206524,7153.307844491748,19.598103683539037,12.404385207790101,25.219173606026068
"Badsfontein","BADSFONT_0",-30.766667,25.816667,1333,0.2849924399967781,5792.353336022892,15.869461194583266,8.731437350799514,22.634242632930796
"Baie de Bouéni","BOUENI_0",-12.876389,45.090278,0,0.9830588644906517,9560.583502498986,26.193379458901337,24.213303614707833,27.461566514675773
"Bal Lake","BAL_1",13.306944,10.949444,334,0.18020612278548334,10144.442649243138,27.79299355957024,21.509657050021527,32.872975704025116
"Coraf 1","CORAFT_0",-4.75,11.850278,2,1.0154061051970034,9265.151358144769,25.383976323684298,22.249108938794457,27.423909819908236
"Crescent Island Crater Lake","NAIVASHA_1",-0.75,36.333333,1881,0.7744487851292781,6442.626608699768,17.651031804656903,16.106086197337618,18.944510660950797
"Crescent Island Crater Lake","NAIVASHA_17",-0.75,36.333333,1881,0.7744487851292781,6442.626608699768,17.651031804656903,16.106086197337618,18.944510660950797
"Crescent Island Crater Lake","NAIVASHA_33",-0.75,36.333333,1881,0.7744487851292781,6442.626608699768,17.651031804656903,16.106086197337618,18.944510660950797
"Crescent Island Crater Lake","NAIVASHA_49",-0.75,36.333333,1881,0.7744487851292781,6442.626608699768,17.651031804656903,16.106086197337618,18.944510660950797
"Crescent Island Crater Lake","NAIVASHA_65",-0.75,36.333333,1881,0.7744487851292781,6442.626608699768,17.651031804656903,16.106086197337618,18.944510660950797
"Dassle Rock","DASEAST_0",-23.583333,15.066667,415,0.019290969827695452,7152.072757501862,19.594719883566743,16.397165098065113,22.525699207498395
"Deelpan Meriba 1","DEELMER1_0",-29.183333,25.75,1272,0.2691577311972898,6313.15155200064,17.296305621919558,9.323866084523438,24.259907274674973
"Dega Sala Swamp","DEGASALA_0",7.816667,39.333333,3311,0.8617445041313697,3539.23649027242,9.69653832951348,8.733295694148735,10.980946654723452
"Diogo 01","01DIOGO_2",15.266667,-16.8,14,0.2589573393285712,9710.266209334599,26.603469066670133,23.00309144959603,28.457774359827624
"Diogo 02","02DIOGO_1",15.266944,-16.8,12,0.26260069586665247,9710.064318287172,26.602915940512798,22.996629537152053,28.46238682379556
"Eastern Niger Delta","NIGERDC2_0",4.55,6.433333,5,1.7061142631391668,9744.417172936492,26.697033350510935,25.1931486512225,28.385704292442934
"Fort Portal 1","FPORTAL1_0",0.666389,30.276111,1510,0.8983406154235288,7168.938978638542,19.640928708598747,19.054949895441595,20.244927234529538
"Garba Guracha","GGSU_0",6.866667,39.85,4090,0.9935136653059755,2080.588411583889,5.700242223517504,4.3747577311944195,7.208001049337723
"Goho","GOHO_0",6.443056,2.579167,3,1.0667005101069813,9815.187058102218,26.89092344685539,25.13104099879695,28.54802211120566
"Grootdrift Farm 1","GDV1-2_20",-32.399722,18.452778,72,0.21237786568912995,6506.1089443325645,17.82495601187004,13.131361299307745,22.263442928303693
"Grootdrift Farm 1","GDV1-2_5",-32.399722,18.452778,72,0.21237786568912995,6506.1089443325645,17.82495601187004,13.131361299307745,22.263442928303693
"Ishiba Ngandu","SHIWA_0",-11.25,31.75,1472,0.7860417788834726,7468.145920140373,20.460673753809242,16.57353495341359,23.3587027822408
"Jikariya Lake","JIKARIYA_1",13.313667,11.077,328,0.18001836238650196,10150.168318558344,27.808680324817384,21.52617944056532,32.88301190762783
"Kamiranzovu Swamp","KAMI_0",-2.55,29,1684,1.0964169135649253,6922.313122703431,18.965241432064197,18.260023020821542,19.36910245547681
"Karonge/Kirasa River","LT98-82M_1",-3.583611,29.325278,767,0.7020453807277205,8817.469575419043,24.157450891559023,23.035923473300713,25.130899393780073
"Karonge/Kirasa River","LT98-82M_3",-3.583611,29.325278,767,0.7020453807277205,8817.469575419043,24.157450891559023,23.035923473300713,25.130899393780073
"Kasenda Lake","KASENDA_0.5",0.433333,30.283333,1242,0.8399561625820501,7783.4165502545675,21.324428904807036,20.648587193080424,22.031511531220325
"Kasenda Lake","KASENDA_2.5",0.433333,30.283333,1242,0.8399561625820501,7783.4165502545675,21.324428904807036,20.648587193080424,22.031511531220325
"Kasenda Lake","KASENDA_4.5",0.433333,30.283333,1242,0.8399561625820501,7783.4165502545675,21.324428904807036,20.648587193080424,22.031511531220325
"Kasenda Lake","KASENDA_6.5",0.433333,30.283333,1242,0.8399561625820501,7783.4165502545675,21.324428904807036,20.648587193080424,22.031511531220325
