"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"Grootdrift Farm 2","GDV4_0",-32.3833333333333,18,720,0.31197010816818893,5910.962462942609,16.19441770669208,10.398175328441269,21.821689880734482
"Grootdrift Farm 2","GDV4_5",-32.3833333333333,18,720,0.31197010816818893,5910.962462942609,16.19441770669208,10.398175328441269,21.821689880734482
"Airport Swamp","Airport Swamp core_05",31.54,159.08,5,,,,,
"Airport Swamp","Airport Swamp core_105",31.54,159.08,5,,,,,
"Airport Swamp","Airport Swamp core_25",31.54,159.08,5,,,,,
"Airport Swamp","Airport Swamp core_50",31.54,159.08,5,,,,,
"Airport Swamp","Airport Swamp core_75",31.54,159.08,5,,,,,
"Bremer Bay Swamp","Bremer Bay Swamp_a",-34.833,119.4,0,,,,,
"Bremer Bay Swamp","Bremer Bay Swamp_b",-34.833,119.4,0,,,,,
"Bremer Bay Swamp","Bremer Bay Swamp_c",-34.833,119.4,0,,,,,
"Groote Eylandt","Groote Eylandt - core 891 (Four Mile Billabong)",-13.52,136.49,1,,,,,
"Lake Euramoo","Lake Euramoo_Haberle 1999_1600",-17.1667,146.633,718,0.8090252546221499,7778.76807102972,21.311693345286905,16.667268802228456,24.568427539246386
"Lake Euramoo","Lake Euramoo_Haberle 1999_1601",-17.1667,146.633,718,0.8090252546221499,7778.76807102972,21.311693345286905,16.667268802228456,24.568427539246386
"Lake Euramoo","Lake Euramoo_Haberle 1999_1602",-17.1667,146.633,718,0.8090252546221499,7778.76807102972,21.311693345286905,16.667268802228456,24.568427539246386
"Lake Euramoo","Lake Euramoo_Haberle 1999_1603",-17.1667,146.633,718,0.8090252546221499,7778.76807102972,21.311693345286905,16.667268802228456,24.568427539246386
"Lake Euramoo","Lake Euramoo_Haberle 1999_1604",-17.1667,146.633,718,0.8090252546221499,7778.76807102972,21.311693345286905,16.667268802228456,24.568427539246386
"Lake Euramoo","Lake Euramoo_Haberle 1999_1606",-17.1667,146.633,718,0.8090252546221499,7778.76807102972,21.311693345286905,16.667268802228456,24.568427539246386
"Lake Euramoo","Lake Euramoo_Haberle 1999_1608",-17.1667,146.633,718,0.8090252546221499,7778.76807102972,21.311693345286905,16.667268802228456,24.568427539246386
