"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"Grootdrift Farm 2","GDV4_0",-32.3833333333333,18,-95,,,,,
"Grootdrift Farm 2","GDV4_5",-32.3833333333333,18,-95,,,,,
"Airport Swamp","Airport Swamp core_05",31.54,159.08,-3286,,,,,
"Airport Swamp","Airport Swamp core_105",31.54,159.08,-3286,,,,,
"Airport Swamp","Airport Swamp core_25",31.54,159.08,-3286,,,,,
"Airport Swamp","Airport Swamp core_50",31.54,159.08,-3286,,,,,
"Airport Swamp","Airport Swamp core_75",31.54,159.08,-3286,,,,,
"Bremer Bay Swamp","Bremer Bay Swamp_a",-34.833,119.4,-1044,,,,,
"Bremer Bay Swamp","Bremer Bay Swamp_b",-34.833,119.4,-1044,,,,,
"Bremer Bay Swamp","Bremer Bay Swamp_c",-34.833,119.4,-1044,,,,,
"Groote Eylandt","Groote Eylandt - core 891 (Four Mile Billabong)",-13.52,136.49,-1,,,,,
"Lake Euramoo","Lake Euramoo_Haberle 1999_1600",-17.1667,146.633,-41,,,,,
"Lake Euramoo","Lake Euramoo_Haberle 1999_1601",-17.1667,146.633,-41,,,,,
"Lake Euramoo","Lake Euramoo_Haberle 1999_1602",-17.1667,146.633,-41,,,,,
"Lake Euramoo","Lake Euramoo_Haberle 1999_1603",-17.1667,146.633,-41,,,,,
"Lake Euramoo","Lake Euramoo_Haberle 1999_1604",-17.1667,146.633,-41,,,,,
"Lake Euramoo","Lake Euramoo_Haberle 1999_1606",-17.1667,146.633,-41,,,,,
"Lake Euramoo","Lake Euramoo_Haberle 1999_1608",-17.1667,146.633,-41,,,,,
"Lake Euramoo","Lake Euramoo_Haberle 1999_1612",-17.1667,146.633,-41,,,,,
"Rano Kao","Rano Kao_a",-27.1833,-109.4333,132,,,,,
"Rano Kao","Rano Kao_b",-27.1833,-109.4333,132,,,,,
"Rano Kao","Rano Kao_c",-27.1833,-109.4333,132,,,,,
"Umej","Umej_core",-20.2594,168.8594,-4560,,,,,
"Umej","Umej_ss",-20.2594,168.8594,-4560,,,,,
"Warrananga Salt Lake","Warrananga core",-39.97,141.56,-4179,,,,,
"Warrananga Salt Lake","Warrananga ss_2",-39.97,141.56,-4179,,,,,
"Qinghai Lake","Qinghai Lake L10",37.0369166666667,100.200611111111,3194,0.2601108995825113,1502.9427141468325,0.42252893670563474,-12.886989312034252,11.699309844749882
"Lake Baikal St. GC 3-96","Binney2017_E2214",53.68,108.35,449,0.5740036668073268,2055.5824519647686,-1.754130012443556,-23.681169617504167,17.764384444461818
"Bezrukova 1","Binney2017_E2702",53.63,108.3,449,0.5734768492423274,2059.303592178891,-1.736267308264596,-23.674430028154887,17.78266260985518
"Bezrukova 11","Binney2017_E2714",51.75,105.12,449,0.8820712465562872,2369.4407811984415,0.6022696290599209,-20.051909979420277,18.89522780838499
"Bezrukova 13","Binney2017_E2736",55.32,109.47,449,0.6127791505477617,1899.450701587799,-2.9442983599313646,-25.156262637530133,17.214164382563553
"Bezrukova 14","Binney2017_E2747",53.72,108.33,449,0.5743123745293148,2054.9078729754974,-1.755226214338638,-23.67560313248909,17.760268788117724
"Bezrukova 16","Binney2017_E2769",54.92,109.22,449,0.6055706808924144,1923.3209269742295,-2.716500278099093,-24.81334244062008,17.274516310299173
"Bezrukova 18","Binney2017_E2776",55.35,109.43,449,0.6139267858648857,1898.120705543258,-2.9605728916435603,-25.185002199033008,17.21145735848403
"Bezrukova 20","Binney2017_E2779",53.72,108.33,449,0.5743123745293148,2054.9078729754974,-1.755226214338638,-23.67560313248909,17.760268788117724
"Bezrukova 23","Binney2017_E2782",52.85,107.67,449,0.5798499192887704,2162.01301800795,-1.240040386817565,-23.464415260882056,18.278238853070043
"Bezrukova 26","Binney2017_E2785",55.32,109.47,449,0.6127791505477617,1899.450701587799,-2.9442983599313646,-25.156262637530133,17.214164382563553
"Bezrukova 28","Binney2017_E2787",51.78,105.45,449,0.8220502827280537,2364.909134445087,0.4111102431082451,-20.65170873474706,18.939717843498215
"Bezrukova 3","Binney2017_E2789",53.53,108,449,0.5742927796759286,2093.4250831158292,-1.544885736047982,-23.52162210577318,17.94271437425801
"Bezrukova 31","Binney2017_E2791",52.05,105.85,449,0.7214238527818223,2347.8706624015945,0.05182327691735328,-21.65063169105089,18.978209375714247
"Bezrukova 34","Binney2017_E2794",55.35,109.43,449,0.6139267858648857,1898.120705543258,-2.9605728916435603,-25.185002199033008,17.21145735848403
"Bezrukova 37","Binney2017_E2797",53.63,108.23,449,0.5743374478086383,2072.701109824735,-1.6578452615952062,-23.60198290506902,17.845533552839335
"Bezrukova 38","Binney2017_E2798",53.12,108.1,449,0.5755412932710924,2105.772276480792,-1.5241909839070462,-23.619981199238943,18.0155100019837
"Bezrukova 39","Binney2017_E2799",53.62,108.12,449,0.5743467196687116,2080.6604341027883,-1.6122449743169356,-23.564592462988617,17.882085222239922
"Bezrukova 4","Binney2017_E2800",53.53,108,449,0.5742927796759286,2093.4250831158292,-1.544885736047982,-23.52162210577318,17.94271437425801
"Bezrukova 40","Binney2017_E2801",53.63,108.3,449,0.5734768492423274,2059.303592178891,-1.736267308264596,-23.674430028154887,17.78266260985518
"Bezrukova 44","Binney2017_E2805",53.63,108.3,449,0.5734768492423274,2059.303592178891,-1.736267308264596,-23.674430028154887,17.78266260985518
"Bezrukova 45","Binney2017_E2806",54.92,109.22,449,0.6055706808924144,1923.3209269742295,-2.716500278099093,-24.81334244062008,17.274516310299173
"Bezrukova 8","Binney2017_E2844",53.63,108.3,449,0.5734768492423274,2059.303592178891,-1.736267308264596,-23.674430028154887,17.78266260985518
"Bezrukova 9","Binney2017_E2855",53.63,108.23,449,0.5743374478086383,2072.701109824735,-1.6578452615952062,-23.60198290506902,17.845533552839335
