"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"R44","Binney2017_E3374",71.17,-179.75,197,0.708440206965016,102.9546947611789,-13.440015372498621,-27.88828965024542,1.8900744750479967
"Laysan Island Lake","LAYSAN",25.768,-171.7328,-16,,,,,
"Lake Hill","LAHI",57.17824,-170.24827,29,,,,,
"Lake Hill","LAHI",57.17824,-170.24827,29,,,,,
"Ra'irua marsh","RAIDA4_3",-23.868164,-147.678742,10,,,,,
"Ra'irua marsh","RAIDA4_13",-23.868164,-147.678742,10,,,,,
"Ra'irua marsh","RAIDA4_23",-23.868164,-147.678742,10,,,,,
"Ra'irua marsh","RAIDA4_33",-23.868164,-147.678742,10,,,,,
"Tukou marsh","TUKOU2_6",-27.604014,-144.351975,113,,,,,
"Tukou marsh","TUKOU2_12",-27.604014,-144.351975,113,,,,,
"Tukou marsh","TUKOU2_22",-27.604014,-144.351975,113,,,,,
"La Push","CJH088",48.096871,-124.619112,-247,3.300305100267215,3747.447002919047,10.26697809018917,4.760687285005536,16.463986735028115
"Stand 77 (Mack and Bryant 1974]","RNM077",47.28,-120.08,232,-0.04068625454464061,4374.934746575458,11.929055659203557,-0.24297912213458875,23.503137033046027
"Rano Kao","Rano Kao_a",-27.1833,-109.4333,132,,,,,
"Rano Kao","Rano Kao_b",-27.1833,-109.4333,132,,,,,
"Rano Kao","Rano Kao_c",-27.1833,-109.4333,132,,,,,
"Devon Island Glacier","DEVON4",75.35,-82.5,1831,1.829705800230354,0.47188250041206903,-21.984888369505125,-37.112155202213444,-0.42839988703594695
"Devon Island Glacier","DEVON4",75.35,-82.5,1831,1.829705800230354,0.47188250041206903,-21.984888369505125,-37.112155202213444,-0.42839988703594695
"Site 2, Georgian Bay, Canadian Hydrographic Service","AT1966-2",45.376,-81.151,175,1.0654017039187114,2912.2178585975416,5.735778911534476,-9.505471616350135,19.462217344767225
"Site 9, Georgian Bay, Canadian Hydrographic Service","AT1966-9",45.155,-81.075,175,1.0599086238520274,2914.019861884858,5.7357726896414984,-9.521126595120933,19.49201380750597
"Site 6, Georgian Bay, Canadian Hydrographic Service","AT1966-6",45.294,-81.068,175,1.0660540682854824,2913.731499831647,5.741171697743965,-9.499865619954344,19.471334588430672
"Site 13, Georgian Bay, Canadian Hydrographic Service","AT1966-13",45.122,-80.93,175,1.0636272704221865,2913.0276482742997,5.725332335392317,-9.549775518092819,19.496025344322565
"Site 11a, Georgian Bay, Canadian Hydrographic Service","AT1966-11A",45.201,-80.897,175,1.0645591220583168,2907.7785279143286,5.689877452308345,-9.624014326515985,19.486005365044164
"Site 22, Georgian Bay, Canadian Hydrographic Service","AT1966-22",45.248,-80.858,175,1.0656069995549808,2904.4396047208397,5.666439940177039,-9.674774362316274,19.480796897359234
"Site 24, Georgian Bay, Canadian Hydrographic Service","AT1966-24",45.297,-80.857,175,1.0709004289608255,2910.258180408006,5.709074999792908,-9.582275550680903,19.476124580305356
"Site 19a, Georgian Bay, Canadian Hydrographic Service","AT1966-19A",45.137,-80.84,175,1.065992017727097,2910.4688024466386,5.705720285324317,-9.595383143644264,19.494727590882054
"Site 27, Georgian Bay, Canadian Hydrographic Service","AT1966-27",45.406,-80.836,175,1.072951033363681,2906.597182451285,5.684239357124385,-9.637477581747532,19.468478712482984
"Site 11, Georgian Bay, Canadian Hydrographic Service","AT1966-11",45.047,-80.781,175,1.0674016275023295,2914.7418242770423,5.732093940579794,-9.545254722797875,19.50708184265149
"Site 7, Georgian Bay, Canadian Hydrographic Service","AT1966-7",45.192,-80.753,175,1.0683262758814154,2905.8789974913957,5.6721033321747525,-9.670982523169918,19.489530957284106
"Site 3, Georgian Bay, Canadian Hydrographic Service","AT1966-3",45.337,-80.745,175,1.0777891968904767,2902.012432063107,5.649302710382556,-9.707121063203369,19.472646375624333
"Site 5, Georgian Bay, Canadian Hydrographic Service","AT1966-5",45.252,-80.737,175,1.0771353590414359,2904.4754365632625,5.66598954648523,-9.67081602009366,19.478167789830405
"Site 19, Georgian Bay, Canadian Hydrographic Service","AT1966-19",45.182,-80.616,175,1.0754493044096607,2909.0801802795313,5.681164836680272,-9.676348360550188,19.528734118709245
"Site 23, Georgian Bay, Canadian Hydrographic Service","AT1966-23",45.027,-80.604,175,1.0755314934803875,2917.672876503643,5.7398155534989295,-9.555257017873867,19.549195558556846
"Site 31, Georgian Bay, Canadian Hydrographic Service","AT1966-31",45.22,-80.535,175,1.0766706384411782,2908.6337886845736,5.671056397535638,-9.7122838796177,19.53728641000184
