"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"Fuschia Creek","Fuschia Creek_mod",-41.85179,171.707,300,2.9823029467181232,3878.0796962204645,10.624875880056067,5.561508484797586,15.397118485602107
"Karamea Bluff","Karamea Bluff_mod",-41.216,172.1047,70,3.1630011842744223,4386.022034155427,12.016498723713497,7.598785423300619,16.337441208688453
"Karamea Pond","Karamea Pond_mod",-41.254,172.113,50,3.0347631053860593,4412.380555846865,12.088713851635246,7.597607911306903,16.422689012728437
"Lake Hanlon","Lake Hanlon_mod",-41.43,172.1075,127,2.988304298067321,4253.993250666471,11.654776029223209,6.990342986649736,16.128549296407765
"Little Wanganui","Little Wanganui_mod",-41.3528,172.1351,450,2.76039300180687,3612.1358275600364,9.896262541260374,4.657466029770786,14.896944629165013
"Lyell Buller Road","Lyell Buller_mod",41.78,171.598,85,,,,,
"Lyell Picnic Grounds","LPC_mod",-41.788,172.0838,500,2.5750468537284763,3503.2029374752074,9.597816267055363,4.168314436757168,14.712032222062168
"Omaha Creek","Omaha Creek_mod",-41.767,171.63158,100,3.0825020544554134,4287.085551650472,11.745439867535538,7.024187263517975,16.19284241250859
"Little Wanganui","Little Wanganui_M1",-41.402,172.106,120,2.99303919221792,4268.64065548337,11.694905905433892,7.048687283688734,16.15488456492458
"Little Wanganui","Little Wanganui_M2",-41.394,172.0995,100,3.0085325099124147,4308.561665139061,11.804278534627564,7.196686326835018,16.229991597484428
"Corbyvale","Corbyvale pastures",-41.4712,172.0464,370,2.849309975963224,3766.343869727002,10.318750328019183,5.212663611025991,15.189271600495761
"Corbyvale","Corbyvale",-41.47386,172.06356,370,2.843590494597692,3766.837736151521,10.320103386716497,5.212447678284902,15.191927581454342
"Corbyvale","Glasseye Creek",-41.4128,172.0682,250,2.920364077452976,4007.8403172528047,10.980384430829602,6.10023504938841,15.651058784634019
"Denniston","Denniston moss sample 1",-41.738,171.7956,600,2.7939011270348546,3293.620152602586,9.023616856445441,3.4710552008733404,14.279726692099118
"Denniston","Denniston moss sample 2",-41.738,171.7956,600,2.7939011270348546,3293.620152602586,9.023616856445441,3.4710552008733404,14.279726692099118
"Dew Lakes","Dew Lakes core",-41.326746,173.410263,600,1.8649410413324246,3387.7833842941727,9.28159831313472,3.7068649071051882,14.538769415089915
"Fissoa River  PNG","Fissoa River",-2.935,151.47,2,2.861643030811038,9627.114963070528,26.37565743306994,26.075869749287037,26.603860591320334
"Fool Swamp","Fool Swamp_0",9.501456,138.09093,5,2.3653175856081265,9992.653465350466,27.377132781782098,26.937292122840876,27.73729218244552
"Fool Swamp","Fool Swamp_10",9.501456,138.09093,5,2.3653175856081265,9992.653465350466,27.377132781782098,26.937292122840876,27.73729218244552
"Fool Swamp","Fool Swamp_20",9.501456,138.09093,5,2.3653175856081265,9992.653465350466,27.377132781782098,26.937292122840876,27.73729218244552
"Fool Swamp","Fool Swamp_30",9.501456,138.09093,5,2.3653175856081265,9992.653465350466,27.377132781782098,26.937292122840876,27.73729218244552
"Fool Swamp","Fool Swamp_40",9.501456,138.09093,5,2.3653175856081265,9992.653465350466,27.377132781782098,26.937292122840876,27.73729218244552
"Kugubaru","Kugubaru core",-5.85,142.8,1680,2.4374673868692693,7949.417085355894,21.77922489138601,20.832022972396178,22.310692648911655
"Lahakai Swamp","Lahakai Swamp_40",-2.19,147.2,7.5,2.5378421608455253,9612.822860900293,26.336500988767927,25.50630448679829,26.625737120191154
"Lahakai Swamp","Lahakai Swamp_50",-2.19,147.2,7.5,2.5378421608455253,9612.822860900293,26.336500988767927,25.50630448679829,26.625737120191154
"Lahakai Swamp","Lahakai Swamp_60",-2.19,147.2,7.5,2.5378421608455253,9612.822860900293,26.336500988767927,25.50630448679829,26.625737120191154
"Lahakai Swamp","Lahakai Swamp_70",-2.19,147.2,7.5,2.5378421608455253,9612.822860900293,26.336500988767927,25.50630448679829,26.625737120191154
"Lake Rotoiti","Lake Rotoiti_mod",-41.7989,172.83257,279,1.8503450590681945,3986.6108012887757,10.922221373393906,5.695342040535804,15.794456516634348
"Lake Sylvester","Lake Sylvester_0.5",-41.11,172.63,1320,1.9008481387698875,1979.1765574854396,5.224897324242996,-1.45593613451766,11.549186902957034
"Laravida Tarn","Laravida core",-8.3896,147.361055555556,3560,1.883986825821695,5400.49758357632,14.795883790620055,13.485536330532295,15.77013290522946
"Laukutu Swamp","Laukutu core",-9.4818,160.0768,20,2.4288674890571333,9263.516266224926,25.379496619794317,24.676013253022994,25.97731358076401
"Marlborough Sounds","Marlborough_mod",-41.29,174.0265,200,1.4515094866234441,4247.689874416671,11.637506505251155,6.637103946270323,16.373356656547497
"Mela Swamp","Mela core",-9.4824,160.0989,20,2.42985113547468,9261.27333008548,25.373351589275288,24.670602616776637,25.971982921824857
"Nurenk Swamp","Nurenk_10",-5.6,144.35,1950,1.9545265000396665,7648.437588072935,20.954623528966945,20.00443249265075,21.489371439242444
"Nurenk Swamp","Nurenk_20",-5.6,144.35,1950,1.9545265000396665,7648.437588072935,20.954623528966945,20.00443249265075,21.489371439242444
"Nurenk Swamp","Nurenk_30",-5.6,144.35,1950,1.9545265000396665,7648.437588072935,20.954623528966945,20.00443249265075,21.489371439242444
"Otari","Otari 1",-41.268,174.751,100,1.3150889038859783,4486.3342888183115,12.291326818680306,7.494965746350053,16.919219244487838
"Otari","Otari Gardens",-41.268,174.751,100,1.3150889038859783,4486.3342888183115,12.291326818680306,7.494965746350053,16.919219244487838
"Paturau","Paturau_mod",-40.654,172.4485,5,2.5610521808897424,4596.246499282716,12.5924561624184,8.217790853126363,16.82009198331503
"Rotohokahoka Lagoon","Rotohokahoka_1",-38.22,176.301,560,1.9018241725384477,4024.29828973559,11.025474766398878,5.790710096985919,16.15169829668763
"Rotohokahoka Lagoon","Rotohokahoka_2",-38.22,176.301,560,1.9018241725384477,4024.29828973559,11.025474766398878,5.790710096985919,16.15169829668763
"Rotohokahoka Lagoon","Rotohokahoka_3",-38.22,176.301,560,1.9018241725384477,4024.29828973559,11.025474766398878,5.790710096985919,16.15169829668763
"Rotohokahoka Lagoon","Rotohokahoka_4",-38.22,176.301,560,1.9018241725384477,4024.29828973559,11.025474766398878,5.790710096985919,16.15169829668763
"Rotohokahoka Lagoon","Rotohokahoka Tawa Stand 5",-38.1729,176.2637,500,1.8645724996399318,4151.615190428771,11.374288192955536,6.156358514743254,16.468295509485603
"Rotohokahoka Lagoon","Rotohokahoka Tawa Stand 6",-38.18,176.256,500,1.8649576388287283,4151.40036375486,11.373699626725644,6.1557824126989935,16.467826959076177
"Little Wanganui Saddle Lakes","LW Lower Saddle Lake",-41.3848,172.078,1090,2.3263189692912682,2335.0818836874555,6.390847376113524,-0.014821855617863255,12.445648684291047
"Little Wanganui Saddle Lakes","LW Upper Saddle Lake",-41.3558,172.13168,1080,2.31748113440164,2355.5308740201663,6.451186252756591,0.06969416040854125,12.484921226441067
"Takaka Range","Takaka summit",-40.9,172.6569,300,2.52110506589531,3957.3149431694505,10.841958748409454,5.887115683939675,15.605956897791872
"Takaka River","Takaka river",-40.8257,172.7936,30,2.225867625597169,4535.128971614904,12.425010881136723,7.839733119446422,16.820740610978504
"Thool Swamp","Thool_0",9.537008,138.165772,5,2.365553931239444,9992.65346535047,27.377132781782105,26.937292122840883,27.737292182445525
"Thool Swamp","Thol_25",9.537008,138.165772,5,2.365553931239444,9992.65346535047,27.377132781782105,26.937292122840883,27.737292182445525
"Thool Swamp","Thool_45",9.537008,138.165772,5,2.365553931239444,9992.65346535047,27.377132781782105,26.937292122840883,27.737292182445525
"Thool Swamp","Thool_55",9.537008,138.165772,5,2.365553931239444,9992.65346535047,27.377132781782105,26.937292122840883,27.737292182445525
"Wairau Valley","Wairau_mod",-41.5656,173.5134,120,1.5518492937471535,4370.328264654015,11.973502094942507,7.035805944568006,16.63371493451119
"Goochs Swamp","Gooches_0",-33.45,150.26,960,0.5352322018386011,4286.111105542377,11.742770152170895,3.967425657115609,19.378963474948844
"Goochs Swamp","Gooches_5",-33.45,150.26,960,0.5352322018386011,4286.111105542377,11.742770152170895,3.967425657115609,19.378963474948844
"Goochs Swamp","Gooches_10",-33.45,150.26,960,0.5352322018386011,4286.111105542377,11.742770152170895,3.967425657115609,19.378963474948844
"Cape Foulwind","Cape Foulwind_mod",-41.7478,171.5067,70,3.354406408403117,4327.658027924149,11.85659733677849,7.355604257251546,16.146654123411665
"Mount Field","CMF_1 surface sample",-42.6667,146.5,150,1.25473757573418,4010.6998151529024,10.988218671651786,6.9577073917723204,15.177837429558387
"Mount Field","CMF_2 moss polster",-42.6667,146.5,170,1.2585934651523236,3974.971847873481,10.890333829790357,6.834561376492087,15.116919067569366
"Mount Field","CMF_3 moss polster",-42.6667,146.5,245,1.273010114292207,3840.9919705756492,10.523265672809998,6.372763819191211,14.888475210110537
"Mount Field","CMF_4 moss polster",-42.6667,146.5,580,1.336676388640515,3242.548518645336,8.883694571631057,4.3100680632472965,13.868092646794436
"Mount Field","CMF_5 moss polster",-42.6667,146.5,580,1.336676388640515,3242.548518645336,8.883694571631057,4.3100680632472965,13.868092646794436
"Mount Field","CMF_6 moss polster",-42.6667,146.5,610,1.3423274965223417,3188.9565677262035,8.736867308838914,4.125349040326946,13.776715103810904
"Mount Field","CMF_7 moss polster",-42.6667,146.5,640,1.3479714007585184,3135.364616807071,8.59004004604677,3.940630017406596,13.685337560827373
"Mount Field","CMF_8 moss polster",-42.6667,146.6,850,1.3757876664395274,2764.362032385102,7.573594609274252,2.65141878212698,13.058197538421712
"Mount Field","CMF_9 lacustrine mud",-42.6667,146.6333,990,1.4017762993091125,2515.538624897899,6.891886643555887,1.7951355001415739,12.632039504687604
"Mount Field","CMF_10 moss polster",-42.6667,146.6,990,1.4047616886739442,2514.183027748486,6.888172678762976,1.7928668229995965,12.62874049382651
"Mount Field","CMF_11 moss polster",-42.6667,146.5,975,1.410572188624204,2536.9211648767578,6.950468944867829,1.877934261462682,12.664954997511272
"Mount Field","CMF_12 mud",-42.6667,146.5,1010,1.417074539146084,2474.3972221377694,6.779170471610327,1.6624287347222733,12.558347864030486
"Mount Field","CMF_13 mud",-42.6667,146.5,1070,1.4282076877048882,2367.2133202995046,6.48551594602604,1.292990688881572,12.375592778063423
