"clean","intermediate","amalgamated","included in"
"Abatia","Abatia","Abatia","neotoma_south_america_pollen"
"Abelia","Abelia","Abelia","CMPD, SMPDSv1"
"Abies","Abies","Abies","CMPD, EMBSeCBIO, EMPDv2, Herzschuh, IbMPD, japanese_pollen, neotoma_north_america_pollen, neotoma_extra, neotropics_pollen, SMPDSv1"
"Abies alba","Abies alba","Abies","EMPDv2, neotoma_extra, SMPDSv1"
"Abies balsamea","Abies balsamea","Abies","neotoma_north_america_pollen"
"Abies cilicica","Abies cilicica","Abies","EMBSeCBIO, EMPDv2, SMPDSv1"
"Abies fargesii","Abies fargesii","Abies","CMPD, SMPDSv1"
"Abies lasiocarpa","Abies lasiocarpa","Abies","neotoma_north_america_pollen"
"Abies nordmanniana","Abies nordmanniana","Abies","EMBSeCBIO, EMPDv2, SMPDSv1"
"Abies pinsapo","Abies pinsapo","Abies","EMPDv2, IbMPD, SMPDSv1"
"Abies pinsapo subsp marocana","Abies pinsapo subsp marocana","Abies","EMPDv2, IbMPD, SMPDSv1"
"Abies sibirica","Abies sibirica","Abies","dugerdil_pollen, EMPDv2, SMPDSv1, tatiana_pollen"
"Abronia","Abronia","Allionia","neotoma_north_america_pollen"
"Abrus type","Abrus","Abrus","australia_pollen"
"Abuta","Abuta","Abuta","neotoma_south_america_pollen, neotropics_pollen"
"Abutilon","Abutilon","Abutilon","australia_pollen"
"Abutilon type","Abutilon","Abutilon","neotoma_north_america_pollen"
"Acacia","Acacia","Acacia","AMSS, APD, australia_pollen, CMPD, EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen"
"Acacia aulacocarpa","Acacia aulacocarpa","Acacia","australia_pollen"
"Acacia confusa","Acacia confusa","Acacia","CMPD, SMPDSv1"
"Acacia cyclops","Acacia cyclops","Acacia","australia_pollen"
"Acacia koa","Acacia koa","Acacia","neotoma_north_america_pollen"
"Acacia saligna","Acacia saligna","Acacia","australia_pollen"
"Acacia type","Acacia","Acacia","APD, australia_pollen, neotoma_north_america_pollen, Phelps"
"Acaena","Acaena","Rosaceae","australia_pollen, neotoma_south_america_pollen, neotropics_pollen, southern_hemisphere_pollen"
"Acaena/Polylepis","Acaena/Polylepis","Rosaceae","neotoma_south_america_pollen"
"Acaena/Polylepis type","Acaena/Polylepis","Rosaceae","neotoma_south_america_pollen"
"Acalypha","Acalypha","Euphorbiaceae","AMSS, APD, australia_pollen, CMPD, EMBSeCBIO, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen"
"Acalypha type","Acalypha","Euphorbiaceae","australia_pollen, Phelps"
"Acanthaceae","Acanthaceae","Acanthaceae","APD, australia_pollen, CMPD, Herzschuh, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen"
"Acantholimon","Acantholimon","Plumbaginaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Acanthopanax","Acanthopanax","Araliaceae","japanese_pollen"
"Acanthus","Acanthus","Acanthus","australia_pollen, CMPD, EMPDv2, neotropics_pollen, SMPDSv1"
"Acanthus ilicifolius","Acanthus ilicifolius","Acanthus","CMPD, SMPDSv1"
"Acanthus mollis","Acanthus mollis","Acanthaceae","EMPDv2, SMPDSv1"
"Acanthus type","Acanthus","Acanthus","Phelps"
