"source","site_name","entity_name","latitude","longitude","elevation","old_elevation","basin_size","site_type","entity_type","age_BP","ID_BIOME","PNV","ID_SAMPLE","on_land","on_lake","publication","doi"
"EMPDv2","R44","Binney2017_E3374",71.17,-179.75,197,822,"not known","not known","not known","assumed modern",28,"tundra",6611,1,0,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020"
"Neotoma","Laysan Island Lake","LAYSAN",25.768,-171.7328,-16,0,"not known","lake","core","-40",,"not applicable",14075,1,0,"Athens, J.S., J.V. Ward, and D.W. Blinn. 2004. Holocene paleoenvironment of Laysan Island, Northwestern Hawaiian Islands. Pacific Islands Ecoregion, Division of Ecological Services, U.S. Fish and Wildlife Service, Honolulu, Hawaii, USA.; Athens, J.S., J.V. Ward, and D.W. Blinn. 2007. Vegetation history of Laysan Island, northwestern Hawaiian Islands. Pacific Science 61(1):17-37.",
"Neotoma","Lake Hill","LAHI",57.17824,-170.24827,29,37,"not known","lake","core","-56",9,"cool mixed forest",14430,1,0,"Graham, R.W., S. Belmecheri, K. Choy, B. Culleton, L.J. Davies, D. Froese, P.D. Heintzman, C. Hritz, J.D. Kapp, L.A. Newsom, R. Rawcliffe, É. Saulnier-Talbot, B. Shapiro, Y. Wang, J.W. Williams, and M.J. Wooller. 2016. Timing and causes of mid-Holocene mammoth extinction on St. Paul Island, Alaska. Proceedings of the National Academy of Sciences of the United States of America 113(33):9310-9314.","10.1073/pnas.1604903113"
"Neotoma","Lake Hill","LAHI",57.17824,-170.24827,29,37,"not known","lake","core","2",9,"cool mixed forest",14431,1,0,"Graham, R.W., S. Belmecheri, K. Choy, B. Culleton, L.J. Davies, D. Froese, P.D. Heintzman, C. Hritz, J.D. Kapp, L.A. Newsom, R. Rawcliffe, É. Saulnier-Talbot, B. Shapiro, Y. Wang, J.W. Williams, and M.J. Wooller. 2016. Timing and causes of mid-Holocene mammoth extinction on St. Paul Island, Alaska. Proceedings of the National Academy of Sciences of the United States of America 113(33):9310-9314.","10.1073/pnas.1604903113"
"Neotoma","Ra'irua marsh","RAIDA4_3",-23.868164,-147.678742,10,1.42,"not known","terrestrial, marsh","core","-50",,"not applicable",24368,1,0,"Prebble, M., A.J. Anderson, P. Augustinus, J. Emmitt, S.J. Fallon, L.L. Furey, S.J. Holdaway, A. Jorgensen, T.N. Ladefoged, P.J. Matthews, J.-Y. Meyer, R. Phillipps, R. Wallace, and N. Porch. 2019. Early tropical crop production in marginal subtropical and temperate Polynesia. Proceedings of the National Academy of Sciences of the United States of America 116(18):8824-8833.","10.1073/pnas.1821732116"
"Neotoma","Ra'irua marsh","RAIDA4_13",-23.868164,-147.678742,10,1.42,"not known","terrestrial, marsh","core","-23",,"not applicable",24369,1,0,"Prebble, M., A.J. Anderson, P. Augustinus, J. Emmitt, S.J. Fallon, L.L. Furey, S.J. Holdaway, A. Jorgensen, T.N. Ladefoged, P.J. Matthews, J.-Y. Meyer, R. Phillipps, R. Wallace, and N. Porch. 2019. Early tropical crop production in marginal subtropical and temperate Polynesia. Proceedings of the National Academy of Sciences of the United States of America 116(18):8824-8833.","10.1073/pnas.1821732116"
"Neotoma","Ra'irua marsh","RAIDA4_23",-23.868164,-147.678742,10,1.42,"not known","terrestrial, marsh","core","3",,"not applicable",24370,1,0,"Prebble, M., A.J. Anderson, P. Augustinus, J. Emmitt, S.J. Fallon, L.L. Furey, S.J. Holdaway, A. Jorgensen, T.N. Ladefoged, P.J. Matthews, J.-Y. Meyer, R. Phillipps, R. Wallace, and N. Porch. 2019. Early tropical crop production in marginal subtropical and temperate Polynesia. Proceedings of the National Academy of Sciences of the United States of America 116(18):8824-8833.","10.1073/pnas.1821732116"
"Neotoma","Ra'irua marsh","RAIDA4_33",-23.868164,-147.678742,10,1.42,"not known","terrestrial, marsh","core","30",,"not applicable",24371,1,0,"Prebble, M., A.J. Anderson, P. Augustinus, J. Emmitt, S.J. Fallon, L.L. Furey, S.J. Holdaway, A. Jorgensen, T.N. Ladefoged, P.J. Matthews, J.-Y. Meyer, R. Phillipps, R. Wallace, and N. Porch. 2019. Early tropical crop production in marginal subtropical and temperate Polynesia. Proceedings of the National Academy of Sciences of the United States of America 116(18):8824-8833.","10.1073/pnas.1821732116"
"Neotoma","Tukou marsh","TUKOU2_6",-27.604014,-144.351975,113,2,"not known","terrestrial, marsh","core","-32",,"not applicable",24372,0,0,"Kennett, D., A. Anderson, M. Prebble, E. Conte, and J. Southon. 2006. Prehistoric human impacts on Rapa, French Polynesia. Antiquity 80(308):340-354.;
Prebble, M., A. Anderson, and D.J. Kennett. 2013. Forest clearance and agricultural expansion on Rapa, Austral Archipelago, French Polynesia. The Holocene 23(2):179-196.;
Prebble, M., A.J. Anderson, P. Augustinus, J. Emmitt, S.J. Fallon, L.L. Furey, S.J. Holdaway, A. Jorgensen, T.N. Ladefoged, P.J. Matthews, J.-Y. Meyer, R. Phillipps, R. Wallace, and N. Porch. 2019. Early tropical crop production in marginal subtropical and temperate Polynesia. Proceedings of the National Academy of Sciences of the United States of America 116(18):8824-8833.","10.1017/S0003598X00093662;
10.1177/0959683612455551;
10.1073/pnas.1821732116"
"Neotoma","Tukou marsh","TUKOU2_12",-27.604014,-144.351975,113,2,"not known","terrestrial, marsh","core","-13",,"not applicable",24373,0,0,"Kennett, D., A. Anderson, M. Prebble, E. Conte, and J. Southon. 2006. Prehistoric human impacts on Rapa, French Polynesia. Antiquity 80(308):340-354.;
Prebble, M., A. Anderson, and D.J. Kennett. 2013. Forest clearance and agricultural expansion on Rapa, Austral Archipelago, French Polynesia. The Holocene 23(2):179-196.;
Prebble, M., A.J. Anderson, P. Augustinus, J. Emmitt, S.J. Fallon, L.L. Furey, S.J. Holdaway, A. Jorgensen, T.N. Ladefoged, P.J. Matthews, J.-Y. Meyer, R. Phillipps, R. Wallace, and N. Porch. 2019. Early tropical crop production in marginal subtropical and temperate Polynesia. Proceedings of the National Academy of Sciences of the United States of America 116(18):8824-8833.","10.1017/S0003598X00093662;
10.1177/0959683612455551;
10.1073/pnas.1821732116"
