taxon_name,clean_name,action
?Ilex sp,Ilex,update
Abelia,Abelia,update
Abies,Abies,update
Abies alba,Abies alba,update
Abies cilicica,Abies cilicica,update
Abies fargesii,Abies fargesii,update
Abies nordmanniana,Abies nordmanniana,update
Abies pinsapo,Abies pinsapo,update
Abies pinsapo subsp marocana,Abies pinsapo subsp marocana,update
Abies pinsapo subsp marocana ,Abies pinsapo subsp marocana,update
Abies sibirica,Abies sibirica,update
Acacia,Acacia,update
Acacia confusa,Acacia confusa,update
Acacia greggii,Senegalia greggii,update
Acacia groupe III,Acacia,update
Acacia sp,Acacia,update
Acalypha,Acalypha,update
Acalypha-type,Acalypha type,update
Acanthaceae,Acanthaceae,update
Acantholimon,Acantholimon,update
Acanthus,Acanthus,update
Acanthus ilicifolius,Acanthus ilicifolius,update
Acanthus mollis,Acanthus mollis,update
Acardiaceae,Anacardiaceae,update
Acer,Acer,update
Acer campestre,Acer campestre,update
Acer campestre type,Acer campestre type,update
Acer pseudoplatanus,Acer pseudoplatanus,update
Acer turkestanica,Acer turkestanica,update
Acer type,Acer type,update
Achillea,Achillea,update
Achillea type,Achillea type,update
Achillea-type,Achillea type,update
Achillea/Anthemis type,Achillea/Anthemis type,update
Achillea/Aster,Achillea/Aster,update
Achillea/Aster type,Achillea/Aster type,update
Achillea/Eupatorium type,Achillea/Eupatorium type,update
Achyranthes,Achyranthes,update
Achyranthes aspera type,Achyranthes aspera type,update
Aconitum,Aconitum,update
Aconitum napellus type,Aconitum napellus type,update
Aconitum septentrionale,Aconitum septentrionale,update
Aconitum type,Aconitum type,update
Acronychia,Acronychia,update
Actaea,Actaea,update
Actinidia,Actinidia,update
Actinidia chinensis var deliciosa,Actinidia chinensis var deliciosa,update
Actinostemma/Gynostemma,Actinostemma/Gynostemma,update
Adenanthera,Adenanthera,update
Adenostyles type,Adenostyles type,update
Adi,Adina,update
Adiantum,Adiantum,update
Adina,Adina,update
Adinandra,Adinandra,update
Adonis,Adonis,update
Adonis aestivalis,Adonis aestivalis,update
Adonis aestivalis type,Adonis aestivalis type,update
Adonis type,Adonis type,update
Adonis vernalis,Adonis vernalis,update
Adoxa,Adoxa,update
Adoxa moschatellina,Adoxa moschatellina,update
Adoxa moschatellina type,Adoxa moschatellina type,update
Aegopodium,Aegopodium,update
Aegopodium podagraria,Aegopodium podagraria,update
Aegopodium type,Aegopodium type,update
Aellenia type,Aellenia type,update
Aerva javanica type,Aerva javanica type,update
Aerva type,Aerva type,update
Aeschynanthus,Aeschynanthus,update
Aeschynomene-type baumii,Aeschynomene baumii type,update
Aesculus,Aesculus,update
Aesculus chinensis var wilsonii,Aesculus chinensis var wilsonii,update
Aesculus hippocastanum,Aesculus hippocastanum,update
Aethusa cynapium-type,Aethusa cynapium type,update
Afrocrania,Cornus,update
Aganosma,Aganosma,update
Aglaia,Aglaia,update
Agrimonia,Agrimonia,update
Agrimonia type,Agrimonia type,update
Agrostemma,Agrostemma,update
Agrostemma githago,Agrostemma githago,update
Agrostemma type,Agrostemma type,update
Aidia,Aidia,update
Aidia henryi,Aidia henryi,update
Ailanthus,Ailanthus,update
Ailanthus altissima,Ailanthus altissima,update
Aizoaceae,Aizoaceae,update
Aizoaceae-type,Aizoaceae,update
Ajania,Ajania,update
Ajuga,Ajuga,update
Ajuga type,Ajuga type,update
