taxon_name,clean_name,action
Abelia,Abelia,update
Abies,Abies,update
Abrus,Abrus,update
Abutilon,Abutilon,update
Acacia,Acacia,update
Acacia ehrenbergiana-type,Vachellia flavens type,update
Acacia mellifera-type,Senegalia mellifera type,update
Acacia nilotica-type,Vachellia nilotica type,update
Acacia polyacantha-type,Senegalia polyacantha type,update
Acacia seyal-type,Vachellia seyal type,update
Acacia tortilis-type,Vachellia tortilis type,update
Acacia type1,Acacia type,update
Acacia/Parkia,Acacia/Parkia,update
Acalypha,Acalypha,update
Acalypha ciliata-type,Acalypha ciliata type,update
Acalypha crenata-type,Acalypha crenata type,update
Acanthaceae undiff.,Acanthaceae,update
Acanthus-type,Acanthus type,update
Acanthus-type pubescens,Acanthus polystachyus type,update
Acer,Acer,update
Achyranthes-type,Achyranthes type,update
Achyranthes-type aspera,Achyranthes aspera type,update
Acridocarpus,Acridocarpus,update
Acrostichum aureum,Acrostichum aureum,update
Actiniopteris radiata-type,Actiniopteris radiata type,update
Adansonia,Adansonia,update
Adansonia digitata,Adansonia digitata,update
Adenandra,Adenandra,update
Adenia,Adenia,update
Adenia lobata-type,Adenia lobata type,update
Adenium obesum-type,Adenium obesum type,update
Adenodolichos-type,Adenodolichos type,update
Adenopodia scelerata-type,Adenopodia scelerata type,update
Adenorandia-type kalbreyeri,Adenorandia kalbreyeri type,update
Adiantum,Adiantum,update
Aerva-type,Aerva type,update
Aerva-type javanica,Aerva javanica type,update
Aerva-type lanata,Ouret lanata type,update
Aeschynomene,Aeschynomene,update
Aeschynomene afraspera-type,Aeschynomene afraspera type,update
Aeschynomene baumii-type,Aeschynomene baumii type,update
Aeschynomene elaphroxylon-type,Aeschynomene elaphroxylon type,update
Afraegle-type paniculata,Afraegle paniculata type,update
Afrocrania volkensii,Cornus volkensii,update
Afzelia,Afzelia,update
Afzelia africana-type,Afzelia africana type,update
Agavaceae undiff.,Asparagaceae,update
Agrocharis,Daucus,update
Aidia-type,Aidia type,update
Aidia-type micrantha,Aidia micrantha type,update
Aizoaceae undiff.,Aizoaceae,update
Aizoon canariense-type,Aizoon canariense type,update
Ajuga,Ajuga,update
Alafia-type,Alafia type,update
Alangium,Alangium,update
Alangium chinense,Alangium chinense,update
Albizia-type,Albizia type,update
Alchemilla,Alchemilla,update
Alchornea,Alchornea,update
Alchornea cordifolia-type,Alchornea cordifolia type,update
Allanblackia,Allanblackia,update
Allophylus,Allophylus,update
Allophylus abyssinicus-type,Allophylus abyssinicus type,update
Allophylus africanus-type,Allophylus africanus type,update
Alnus,Alnus,update
Aloe-type,Aloe type,update
Alstonia-type,Alstonia type,update
Alstonia-type boonei,Alstonia boonei type,update
Alstonia-type congensis,Alstonia congensis type,update
Alternanthera,Alternanthera,update
Amanoa-type,Amanoa type,update
Amaranthaceae undiff.,Amaranthaceae,update
Amaranthaceae/Chenop,Amaranthaceae,update
Amaranthaceae/Chenopodiaceae undiff.,Amaranthaceae,update
Amaranthus-type,Amaranthus type,update
Amaryllidaceae undiff.,Amaryllidaceae,update
Ambrosia-type maritima,Ambrosia maritima type,update
Ammannia-type,Ammannia type,update
Ammannia-type prieureana,Ammannia prieureana type,update
Ampelocissus-type,Ampelocissus type,update
Amphimas,Amphimas,update
Anacardiaceae undiff.,Anacardiaceae,update
Anacardium occidentale,Anacardium occidentale,update
Anacolosa uncifera,Anacolosa uncifera,update
Anagallis,Anagallis,update
Anchomanes-type,Anchomanes type,update
Anchusa-type,Anchusa type,update
Andrachne,Andrachne,update
Androcymbium,Colchicum,update
Aneilema-type,Aneilema type,update
Anemia-type,Anemia type,update
Angylocalyx-type,Angylocalyx type,update
Aniseia martinicensis,Aniseia martinicensis,update
Anisotes,Anisotes,update
Annona,Annona,update
Annona senegalensis-type,Annona senegalensis type,update
