taxon_name,clean_name,action
Abelia,Abelia,update
Abies,Abies,update
Abies fargesii,Abies fargesii,update
Acacia,Acacia,update
Acacia confusa,Acacia confusa,update
Acalypha,Acalypha,update
Acanthaceae,Acanthaceae,update
Acanthus,Acanthus,update
Acanthus ilicifolius,Acanthus ilicifolius,update
Acer,Acer,update
Aceraceae,Sapindaceae,update
Aconitum,Aconitum,update
Acronychia,Acronychia,update
Actinidia,Actinidia,update
Adenanthera,Adenanthera,update
Adina,Adina,update
Adinandra,Adinandra,update
Aegiceras,Aegiceras,update
Aeschynanthus,Aeschynanthus,update
Aesculus,Aesculus,update
Aesculus wilsonii,Aesculus chinensis var wilsonii,update
Aganosma,Aganosma,update
Aglaia,Aglaia,update
Ailanthus,Ailanthus,update
Aizoaceae,Aizoaceae,update
Ajania,Ajania,update
Akebia,Akebia,update
Alangiaceae,Cornaceae,update
Alangium,Alangium,update
Albizia,Albizia,update
Alchornea,Alchornea,update
Alhagi,Alhagi,update
Allium,Allium,update
Allomorphia,Oxyspora,update
Allophylus,Allophylus,update
Alnus,Alnus,update
Alocasia,Alocasia,update
Alopecurus,Alopecurus,update
Alternanthera,Alternanthera,update
Altingia,Liquidambar,update
Altingiaceae,Altingiaceae,update
Alyxia,Alyxia,update
Amaranthaceae,Amaranthaceae,update
Amaranthaceae+Chenopodiaceae,Amaranthaceae,update
Amaranthus,Amaranthus,update
Amaryllidaceae,Amaryllidaceae,update
Ambrosia,Ambrosia,update
Amygdalus,Amygdalus,update
Anabasis,Anabasis,update
Anacardiaceae,Anacardiaceae,update
Anagallis,Anagallis,update
Androsace,Androsace,update
Anemone,Anemone,update
Annonaceae,Annonaceae,update
Anodendron,Anodendron,update
Anthemis,Anthemis,update
Antidesma,Antidesma,update
Antiotrema,Antiotrema,update
Aphanamixis,Aphanamixis,update
Apiaceae,Apiaceae,update
Apocynaceae,Apocynaceae,update
Apocynum,Apocynum,update
Apodytes,Apodytes,update
Aporosa,Aporosa,update
Aquifoliaceae,Aquifoliaceae,update
Aquilegia,Aquilegia,update
Arabis,Arabis,update
Araceae,Araceae,update
Aralia,Aralia,update
Araliaceae,Araliaceae,update
Arceuthobium,Arceuthobium,update
Arctium,Arctium,update
Ardisia,Ardisia,update
Areca,Areca,update
Arecaceae,Arecaceae,update
Arenaria,Arenaria,update
Argemone,Argemone,update
Argostemma,Argostemma,update
Arisaema,Arisaema,update
Aristolochia,Aristolochia,update
Artemisia,Artemisia,update
Artocarpus,Artocarpus,update
Asclepiadaceae,Asclepiadaceae,update
Asparagus,Asparagus,update
Asperula,Asperula,update
Aster,Aster,update
Asteraceae,Asteraceae,update
Astragalus,Astragalus,update
Atractylodes,Atractylodes,update
Atraphaxis,Atraphaxis,update
Atriplex,Atriplex,update
Averrhoa,Averrhoa,update
Balbisia,Balbisia,update
Baphicacanthus,Strobilanthes,update
Bauhinia,Bauhinia,update
Berberidaceae,Berberidaceae,update
Berberis,Berberis,update
Betula,Betula,update
Betula albo sinensis,Betula utilis subsp albosinensis,update
Betula costata,Betula costata,update
Betula dahurica,Betula dahurica,update
Betula middendorfii,Betula middendorfii,update
Betula platyphylla,Betula platyphylla,update
Bignoniaceae,Bignoniaceae,update
Bischofia,Bischofia,update
Boenninghausenia,Boenninghausenia,update
Bombacaceae,Malvaceae,update
Boraginaceae,Boraginaceae,update
Bowringia,Bowringia,update
Brassica,Brassica,update
Brassica campestris,Brassica rapa,update
Brassicaceae,Brassicaceae,update
Bredia,Bredia,update
Breynia,Breynia,update
Bridelia,Bridelia,update
Broussonetia,Broussonetia,update
Buddleja,Buddleia,update
Bupleurum,Bupleurum,update
Buxaceae,Buxaceae,update
Buxus,Buxus,update
Cactaceae,Cactaceae,update
Caesalpinia,Caesalpinia,update
Cajanus,Cajanus,update
