ID_SITE,ID_ENTITY,ID_SAMPLE,site_name,entity_name,latitude,longitude,elevation,site_type,entity_type,sample_type,basin_size,source,age_BP,avg_depth
2,2,92,Sakhare,Sakhare core 1,41.58,45.32,800,"lacustrine, playa",core,marsh/bog sediment,small (0.01-1 km2),EMBSECBIO,-50,0
2,2,93,Sakhare,Sakhare core 1,41.58,45.32,800,"lacustrine, playa",core,marsh/bog sediment,small (0.01-1 km2),EMBSECBIO,19,0.04
2,1169,3086,Sakhare,Sakhare-2,41.58,45.32,800,"lacustrine, playa",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
2,1170,3087,Sakhare,Sakhare-3,41.58,45.32,800,"lacustrine, playa",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
2,1171,3088,Sakhare,Sakhare-4,41.58,45.32,800,"lacustrine, playa",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
2,1197,3114,Sakhare,Sakhare-1,41.58,45.32,800,"lacustrine, playa",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
3,3,111,Kumisi,Kumisi core 1,41.58,44.83,469,"lacustrine, natural open-water, tectonic lake",core,lacustrine sediment,medium (1.1-50 km2),EMBSECBIO,-54,0
3,3,112,Kumisi,Kumisi core 1,41.58,44.83,469,"lacustrine, natural open-water, tectonic lake",core,lacustrine sediment,medium (1.1-50 km2),EMBSECBIO,-6,0.1
3,3,113,Kumisi,Kumisi core 1,41.58,44.83,469,"lacustrine, natural open-water, tectonic lake",core,lacustrine sediment,medium (1.1-50 km2),EMBSECBIO,40,0.2
3,1172,3089,Kumisi,Kumisi-2,41.58,44.83,469,"lacustrine, natural open-water, tectonic lake",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
3,1173,3090,Kumisi,Kumisi-3,41.58,44.83,469,"lacustrine, natural open-water, tectonic lake",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
3,1174,3091,Kumisi,Kumisi-4,41.58,44.83,469,"lacustrine, natural open-water, tectonic lake",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
4,4,216,Tsavkisi,Tsavkisi core 1,41.68,44.72,1100,"terrestrial, mire, bog",core,marsh/bog sediment,small (0.01-1 km2),EMBSECBIO,0,0
4,1175,3092,Tsavkisi,Tsavkisi-1,41.68,44.72,1100,"terrestrial, mire, bog",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
4,1176,3093,Tsavkisi,Tsavkisi-2,41.68,44.72,1100,"terrestrial, mire, bog",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
4,1177,3094,Tsavkisi,Tsavkisi-3,41.68,44.72,1100,"terrestrial, mire, bog",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
4,1178,3095,Tsavkisi,Tsavkisi-4,41.68,44.72,1100,"terrestrial, mire, bog",surface sample,,small (0.01-1 km2),EMBSECBIO,0,0
5,5,311,Imera,Imera core 1,41.65,44.22,1610,"terrestrial, mire, bog",core,marsh/bog sediment,small (0.01-1 km2),EMBSECBIO,-51,0
5,5,312,Imera,Imera core 1,41.65,44.22,1610,"terrestrial, mire, bog",core,marsh/bog sediment,small (0.01-1 km2),EMBSECBIO,35,0.05
5,1186,3103,Imera,Imera-1,41.65,44.22,1610,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
5,1187,3104,Imera,Imera-2,41.65,44.22,1610,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
5,1188,3105,Imera,Imera-3,41.65,44.22,1610,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
5,1189,3106,Imera,Imera-4,41.65,44.22,1610,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
6,6,374,Aligol,Aligol core 1,41.63,44.02,1550,"terrestrial, mire, bog",core,marsh/bog sediment,small (0.01-1 km2),NOAA,-7,0
6,6,375,Aligol,Aligol core 1,41.63,44.02,1550,"terrestrial, mire, bog",core,marsh/bog sediment,small (0.01-1 km2),NOAA,21,0.04
6,6,376,Aligol,Aligol core 1,41.63,44.02,1550,"terrestrial, mire, bog",core,marsh/bog sediment,small (0.01-1 km2),NOAA,49,0.08
6,2086,9901,Aligol,AL1,41.64,44.021,1550,"terrestrial, mire, bog",surface sample,sediment,small (0.01-1 km2),EMBSECBIO,-52,0
6,2087,9902,Aligol,AL2,41.641,44.021,1550,"terrestrial, mire, bog",surface sample,sediment,small (0.01-1 km2),EMBSECBIO,-52,0
6,2088,9903,Aligol,AL3,41.641,44.021,1550,"terrestrial, mire, bog",surface sample,sediment,small (0.01-1 km2),EMBSECBIO,-52,0
7,7,428,Ispani-II,Ispani II core 1,41.87,41.8,2,"terrestrial, mire, bog,	raised bog",peat core,marsh/bog sediment,medium (1.1-50 km2),EMBSECBIO,-53,0
7,7,429,Ispani-II,Ispani II core 1,41.87,41.8,2,"terrestrial, mire, bog,	raised bog",peat core,marsh/bog sediment,medium (1.1-50 km2),EMBSECBIO,43,0.25
8,8,2,Lake Urmia,Urmia core 20,37.5,45.5,1297,"lacustrine, natural open-water",core,lacustrine sediment,very large (>500 km2),NOAA,-35,0
9,9,52,Adange,Adange core 1,43.31,41.33,1750,fluvial,core,alluvial sediments,small (0.01-1 km2),NOAA,-12,0.02
9,9,53,Adange,Adange core 1,43.31,41.33,1750,fluvial,core,alluvial sediments,small (0.01-1 km2),NOAA,19,0.05
9,9,54,Adange,Adange core 1,43.31,41.33,1750,fluvial,core,alluvial sediments,small (0.01-1 km2),NOAA,30,0.06
14,1045,467,Anzali lagoon,Anzali Lagoon 1,37.45,49.25,-28,"lacustrine, natural open-water",sediment sample,lacustrine mud,large (50.1-500 km2),EMBSECBIO,0,
14,1165,468,Anzali lagoon,Anzali lagoon 12,37.45,49.25,-28,"lacustrine, natural open-water",sediment sample,lacustrine mud,large (50.1-500 km2),EMBSECBIO,0,
14,1166,469,Anzali lagoon,Anzali lagoon 15,37.45,49.25,-28,"lacustrine, natural open-water",sediment sample,lacustrine mud,large (50.1-500 km2),EMBSECBIO,0,
14,1167,470,Anzali lagoon,Anzali lagoon 6,37.45,49.25,-28,"lacustrine, natural open-water",sediment sample,lacustrine mud,large (50.1-500 km2),EMBSECBIO,0,
14,1168,471,Anzali lagoon,Anzali lagoon 8,37.45,49.25,-28,"lacustrine, natural open-water",sediment sample,lacustrine mud,large (50.1-500 km2),EMBSECBIO,0,
14,1505,6008,Anzali lagoon,HCGA05-core,37.46944,47.3525,-27,"lacustrine, natural open-water",core,,large (50.1-500 km2),EMBSECBIO,-11,0.11
14,1505,6009,Anzali lagoon,HCGA05-core,37.46944,47.3525,-27,"lacustrine, natural open-water",core,,large (50.1-500 km2),EMBSECBIO,1,0.17
14,1505,6010,Anzali lagoon,HCGA05-core,37.46944,47.3525,-27,"lacustrine, natural open-water",core,,large (50.1-500 km2),EMBSECBIO,15,0.23
14,1505,6011,Anzali lagoon,HCGA05-core,37.46944,47.3525,-27,"lacustrine, natural open-water",core,,large (50.1-500 km2),EMBSECBIO,28,0.29
14,1505,6012,Anzali lagoon,HCGA05-core,37.46944,47.3525,-27,"lacustrine, natural open-water",core,,large (50.1-500 km2),EMBSECBIO,41,0.35
15,1100,472,Aral Sea,Aral Sea I,46.52,60.7,36,marine,marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,0,0.5
16,1050,473,Caspian Sea,Caspian Sea I,39.27,51.46,-28,marine,marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,0,0.5
17,1067,474,KBG08-01,KBG08-01,41.85,53.25,-28.4,"lacustrine, natural open-water",marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,-46,0.005
17,1067,475,KBG08-01,KBG08-01,41.85,53.25,-28.4,"lacustrine, natural open-water",marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,-32,0.11
17,1067,476,KBG08-01,KBG08-01,41.85,53.25,-28.4,"lacustrine, natural open-water",marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,-29,0.14
17,1067,477,KBG08-01,KBG08-01,41.85,53.25,-28.4,"lacustrine, natural open-water",marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,-24,0.175
17,1067,478,KBG08-01,KBG08-01,41.85,53.25,-28.4,"lacustrine, natural open-water",marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,-23,0.185
17,1067,479,KBG08-01,KBG08-01,41.85,53.25,-28.4,"lacustrine, natural open-water",marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,-6,0.265
17,1067,480,KBG08-01,KBG08-01,41.85,53.25,-28.4,"lacustrine, natural open-water",marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,-4,0.275
17,1067,481,KBG08-01,KBG08-01,41.85,53.25,-28.4,"lacustrine, natural open-water",marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,10,0.345
17,1067,482,KBG08-01,KBG08-01,41.85,53.25,-28.4,"lacustrine, natural open-water",marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,27,0.425
17,1067,483,KBG08-01,KBG08-01,41.85,53.25,-28.4,"lacustrine, natural open-water",marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,36,0.465
17,1067,484,KBG08-01,KBG08-01,41.85,53.25,-28.4,"lacustrine, natural open-water",marine core,lacustrine mud,very large (>500 km2),EMBSECBIO,45,0.505
19,1802,7707,Arkutino Lake,Arkutino lake,42.3172222222222,27.7180555555556,23,"lacustrine, natural open-water",surface sample,,small (0.01-1 km2),EMBSECBIO,-55,
24,1827,10935,Lake Varna,Lake Varna - 3,43.2,27.83333,0,"lacustrine, natural open-water",core,sediment,large (50.1-500 km2),EPD,0,0
24,1862,8839,Lake Varna,EMPD_Arsenala Varna Lake,43.2,27.833333,0,"lacustrine, natural open-water",core,,large (50.1-500 km2),EMPD,0,
26,1059,1909,E. Marmara basin,Marmara DM-13,40.4,27.6,0,marine,marine core,marine mud,very large (>500 km2),EMBSECBIO,-51,0
27,1108,1939,Lake Van,Van - Wick Core,38.53,42.47,1648,"lacustrine, natural open-water, glacial origin, morainally dammed lake",core,lacustrine varved sediment,very large (>500 km2),NOAA,0,0.005
27,1108,1940,Lake Van,Van - Wick Core,38.53,42.47,1648,"lacustrine, natural open-water, glacial origin, morainally dammed lake",core,lacustrine varved sediment,very large (>500 km2),NOAA,28,0.025
27,1347,4389,Lake Van,Van - Bottema Core,38.5,43,,"lacustrine, natural open-water, glacial origin, morainally dammed lake",,,very large (>500 km2),EPD,0,0
27,1915,8892,Lake Van,Lake Van,38.47388889,42.73861111,1648,"lacustrine, natural open-water, glacial origin, morainally dammed lake",core top,,very large (>500 km2),EMPD,0,
32,1113,2405,Kararmik Batakligi,Kararmik Batakligi,38.425,30.8,1000,"terrestrial, marsh",sediment sample,lacustrine sediment,small (0.01-1 km2),NOAA,-14,0.01
38,1149,2678,Core-2345,Core-2345 lower part,42.4,28.32,,marine,core,,large (50.1-500 km2),EMBSECBIO,-52,0
49,1151,3028,Ribnoe,Ribnoe,43.708333,41.206944,2115,"lacustrine, natural open-water",core,,medium (1.1-50 km2),NOAA,0,0.02
51,1153,3030,Belia Kanton,Belia Kanton,41.8333,24.3,1490,"terrestrial, mire, bog",peat surface,peat,small (0.01-1 km2),BIOME6000,0,0
52,479,8732,Luganskoe,Luganskoe,43.72,40.68,2428,"terrestrial, mire, bog,	blanket bog",peat surface,,medium (1.1-50 km2),BIOME6000,-26,0.1
53,1154,4101,Sibista,Sibista,43.233333,41.430556,2160,fluvial,profile or section,,medium (1.1-50 km2),EPD,-4,0.015
57,1354,3036,Kaz Gölü,Kaz Gölü,40.283333,36.15,,"terrestrial, marsh",core,peat,medium (1.1-50 km2),EPD,0,0.03
58,1145,4130,Sredna Gora mountains,Sredna Gora mountains,42.833333,24.833333,1300,"terrestrial, other sediments",profile or section,,small (0.01-1 km2),BIOME6000,-39,0
58,1145,4131,Sredna Gora mountains,Sredna Gora mountains,42.833333,24.833333,1300,"terrestrial, other sediments",profile or section,,small (0.01-1 km2),BIOME6000,17,0.05
59,1157,3039,SE Black Sea basin,B7,42.5,36.8,0,marine,core,marine sediment,very large (>500 km2),EMBSECBIO,-51,0
62,1179,3096,Cherepanov,Cherepanov-1,41.57,44.37,1430,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
62,1180,3097,Cherepanov,Cherepanov-2,41.57,44.37,1430,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
62,1181,3098,Cherepanov,Cherepanov-3,41.57,44.37,1430,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
62,1182,3099,Cherepanov,Cherepanov-4,41.57,44.37,1430,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
63,1183,3100,Trialeti,Trialeti-2,41.53,44.12,1520,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
63,1184,3101,Trialeti,Trialeti-3,41.53,44.12,1520,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
63,1185,3102,Trialeti,Trialeti-4,41.53,44.12,1520,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
64,1190,3107,Bareti,Bareti-1,41.67,44.17,1630,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
64,1191,3108,Bareti,Bareti-2,41.67,44.17,1630,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
64,1192,3109,Bareti,Bareti-3,41.67,44.17,1630,"terrestrial, mire, bog",sediment sample,,small (0.01-1 km2),EMBSECBIO,0,0
65,1193,3110,Avchalagol,Avchalagol-1,41.33,43.7,2050,"terrestrial, mire, bog",sediment sample,,medium (1.1-50 km2),EMBSECBIO,0,0
65,1194,3111,Avchalagol,Avchalagol-2,41.33,43.7,2050,"terrestrial, mire, bog",sediment sample,,medium (1.1-50 km2),EMBSECBIO,0,0
65,1195,3112,Avchalagol,Avchalagol-3,41.33,43.7,2050,"terrestrial, mire, bog",sediment sample,,medium (1.1-50 km2),EMBSECBIO,0,0
65,1196,3113,Avchalagol,Avchalagol-4,41.33,43.7,2050,"terrestrial, mire, bog",sediment sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1198,3201,Western Georgia transect,W1,42.95,43.15,2200,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1199,3202,Western Georgia transect,W2,42.95,43.15,2300,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1200,3203,Western Georgia transect,W3,42.93,43.15,2100,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1201,3204,Western Georgia transect,W4,42.91667,43.15,1950,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1202,3205,Western Georgia transect,W5,42.916667,43.15,1840,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1203,3206,Western Georgia transect,W6,42.8833,43.15,1520,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1204,3207,Western Georgia transect,W7,42.8833,43.15,1520,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1205,3208,Western Georgia transect,W9,42.8833,43.1833,1440,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1206,3209,Western Georgia transect,W10,42.8833,43.183,1500,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1207,3210,Western Georgia transect,W11,42.8,43,1100,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1208,3211,Western Georgia transect,W13,42.8,43,1140,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1209,3212,Western Georgia transect,W15,42.7833333333333,42.7333333333333,840,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1210,3213,Western Georgia transect,W16,42.7,42.75,680,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1211,3214,Western Georgia transect,W17,42.7,42.75,580,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1212,3215,Western Georgia transect,W18,42.7,42.75,580,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1213,3216,Western Georgia transect,W19,42.6,42.6833333333333,900,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1214,3217,Western Georgia transect,W20,42.6,42.6833333333333,530,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1215,3218,Western Georgia transect,W21,42.6,42.6833333333333,520,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1216,3219,Western Georgia transect,W22,42.3666666666667,42.7333333333333,500,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1217,3220,Western Georgia transect,W23,42.3,42.7,400,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1218,3221,Western Georgia transect,W24,42.3,42.7,440,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1219,3222,Western Georgia transect,W25,42.3,42.7,300,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1220,3223,Western Georgia transect,W26,42.3,42.7,480,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1221,3224,Western Georgia transect,W27,42.2666666666667,42.7,240,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
66,1222,3225,Western Georgia transect,W28,42.2333333333333,42.7333333333333,260,"terrestrial, soil, litter, mor humus",surface sample,,medium (1.1-50 km2),EMBSECBIO,0,0
