ID_ENTITY_PUB,ID_ENTITY,ID_PUB,citation
6,1605,4,Atanassova J (2007) Pollen deposition in moss polsters and pollen traps in the Central Stara Planina Mts (2002-2005). Phytologia Balcanica 13 (2):223-228
7,1606,4,Atanassova J (2007) Pollen deposition in moss polsters and pollen traps in the Central Stara Planina Mts (2002-2005). Phytologia Balcanica 13 (2):223-228
8,1607,4,Atanassova J (2007) Pollen deposition in moss polsters and pollen traps in the Central Stara Planina Mts (2002-2005). Phytologia Balcanica 13 (2):223-228
9,1608,4,Atanassova J (2007) Pollen deposition in moss polsters and pollen traps in the Central Stara Planina Mts (2002-2005). Phytologia Balcanica 13 (2):223-228
10,1609,4,Atanassova J (2007) Pollen deposition in moss polsters and pollen traps in the Central Stara Planina Mts (2002-2005). Phytologia Balcanica 13 (2):223-228
11,1097,5,"Atanassova, J. (1995) Dinoflagelate cysts of Late Quaternary and recent sediments from the western Black sea. Annual of Sofia University, Faculty of Biology 87(2):17-28."
13,2108,5,"Atanassova, J. (1995) Dinoflagelate cysts of Late Quaternary and recent sediments from the western Black sea. Annual of Sofia University, Faculty of Biology 87(2):17-28."
14,1097,6,"Atanassova, J. (1995) Palynological data of three deep water cores from the western part of the Black sea. Pages 68-83 in E. Bozilova and S. Tonkov, editors. Advances in Holocene palaeoecology in Bulgaria. Sofia."
16,2105,8,"Athanasiadis, N., A. Gerasimidis, E. Eleftheriadou, and K. Theodoropoulos (1993) Zur postglazialen Vegetationsentwicklung des Rhodopi-Gebirges (Elatia Dramas - Griechenland). [The postglacial evolution of vegetation of the Greek mount Rhodopes (Elatia Dramas - Griechenland)]. Dissertationes botanicae, 196:427-437."
17,2065,9,"Athanasiadis, N. (1975) Zur postglazialen Vegetationsentwicklung von Litochoro Katerinis und Pertouli Trikalon (Griechenland), 164(1), 99-132."
18,2066,9,"Athanasiadis, N. (1975) Zur postglazialen Vegetationsentwicklung von Litochoro Katerinis und Pertouli Trikalon (Griechenland), 164(1), 99-132."
19,1813,10,"Atherden, M.A., and Hall, J.A. (1999) Human impact on vegetation in the White Mountains of Crete since AD 500. The Holocene, 9(2):183-193."
20,1814,10,"Atherden, M.A., and Hall, J.A. (1999) Human impact on vegetation in the White Mountains of Crete since AD 500. The Holocene, 9(2):183-193."
21,2110,10,"Atherden, M.A., and Hall, J.A. (1999) Human impact on vegetation in the White Mountains of Crete since AD 500. The Holocene, 9(2):183-193."
22,2111,10,"Atherden, M.A., and Hall, J.A. (1999) Human impact on vegetation in the White Mountains of Crete since AD 500. The Holocene, 9(2):183-193."
23,2112,10,"Atherden, M.A., and Hall, J.A. (1999) Human impact on vegetation in the White Mountains of Crete since AD 500. The Holocene, 9(2):183-193."
