taxon_name,clean_name,action
Abies,Abies,update
Abies alba,Abies alba,update
Acacia,Acacia,update
Acer,Acer,update
Aconitum,Aconitum,update
Adiantum capillus-veneris,Adiantum capillus-veneris,update
Adoxa moschatellina,Adoxa moschatellina,update
Alchemilla,Alchemilla,update
Alchemilla type,Alchemilla type,update
Alnus,Alnus,update
Amaranthaceae,Amaranthaceae,update
Amaranthaceae type,Amaranthaceae,update
Ambrosia,Ambrosia,update
Ammi,Ammi,update
Anacardiaceae,Anacardiaceae,update
Androsace elongata type,Androsace elongata,update
Androsace type,Androsace type,update
Anthemis arvensis type,Anthemis arvensis type,update
Anthemis type,Anthemis type,update
Anthriscus sylvestris type,Anthriscus sylvestris type,update
Apiaceae,Apiaceae,update
Apiaceae undiff.,Apiaceae,update
Aquilegia,Aquilegia,update
Aristolochia,Aristolochia,update
Artemisia,Artemisia,update
Asphodelus,Asphodelus,update
Aster type,Aster type,update
Asteroideae,Asteroideae,update
Atraphaxis,Atraphaxis,update
Berberis,Berberis,update
Betula,Betula,update
Bistorta officinalis type,Bistorta officinalis type,update
Boraginaceae,Boraginaceae,update
Botrychium,Botrychium,update
Brassicaceae,Brassicaceae,update
Bryonia,Bryonia,update
Bupleurum type,Bupleurum type,update
Buxus,Buxus,update
Calligonum,Calligonum,update
Calluna,Calluna,update
Calluna vulgaris,Calluna vulgaris,update
Calystegia,Calystegia,update
Campanula,Campanula,update
Campanula trachelium type,Campanula trachelium type,update
Campanulaceae,Campanulaceae,update
Campanulaceae undiff.,Campanulaceae,update
Carduus,Carduus,update
Carpinus,Carpinus,update
Carpinus betulus,Carpinus betulus,update
Carpinus orientalis,Carpinus orientalis,update
Carya,Carya,update
Caryophyllaceae,Caryophyllaceae,update
Caryophyllaceae undiff.,Caryophyllaceae,update
Castanea,Castanea,update
Castanea sativa,Castanea sativa,update
Cedrus,Cedrus,update
Centaurea,Centaurea,update
Centaurea cyanus type,Centaurea cyanus type,update
Centaurea scabiosa type,Centaurea scabiosa type,update
Cephalaria,Cephalaria,update
Cerastium type,Cerastium type,update
Ceratonia,Ceratonia,update
Chaerophyllum hirsutum type,Chaerophyllum hirsutum type,update
Chelidonium,Chelidonium,update
Cichorioideae,Cichorioideae,update
Cirsium type,Cirsium type,update
Cistus,Cistus,update
Conium type,Conium type,update
Convolvulus,Convolvulus,update
Cornus,Cornus,update
Cornus mas,Cornus mas,update
Cornus sanguinea,Cornus sanguinea,update
Corylus,Corylus,update
Corylus avellana,Corylus avellana,update
Cousinia,Cousinia,update
Crepis type,Crepis type,update
Cupressaceae,Cupressaceae,update
Cuscuta,Cuscuta,update
Cyperaceae,Cyperaceae,update
Cyperaceae undiff.,Cyperaceae,update
Cytisus type,Cytisus type,update
Diphasium,Lycopodium,update
Dipsacoideae,Caprifoliaceae,update
Dryopteris,Dryopteris,update
Echinops,Echinops,update
Echium,Echium,update
Elaeagnus,Elaeagnus,update
Empetrum,Empetrum,update
Ephedra,Ephedra,update
Ephedra alata type,Ephedra alata type,update
Ephedra distachya type,Ephedra distachya type,update
Ephedra fragilis,Ephedra fragilis,update
Ephedra fragilis type,Ephedra fragilis type,update
Ephedra major type,Ephedra major type,update
Epilobium,Epilobium,update
Equisetum,Equisetum,update
Eremurus,Eremurus,update
Erica,Erica,update
Ericaceae undiff.,Ericaceae,update
Eriocaulon,Eriocaulon,update
Erodium,Erodium,update
Euonymus,Euonymus,update
Euphorbia,Euphorbia,update
Euphrasia,Euphrasia,update
Fabaceae,Fabaceae,update
Faboideae,Fabaceae,update
Fagus,Fagus,update
Filipendula,Filipendula,update
Fontanesia,Fontanesia,update
Frangula,Frangula,update
Frangula alnus,Frangula alnus,update
Fraxinus,Fraxinus,update
Fraxinus excelsior,Fraxinus excelsior,update
Fraxinus ornus,Fraxinus ornus,update
Galium,Galium,update
Gentianaceae,Gentianaceae,update
Geranium,Geranium,update
Geum type,Geum type,update
Gnaphalium type,Gnaphalium type,update
Haplophyllum,Haplophyllum,update
Hedera helix,Hedera helix,update
Helianthemum,Helianthemum,update
Hippophae,Hippophae,update
Hippophae rhamnoides,Hippophae rhamnoides,update
Hypericum,Hypericum,update
Ilex aquifolium,Ilex aquifolium,update
Iridaceae,Iridaceae,update
Iris,Iris,update
Juglans,Juglans,update
Juncaceae,Juncaceae,update
Juncus,Juncus,update
Juniperus,Juniperus,update
Knautia,Knautia,update
Lactuca type,Lactuca type,update
Lamiaceae,Lamiaceae,update
Lamiaceae (tricolpate),Lamiaceae,update
Larix,Larix,update
Ligustrum,Ligustrum,update
Liliaceae,Liliaceae,update
Linaria,Linaria,update
Linum,Linum,update
Lonicera,Lonicera,update
Lonicera type,Lonicera type,update
Lycopodium,Lycopodium,update
Lysimachia,Lysimachia,update
Lythrum,Lythrum,update
Malvaceae,Malvaceae,update
Melampyrum,Melampyrum,update
Mentha,Mentha,update
Mercurialis,Mercurialis,update
Mercurialis annua,Mercurialis annua,update
Mespilus,Mespilus,update
Monoletes,Polypodiales,update
Moraceae,Moraceae,update
Myosotis arvensis type,Myosotis arvensis type,update
Myosotis type,Myosotis type,update
Myrica,Myrica,update
Myrtus,Myrtus,update
Nitraria,Nitraria,update
Noaea,Noaea,update
Olea,Olea,update
Olea europaea,Olea europaea,update
Onagraceae,Onagraceae,update
Ophioglossum,Ophioglossum,update
Ostrya type,Ostrya type,update
Ostrya/Carpinus,Carpinus/Ostrya,update
Papaveraceae,Papaveraceae,update
Paronychia,Paronychia,update
Parrotia persica,Parrotia persica,update
Persicaria amphibia,Persicaria amphibia,update
Persicaria maculosa,Persicaria maculosa,update
Phillyrea,Phillyrea,update
Phyteuma-type,Phyteuma type,update
Picea,Picea,update
Picea abies,Picea abies,update
Pimpinella type,Pimpinella type,update
Pinus,Pinus,update
Pinus cembra type,Pinus cembra type,update
Pinus sylvestris type,Pinus sylvestris type,update
Pinus undiff.,Pinus,update
Pistacia,Pistacia,update
Pistacia lentiscus,Pistacia lentiscus,update
Pistacia terebinthus,Pistacia terebinthus,update
Plantago,Plantago,update
Plantago coronopus,Plantago coronopus,update
Plantago lanceolata,Plantago lanceolata,update
Plantago lanceolata type,Plantago lanceolata type,update
Plantago major,Plantago major,update
Plantago major type,Plantago major type,update
Plantago media,Plantago media,update
Plantago media type,Plantago media type,update
Plantago undiff.,Plantago,update
Plantago uniflora,Littorella uniflora,update
Platanus,Platanus,update
Plumbaginaceae,Plumbaginaceae,update
