taxon_name,clean_name,action
Abies,Abies,update
ABIES,Abies,update
Abies alba,Abies alba,update
Abies cilicica,Abies cilicica,update
Abies marocana,Abies pinsapo subsp marocana ,update
Abies maroccana,Abies pinsapo subsp marocana ,update
Abies nordmanniana,Abies nordmanniana,update
Abies or Picea,Pinaceae,update
Abies pinsapo,Abies pinsapo,update
Abies sibirica,Abies sibirica,update
Acacia,Acacia,update
ACACIA,Acacia,update
Acantholimon,Acantholimon,update
Acanthus,Acanthus,update
Acanthus mollis,Acanthus mollis,update
Acer,Acer,update
ACER,Acer,update
Acer campestre,Acer campestre,update
Acer campestre type,Acer campestre type,update
Acer campestre type,Acer campestre type,update
Acer pseudoplatanus,Acer pseudoplatanus,update
Acer turkestanica,Acer turkestanica,update
Acer type,Acer type,update
Achillea,Achillea,update
Achillea /Eupatorium tp.,Achillea/Eupatorium type,update
Achillea T,Achillea type,update
Achillea type,Achillea type,update
Achillea type,Achillea type,update
Achillea/Aster,Achillea/Aster,update
Achillea/Aster type,Achillea/Aster type,update
Achillia,Achillea,update
Aconitum,Aconitum,update
Aconitum septentrionale,Aconitum septentrionale,update
Aconitum T,Aconitum type,update
Aconitum type,Aconitum type,update
Aconitum-group,Aconitum type,update
Aconogonon,Koenigia/Persicaria/Polygonum,update
Actinostemma-Gynostemma,Actinostemma/Gynostemma,update
Adenostyles type,Adenostyles type,update
Adianthum,Adiantum,update
Adiantum,Adiantum,update
Adonis,Adonis,update
Adonis aestivalis,Adonis aestivalis,update
Adonis aestivalis type,Adonis aestivalis type,update
Adonis annua type,Adonis annua type,update
Adonis type,Adonis type,update
Adonis vernalis,Adonis vernalis,update
Adoxa,Adoxa,update
Adoxa moschatellina,Adoxa moschatellina,update
Adoxaceae,Viburnaceae,update
Aegopodium,Aegopodium,update
Aegopodium podagraria,Aegopodium podagraria,update
Aegopodium type,Aegopodium type,update
Aellenia type,Aellenia type,update
Aesculus,Aesculus,update
AESCULUS,Aesculus,update
Aesculus hippocastaneum,Aesculus hippocastanum,update
Aesculus hippocastanum,Aesculus hippocastanum,update
Aethusa cynapium type,Aethusa cynapium type,update
Agrimonia,Agrimonia,update
Agrimonia type,Agrimonia type,update
Agrostemma,Agrostemma,update
Agrostemma githago,Agrostemma githago,update
Ailanthus,Ailanthus,update
AILANTHUS,Ailanthus,update
Ailanthus altissima,Ailanthus altissima,update
Ajuga type,Ajuga type,update
Alchemilla,Alchemilla,update
ALCHEMILLA,Alchemilla,update
Alchemilla G,Alchemilla type,update
Alchemilla pentaphylla type,Alchemilla pentaphylla type,update
Alchemilla pentaphyllea,Alchemilla pentaphylla,update
Alchemilla type,Alchemilla type,update
Alkanna,Alkanna,update
Alkanna type,Alkanna type,update
Alliaceae,Amaryllidaceae,update
