taxon_name,clean_name,action
Abies,Abies,update
Acer,Acer,update
Acer turkestanica,Acer turkestanica,update
Achillea-type,Achillea type,update
Aconitum,Aconitum,update
Aesculus,Aesculus,update
Aethusa cynapium-type,Aethusa cynapium type,update
Alchemilla-type,Alchemilla type,update
Allium-type,Allium type,update
Alnus glutinosa-type,Alnus glutinosa type,update
Alnus viridis,Alnus alnobetula,update
Ambrosia-type,Ambrosia type,update
Amorpha fruticosa,Amorpha fruticosa,update
Anemone hortensis,Anemone hortensis,update
Anemone nemorosa-type,Anemone nemorosa type,update
Anthemis-type,Anthemis type,update
Anthericum,Anthericum,update
Anthericum-type,Anthericum type,update
Anthriscus sylvestris-type,Anthriscus sylvestris type,update
Apiaceae indet.,Apiaceae,update
Apiaceae types 2&3,Apiaceae,update
Apium inundatum-type,Apium inundatum type,update
Apium-type,Apium type,update
Arbutus-type,Arbutus type,update
Arceuthobium,Arceuthobium,update
Artemisia,Artemisia,update
Aruncus t.,Aruncus type,update
Asplenium-type,Asplenium type,update
Asteraceae subf. Cichorioideae,Cichorioideae,update
Asteroideae,Asteroideae,update
Astragalus-type,Astragalus type,update
Athyrium filix-femina,Athyrium filix-femina,update
Berula erecta,Berula erecta,update
Betula,Betula,update
BETULA,Betula,update
Bidens-type,Bidens type,update
Bistorta t.,Bistorta type,update
Boraginaceae indet.,Boraginaceae,update
Botrychium,Botrychium,update
Brassicaceae,Brassicaceae,update
Brassicaceae Hornungia & Sinapis t.,Hornungia/Sinapis type,update
Bupleurum t.,Bupleurum type,update
Bupleurum-type,Bupleurum type,update
Buxus,Buxus,update
Calluna vulgaris,Calluna vulgaris,update
Campanula,Campanula,update
Campanulaceae indet.,Campanulaceae,update
Carduus t.,Carduus type,update
Carlina,Carlina,update
Carpinus,Carpinus,update
Caryophyllaceae,Caryophyllaceae,update
Castanea sativa,Castanea sativa,update
Cedrus,Cedrus,update
Celtis,Celtis,update
Centaurea montana t.,Centaurea montana type,update
Centaurea nigra t.,Centaurea nigra type,update
Centaurea nigra-type,Centaurea nigra type,update
Centaurea solstitialis,Centaurea solstitialis,update
Centaurium,Centaurium,update
Cerastium cerastioides-type,Cerastium cerastioides type,update
Cerastium fontanum-type,Cerastium fontanum type,update
Chaerophyllum hirsutum-type,Chaerophyllum hirsutum type,update
Chamaerops humilis,Chamaerops humilis,update
Chenopodiaceae,Amaranthaceae,update
Chenopodiaceae-type,Amaranthaceae,update
Cichorioideae,Cichorioideae,update
Cirsium,Cirsium,update
Cirsium t.,Cirsium type,update
Cistus crispus-type,Cistus crispus type,update
Cistus salvifolius,Cistus salviifolius,update
Citrus,Citrus,update
Clematis-group,Clematis type,update
Compositae Subfam. Asteroideae,Asteroideae,update
Compositae Subfam. Cichorioideae,Cichorioideae,update
Conium t.,Conium type,update
Convolvulus,Convolvulus,update
Cornus mas,Cornus mas,update
Cornus sanguinea,Cornus sanguinea,update
Corylus avellana,Corylus avellana,update
Cousinia t.,Cousinia type,update
Crassula,Crassula,update
Cruciferae,Brassicaceae,update
Cryptogramma crispa,Cryptogramma crispa,update
Cryptomeria-type,Cryptomeria type,update
Cuscuta,Cuscuta,update
