taxon_name,clean_name,action
Abies,Abies,update
Acanthaceae,Acanthaceae,update
Acer,Acer,update
Actinidia,Actinidia,update
Ailanthus,Ailanthus,update
Aizoaceae,Aizoaceae,update
Alangium,Alangium,update
Alnus,Alnus,update
Amaryllidaceae,Amaryllidaceae,update
Anacardiaceae..other.,Anacardiaceae,update
Annona,Annona,update
Annonaceae,Annonaceae,update
Apiaceae,Apiaceae,update
Apocynaceae,Apocynaceae,update
Apocynaceae..other.,Apocynaceae,update
Apodytes,Apodytes,update
Aquifoliaceae,Aquifoliaceae,update
Araceae,Araceae,update
Araliaceae,Araliaceae,update
Artemisia,Artemisia,update
Asclepiadaceae,Asclepiadaceae,update
Asteraceae..non.Artemisia.,Asteraceae,update
Balsaminaceae,Balsaminaceae,update
Berberidaceae,Berberidaceae,update
Betula,Betula,update
Bignoniaceae,Bignoniaceae,update
Boerhavia,Boerhavia,update
Bombax,Bombax,update
Boraginaceae,Boraginaceae,update
Brassicaceae,Brassicaceae,update
Broussonetia,Broussonetia,update
Buxaceae,Buxaceae,update
Buxus,Buxus,update
Calligonum,Calligonum,update
Campanulaceae,Campanulaceae,update
Capparidaceae,Capparaceae,update
Caprifoliaceae,Caprifoliaceae,update
Carpinus,Carpinus,update
Carya,Carya,update
Caryophyllaceae,Caryophyllaceae,update
Castanea,Castanea,update
Castanopsis,Castanopsis,update
Casuarina,Casuarina,update
Cedrus,Cedrus,update
Celastraceae,Celastraceae,update
Celtis,Celtis,update
Cercidiphyllum,Cercidiphyllum,update
Chenopodiaceae,Amaranthaceae,update
Cistaceae,Cistaceae,update
Clethra,Clethra,update
Combretaceae,Combretaceae,update
Commelinaceae,Commelinaceae,update
Convolvulaceae,Convolvulaceae,update
Cornaceae,Cornaceae,update
Corylus,Corylus,update
Cotinus,Cotinus,update
Crassulaceae,Crassulaceae,update
Cucurbitaceae,Cucurbitaceae,update
Cupressaceae..other.,Cupressaceae,update
Cupressus,Cupressus,update
Cycas,Cycas,update
Cyclobalanopsis,Quercus,update
Cyclocarya,Cyclocarya,update
Cyperaceae,Cyperaceae,update
Dacrydium,Dacrydium,update
Diospyros,Diospyros,update
Dipsacaceae,Dipsacaceae,update
Dipterocarpaceae,Dipterocarpaceae,update
Elaeagnus,Elaeagnus,update
Elaeocarpaceae,Elaeocarpaceae,update
Engelhardtia,Engelhardia,update
Ephedra,Ephedra,update
Ericaceae,Ericaceae,update
Euphorbiaceae..tropical.,Euphorbiaceae,update
Euphorbiaceae..unclear.,Euphorbiaceae,update
Euptelea,Euptelea,update
Fabaceae..herb.,Fabaceae_herb,update
Fabaceae..shrub.,Fabaceae_shrub,update
Fabaceae..tree.,Fabaceae_tree,update
Fabaceae..unclear.,Fabaceae,update
Fagus,Fagus,update
Ficus,Ficus,update
Flacourtiaceae,Salicaceae,update
Frankenia,Frankenia,update
Gentianaceae,Gentianaceae,update
Geraniaceae,Geraniaceae,update
Gesneriaceae,Gesneriaceae,update
Ginkgo,Ginkgo,update
Grewia,Grewia,update
Guttiferae,Clusiaceae,update
Haloragidaceae,Haloragaceae,update
Hamamelidaceae,Hamamelidaceae,update
Hippophae,Hippophae,update
Hiptage,Hiptage,update
Hydrangea,Hydrangea,update
Iridaceae,Iridaceae,update
Juglans,Juglans,update
Juncaceae,Juncaceae,update
Juniperus,Juniperus,update
Keteleeria,Keteleeria,update
Koenigia,Koenigia,update
Lamiaceae,Lamiaceae,update
Lardizabalaceae,Lardizabalaceae,update
Larix,Larix,update
Lauraceae,Lauraceae,update
Liliaceae,Liliaceae,update
Linaceae,Linaceae,update
Liquidambar,Liquidambar,update
Lithocarpus,Lithocarpus,update
Lobeliaceae,Campanulaceae,update
Loganiaceae,Loganiaceae,update
Loranthaceae,Loranthaceae,update
Lythraceae,Lythraceae,update
Magnoliaceae,Magnoliaceae,update
Malvaceae,Malvaceae,update
Melastomataceae,Melastomataceae,update
Meliaceae,Meliaceae,update
Menispermaceae,Menispermaceae,update
Moringa,Moringa,update
Morus,Morus,update
Myoporum,Myoporum,update
Myrica,Myrica,update
Myricaria,Myricaria,update
Myrsinaceae,Primulaceae,update
Myrtaceae,Myrtaceae,update
Nitraria,Nitraria,update
Nyssa,Nyssa,update
Oenotheraceae,Onagraceae,update
Oleaceae..temperate.,Oleaceae,update
Oleaceae..tropical.subtropical.,Oleaceae,update
Oleaceae..unclear.,Oleaceae,update
Orchidaceae,Orchidaceae,update
Ostrya,Ostrya,update
Ostryopsis,Ostryopsis,update
Oxalidaceae,Oxalidaceae,update
Palmae,Arecaceae,update
Pandanus,Pandanus,update
Papaveraceae,Papaveraceae,update
Passifloraceae,Passifloraceae,update
Peganum,Peganum,update
Picea,Picea,update
Pinus,Pinus,update
Piperaceae,Piperaceae,update
Pistacia,Pistacia,update
Pittosporaceae,Pittosporaceae,update
Plantago,Plantago,update
Platanus,Platanus,update
Platea,Platea,update
Platycarya,Platycarya,update
Platycladus,Platycladus,update
Plumbaginaceae,Plumbaginaceae,update
Poaceae..wildgrass.,Poaceae,update
Podocarpaceae,Podocarpaceae,update
Polemoniaceae,Polemoniaceae,update
Polygalaceae,Polygalaceae,update
Polygonaceae..other.,Polygonaceae,update
Polygonum,Polygonum,update
Populus,Populus,update
Portulacaceae,Portulacaceae,update
Primulaceae,Primulaceae,update
Proboscidea,Proboscidea,update
Proteaceae,Proteaceae,update
Pseudolarix,Pseudolarix,update
Pseudotsuga,Pseudotsuga,update
Pterocarya,Pterocarya,update
Pteroceltis,Pteroceltis,update
Pyrola,Pyrola,update
Quercus..deciduous.,Quercus deciduous,update
Quercus..evergreen.,Quercus evergreen,update
Quercus..unclear.,Quercus,update
Ranunculaceae..other.,Ranunculaceae,update
Reaumuria,Reaumuria,update
Rhamnaceae,Rhamnaceae,update
Rheum,Rheum,update
Rhus,Rhus,update
Ribes,Ribes,update
