source,site_name,entity_name,latitude,longitude,elevation,publication,avg_depth,age_BP,Abies,Acer,Aconitum,Adonis,Aesculus,Aizoaceae,Alnus,Amaranthaceae,Amaryllidaceae,Anacardiaceae,Apiaceae,Aquilegia,Araliaceae,Arbutus,Arctostaphylos,Aristolochiaceae,Artemisia,Asparagaceae,Asphodelaceae,Asteraceae,Asteraceae Liguliflorae,Asteroideae,Astragalus,Berberidaceae,Berberis,Betula,Boraginaceae,Brassicaceae,Buxus,Calicotome,Calluna,Campanulaceae,Caprifoliaceae,Carduoideae,Carpinusbetulus,CarpinusorientalisOstrya,Caryophyllaceae,Castanea,Cedrus,Celastraceae,Celtis,Ceratonia,Chamaerops,Cichorioideae,Cistaceae,Cistus,Clematis,Colchicaceae,Convolvulaceae,Coriaria,Cornus,Corylus,Crassulaceae,Crataegus,Cucurbitaceae,Cupressaceae,Cyperaceae,Cytinaceae,Daphne,Delphinium,Dennstaedtiaceae,Dryas,Elaeagnus,Empetrum,Ephedra,Ephedraceae,Equisetum,Erica,Ericaceae,Eriocaulaceae,Euphorbiaceae,Fabaceae,Fabaceae herbs,Fagus,Frangula,Fraxinus,Genisteae,Gentianaceae,Geraniaceae,Grossulariaceae,Halimium,Haloragaceae,Hedera,Helianthemum,Helleborus,Hippophae,Huperzia,Hymenophyllaceae,Hypericaceae,Ilex,Iridaceae,Jasminum,Juglans,Juncaceae,Juncaginaceae,Koenigia,Lamiaceae,Larix,Lavandula,Ledum,Ligustrum,Liliaceae,Linaceae,Linnaea,Linum,Lonicera,Loranthaceae,Lycopodium,Lysimachia,Lythraceae,Malvaceae,Maytenus,Melanthiaceae,Mercurialis,Montiaceae,Moraceae,Myrica,Myrtaceae,Nartheciaceae,Nerium,Nigella,Olea,Oleaceae,Onagraceae,Ononis,Ophioglossaceae,Orchidaceae,Orobanchaceae,Osmundaceae,Oxalidaceae,OxyriaRumex,Paeonia,Papaveraceae,Parrotia,Periploca,Phillyrea,Picea,Pinus,Pinus diploxylon,Pinus haploxylon,Pistacia,Plantaginaceae,Platanus,Plumbaginaceae,Poaceae,Polemoniaceae,Polygalaceae,Polygonaceae,Polygonum,Polypodiales,Populus,Portulacaceae,Potentilla,Primulaceae,Prunus,Pteridaceae,Pterocarya,Quercusdeciduous,Quercusevergreen,Quercusintermediate,Ranunculaceae,Ranunculus,Resedaceae,Retama,Rhamnaceae,Rhamnus,Rhododendron,Rhus,Ribes,Rosaceae,Rosmarinus,Rubiaceae,Rubus,Rutaceae,Salix,Sambucus,Sanguisorbagroup,Santalaceae,Sapotaceae,Saxifragaceae,Sciadopityaceae,Scrophulariaceae,Smilax,Solanaceae,Sorbus,Tamarix,Taxaceae,Taxus,Teucrium,Thalictrum,Thymelaeaceae,Tilia,Trollius,Ulmus,UlmusZelkova,Urticaceae,Vaccinium,Valerianaceae,Verbenaceae,Viburnum,Violaceae,Viscum,Vitex,Ziziphus,Zygophyllaceae
author,Armacao de Pera Ribeira de Alcantarilha,ADP 01/06,37.110107,-8.34459,2.4,"Schneider, H. et al. Holocene estuary development in the Algarve Region (Southern Portugal) - A reconstruction of sedimentological and ecological evolution. Quat. Int.221, 141_158 (2010).; Schneider, H., Höfer, D., Trog, C. & Mäusbacher, R. Holocene landscape development along the Portuguese Algarve coast - A high resolution palynological approach. Quat. Int.407, 47_63 (2016).",16.5,38.32678353,0,0,1,0,0,0,1,87,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,26,0,0,24,0,0,0,0,5,0,0,0,0,0,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
author,Arroyo de Aguas Frias,AGUASFRIAS,40.2667,-5.1167,1120,"Julio Camarero, J. et al. Abrupt regime shifts in post-fire resilience of Mediterranean mountain pinewoods are fuelled by land use. Int. J. Wildl. Fire28, 329_341 (2019).",1,-38.73897869,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,54,0,3,0,23,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,9,0,0,15,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
author,Arroyo de Aguas Frias,AGUASFRIAS,40.2667,-5.1167,1120,"Julio Camarero, J. et al. Abrupt regime shifts in post-fire resilience of Mediterranean mountain pinewoods are fuelled by land use. Int. J. Wildl. Fire28, 329_341 (2019).",2,-33.77001908,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,43,0,2,0,25,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,13,0,0,11,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
author,Arroyo de Aguas Frias,AGUASFRIAS,40.2667,-5.1167,1120,"Julio Camarero, J. et al. Abrupt regime shifts in post-fire resilience of Mediterranean mountain pinewoods are fuelled by land use. Int. J. Wildl. Fire28, 329_341 (2019).",3,-28.80105947,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,37,0,3,0,33,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,4,0,0,23,0,0,0,0,0,0,0,0,0,11,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
author,Arroyo de Aguas Frias,AGUASFRIAS,40.2667,-5.1167,1120,"Julio Camarero, J. et al. Abrupt regime shifts in post-fire resilience of Mediterranean mountain pinewoods are fuelled by land use. Int. J. Wildl. Fire28, 329_341 (2019).",4,-23.68602426,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,36,0,2,0,23,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,9,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
author,Arroyo de Aguas Frias,AGUASFRIAS,40.2667,-5.1167,1120,"Julio Camarero, J. et al. Abrupt regime shifts in post-fire resilience of Mediterranean mountain pinewoods are fuelled by land use. Int. J. Wildl. Fire28, 329_341 (2019).",5,-18.57098904,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,43,0,4,0,24,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,5,0,0,22,0,0,0,0,0,0,0,0,0,12,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
author,Arroyo de Aguas Frias,AGUASFRIAS,40.2667,-5.1167,1120,"Julio Camarero, J. et al. Abrupt regime shifts in post-fire resilience of Mediterranean mountain pinewoods are fuelled by land use. Int. J. Wildl. Fire28, 329_341 (2019).",6,-13.45320543,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,38,0,3,0,26,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,13,0,0,13,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
author,Arroyo de Aguas Frias,AGUASFRIAS,40.2667,-5.1167,1120,"Julio Camarero, J. et al. Abrupt regime shifts in post-fire resilience of Mediterranean mountain pinewoods are fuelled by land use. Int. J. Wildl. Fire28, 329_341 (2019).",7,-8.335421819,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,33,0,4,0,33,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,15,0,0,12,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
author,Arroyo de Aguas Frias,AGUASFRIAS,40.2667,-5.1167,1120,"Julio Camarero, J. et al. Abrupt regime shifts in post-fire resilience of Mediterranean mountain pinewoods are fuelled by land use. Int. J. Wildl. Fire28, 329_341 (2019).",8,-3.379414419,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,24,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,6,0,0,19,0,0,0,0,0,0,0,0,0,16,0,0,11,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
author,Arroyo de Aguas Frias,AGUASFRIAS,40.2667,-5.1167,1120,"Julio Camarero, J. et al. Abrupt regime shifts in post-fire resilience of Mediterranean mountain pinewoods are fuelled by land use. Int. J. Wildl. Fire28, 329_341 (2019).",9,1.576592981,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35,0,4,0,25,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,21,0,0,14,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
