entity_name,Abies,Amaranthaceae,Apiaceae,Asteroideae,Brassicaceae,Caryophyllaceae,Cedrus,Cichorioideae,Cyperaceae,Lamiaceae,Linaria,Myrica,Olea,Pinus,Plantago,Poaceae,Polygonum,Quercus deciduous,Quercus evergreen,Ranunculus,Alchemilla type,Alnus,Ambrosia,Artemisia,Aster type,Betula,Calluna vulgaris,Carpinus betulus,Centaurea,Corylus avellana,Fagus,Fraxinus excelsior,Lysimachia,Picea abies,Plantago lanceolata,Plantago major type,Plantago media,Potentilla type,Quercus,Ranunculaceae,Rosaceae,Rumex acetosella type,Rumex type,Salix,Scrophulariaceae,Sorbus type,Ulmus,Urtica,Vaccinium,Acer,Carpinus,Chrysosplenium,Cornus sanguinea,Corylus,Equisetum,Euphorbia,Fagus sylvatica,Juniperus,Melampyrum,Picea,Plantago media/Plantago major type,Populus,Ribes,Rubiaceae,Rumex acetosa type,Ambrosia artemisiifolia type,Anthemis arvensis type,Anthriscus sylvestris type,Artemisia vulgaris type,Chaerophyllum hirsutum,Cirsium type,Daucus type,Fraxinus excelsior type,Gnaphalium type,Juglans,Larix/Pseudotsuga,Ligustrum type,Mentha type,Olea europaea,Peucedanum palustre type,Plantago lanceolata type,Plantago media/Plantago major,Platanus orientalis,Prunus,Ranunculus acris type,Rhamnus type,Sambucus nigra type,Senecio type,Symphytum,Tilia,Trifolium repens type,Urtica dioica type,Vicia type,Alnus glutinosa,Empetrum nigrum,Ericales,Filipendula,Narthecium ossifragum,Pedicularis,Pinus sylvestris,Polypodiales,Polypodium,Pteridium aquilinum,Rumex,Succisa pratensis,Huperzia selago,Osmunda regalis,Plantago maritima,Polygala,Solanum dulcamara,Thalictrum,Juniperus communis,Littorella uniflora,Lycopodium alpinum,Betula/Corylus/Myrica,Carex type,Corylus/Myrica,Empetrum nigrum type,Hypericum pulchrum type,Polypodiophyta,Schoenoplectus type,Sphagnum,Achillea type,Ambrosia type,Epilobium,Geum type,Lamium type,Larix,Lotus pedunculatus,Lycopodium clavatum,Lysimachia vulgaris type,Parnassia,Polygonum aviculare,Polypodiaceae,Prunus type,Ranunculus type,Rumex obtusifolius type,Sambucus,Silene type,Solanum nigrum type,Sorbus,Fraxinus,Petasites type,Sanguisorba officinalis,Succisa,Valeriana officinalis,Bidens type,Centaurea cyanus type,Centaurea jacea type,Hedera helix,Hypericum perforatum type,Matricaria type,Rhinanthus type,Rubus,Valeriana dioica type,Cirsium,Xanthium,Asteraceae,Circaea,Hypericum perforatum,Juniperus type,Mercurialis,Sanguisorba minor type,Ulmus/Zelkova,Ailanthus altissima,Bupleurum falcatum type,Castanea,Cornus mas type,Euonymus europaeus,Hippophae rhamnoides,Lotus type,Taxus,Xanthium strumarium type,Atropa bella-donna,Elaeagnus,Impatiens,Lathyrus type,Loranthus europaeus,Aesculus hippocastanum,Helianthemum nummularium type,Geranium pratense type,Cuscuta,Galeopsis type,Silene flos-cuculi,Veronica type,Cannabaceae,Valeriana officinalis type,Crataegus,Pimpinella saxifraga,Pulmonaria type,Aconitum type,Verbascum,Ostrya type,Allium ursinum type,Melampyrum pratense,Anemone nemorosa type,Typha latifolia type,Fabaceae,Scrophularia type,Ephedra,Geranium robertianum type,Impatiens parviflora,Linum catharticum,Campanula trachelium type,Heracleum sphondylium type,Persicaria maculosa type,Vaccinium type,Lamium album type,Trifolium pratense type,Centaurea scabiosa type,Salvia verticillata,Abies alba,Empetrum type,Frangula alnus,Phyteuma,Pimpinella anisum,Pimpinella major type,Rumex acetosella
Al Jourd core top,6,4,3,42,1,1,1,28,3,1,4,1,25,32,1,62,11,28,195,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypkana core top,,10,,,,,,,19,,,,,33,,57,,,,,14,17,4,5,2,54,1,11,2,11,184,1,1,6,9,3,2,7,22,1,1,1,1,3,1,1,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belanske Luky core top,11,5,1,,4,,,2,139,,,,,256,,54,,,,,,11,4,1,,24,2,,,,,,,,,,,3,3,,1,,,12,,,,,,1,6,1,1,10,40,1,12,0.8,1,153,1,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karpaty 41,1,9,,,9,,,41,,,,,,47,,451,,,,,,28,,,,46,,2,,,,,,,,,,,44,,,,,7,,,,,,,,,,1,,,,,,15,,,,,,7,2,2,1,3,1,27,1,1,2,2,1,2,3,3,3,5,1,1,39,1,6,34,2,8,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lough Meenaviller ss,,1,,2,,,,1,78,,,10,,,,110,,,,,,,,1,,4,168,,,,,,,,3,,,24,8,,3,,,2,,,6,4,,1,,,,41,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,6,1,3,3,7,7,4,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loch Idrigill ss,,,,,2,,,,107,,,1,,,,84,,,,1,,,,1,,15,196,,,,,,,,1,,,23,,,8,,,3,,,1,,,1,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,1,2,4,7,1,3,4,,1,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loch Lang ss,,2,,1,1,,,,102,,,,,,,133,,,,,,,,2,,15,160,,,,,,,,2,,,4,2,,4,,,4,,,2,2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,11,1,1,,11,20,,3,8,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah's Loch ss,,,,,1,,,,103,,,5,,,,109,,,,2,,,,1,,16,167,,,,,1,,,4,,,9,2,,5,,,1,1,,1,3,,,,,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,4,,26,3,2,1,1,3,3,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lochan Tota Ruairidh Dhuibh ss,,1,,,,,,,101,,,,,,,61,,,,2,,,,1,,29,271,,,,1,2,,,5,,,11,8,,2,,,2,2,,,1,,,,,,21,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,12,,5,1,3,2,8,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loch Mór na Cairteach ss,,,,1,4,,,1,142,,,11,,,,72,,,,2,,,,3,,20,149,,,,,1,,,7,,,8,5,,3,,,4,2,,1,3,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,4,4,5,5,,6,1,2,,2,1,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
