source,site_name,entity_name,latitude,longitude,elevation,basin_size,site_type,entity_type,age_BP,publication
Neotoma,Al Jourd,Al Jourd core top,34.35,36.2,2111,not recorded,marsh,core top,modern,"Cheddadi, R., and C. Khater. 2016. Climate change since the last glacial period in Lebanon and the persistence of Mediterranean species. Quaternary Science Reviews 150:146-157"
Neotoma,Hypkana,Hypkana core top,48.913385,22.16346,840,2.10E-02,mire,core top,42,"Hájková, P., P. Pařil, L. Petr, B. Chattová, T.M. Grygar, and O. Heiri. 2016. A first chironomid-based summer temperature reconstruction (13–5 ka BP) around 49°N in inland Europe compared with local lake development. Quaternary Science Reviews 141:94-11. [DOI: 10.1016/j.quascirev.2016.04.001]"
Neotoma,Belanske Luky,Belanske Luky core top,49.21496,20.387695,679,1,fen,core top,modern,"Hájková, P., A. Grootjans, M. Lamentowicz, E. Rybníčková, M. Madaras, V. Opravilová, D. Michaelis, M. Hájek, H. Joosten, and L. Wołejko. 2012. How a Sphagnum fuscum-dominated bog changed into a calcareous fen: the unique Holocene history of a Slovak spring-fed mire. Journal of Quaternary Science 27(3):233–243. [DOI: 10.1002/jqs.1534]"
Neotoma,Bily Karpaty 41,Karpaty 41,48.888139,17.458989,242,not recorded,not recorded,moss polster,-63,"Kuneš, P., V. Abraham, B. Werchan, Z. Plesková, K. Fajmon, E. Jamrichová, and J. Roleček. 2019. Relative pollen productivity estimates for vegetation reconstruction in central-eastern Europe inferred at local and regional scales. The Holocene 29: 1708-1719"
Neotoma,Lough Meenaviller,Lough Meenaviller ss,54.628,-8.66652,152,1.70E-02,peatland,lake surface sample,-42,"Fossitt, J.A. 1994. Modern pollen rain in the northwest of the British Isles. The Holocene 4(4):365-376. [DOI: 10.1177/095968369400400404]"
Neotoma,Loch Idrigill,Loch Idrigill ss,57.83245,-6.752125,20,not recorded,lake,lake surface sample,-38,"Fossitt, J.A. 1994. Modern pollen rain in the northwest of the British Isles. The Holocene 4(4):365-376. [DOI: 10.1177/095968369400400404]"
Neotoma,Loch Lang,Loch Lang ss,57.244555,-7.29608,83,not recorded,lake,lake surface sample,-37,"Fossitt, J.A. 1994. Modern pollen rain in the northwest of the British Isles. The Holocene 4(4):365-376. [DOI: 10.1177/095968369400400404]"
Neotoma,Sarah's Loch,Sarah's Loch ss,57.959715,-6.983825,35,not recorded,lake,lake surface sample,-38,"Fossitt, J.A. 1994. Modern pollen rain in the northwest of the British Isles. The Holocene 4(4):365-376. [DOI: 10.1177/095968369400400404]"
Neotoma,Lochan Tota Ruairidh Dhuibh,Lochan Tota Ruairidh Dhuibh ss,58.021515,-6.402885,151,not recorded,lake,lake surface sample,-38,"Fossitt, J.A. 1994. Modern pollen rain in the northwest of the British Isles. The Holocene 4(4):365-376. [DOI: 10.1177/095968369400400404]"
Neotoma,Loch Mór na Cairteach,Loch Mór na Cairteach ss,58.19274,-6.423595,46,not recorded,lake,lake surface sample,-38,"Fossitt, J.A. 1994. Modern pollen rain in the northwest of the British Isles. The Holocene 4(4):365-376. [DOI: 10.1177/095968369400400404]"
Neotoma,Loch Maree,Loch Maree core top,57.68456,-5.453995,10,28.7,lake,core top,-19,"Birks, H.H. 1972. Studies in the vegetational history of Scotland. A radiocarbon-dated pollen diagram from Loch Maree, Ross and Cromatry. New Phytologist 71(4):731-754. [DOI: 10.1111/j.1469-8137.1972.tb01285.x]"
Neotoma,Horni Lomna,MB-5-A,49.520556,18.630833,638,not recorded,fen,core top,-50,"Rybníčková, E., P. Hájková, and K. Rybníček. 2005. The origin and development of spring fen vegetation and ecosystems - palaeogeobotanical results. Pages 29-57 in A. Poulíčková, M. Hájek, and K. Rybníček, editors. Ecology and palaeoecology of spring fens of the West Carpathians. Palacký University Olomouc, Academy of Sciences of the Czech Republic, Masaryk University Brno, Olomouc.;
Rybníček, K., and E. Rybníčková. 2008. Upper Holocene dry land vegetation in the Moravian–Slovakian borderland (Czech and Slovak Republics). Vegetation History and Archaeobotany 17(6):701–711."
Neotoma,Machova,BK-5-A,48.830833,17.541111,442,not recorded,fen,core top,-50,"Rybníčková, E., P. Hájková, and K. Rybníček. 2005. The origin and development of spring fen vegetation and ecosystems - palaeogeobotanical results. Pages 29-57 in A. Poulíčková, M. Hájek, and K. Rybníček, editors. Ecology and palaeoecology of spring fens of the West Carpathians. Palacký University Olomouc, Academy of Sciences of the Czech Republic, Masaryk University Brno, Olomouc.;
Rybníček, K., and E. Rybníčková. 2008. Upper Holocene dry land vegetation in the Moravian–Slovakian borderland (Czech and Slovak Republics). Vegetation History and Archaeobotany 17(6):701–711."
Neotoma,Dastin,Dastin core top,48.645645,17.975875,369,not recorded,fen,core top,25,"Jamrichová, E., A. Gálová, A. Gašpar, M. Horsák, J. Frodlová, M. Hájek, M. Hajnalová, and P. Hájková. 2018. Holocene development of two calcareous spring fens at the Carpathian-Pannonian interface controlled by climate and human impact. Folia Geobotanica 53:243-263. [DOI: 10.1007/s12224-018-9324-5]"
Neotoma,Darko,Darko core top,49.63968,15.873705,627,1.45,peatbog,core top,-65,"Roleček, J., H. Svitavská Svobodová, E. Jamrichová, L. Dudová, P. Hájková, G. Kletetschka, P. Kuneš, and V. Abraham. 2020. Conservation targets from the perspective of a palaeoecological reconstruction: the case study of Dářko peat bog in the Czech Republic. Preslia 92(2):87-114. [DOI: 10.23855/preslia.2020.087]"
Neotoma,Bily Karpaty 1,BK1,48.837313,17.499965,438,not recorded,not recorded,moss polster,-62,"Kuneš, P., V. Abraham, B. Werchan, Z. Plesková, K. Fajmon, E. Jamrichová, and J. Roleček. 2019. Relative pollen productivity estimates for vegetation reconstruction in central-eastern Europe inferred at local and regional scales. The Holocene 29: 1708-1719"
Neotoma,Bily Karpaty 2,BK2,48.884507,17.533329,386,not recorded,not recorded,moss polster,-63,"Kuneš, P., V. Abraham, B. Werchan, Z. Plesková, K. Fajmon, E. Jamrichová, and J. Roleček. 2019. Relative pollen productivity estimates for vegetation reconstruction in central-eastern Europe inferred at local and regional scales. The Holocene 29: 1708-1719"
Neotoma,Bily Karpaty 3,BK3,48.80854,17.322964,401,not recorded,not recorded,moss polster,-62,"Kuneš, P., V. Abraham, B. Werchan, Z. Plesková, K. Fajmon, E. Jamrichová, and J. Roleček. 2019. Relative pollen productivity estimates for vegetation reconstruction in central-eastern Europe inferred at local and regional scales. The Holocene 29: 1708-1719"
Neotoma,Bily Karpaty 4,BK4,48.832877,17.524576,389,not recorded,not recorded,moss polster,-63,"Kuneš, P., V. Abraham, B. Werchan, Z. Plesková, K. Fajmon, E. Jamrichová, and J. Roleček. 2019. Relative pollen productivity estimates for vegetation reconstruction in central-eastern Europe inferred at local and regional scales. The Holocene 29: 1708-1719"
Neotoma,Bily Karpaty 5,BK5,48.81709,17.527297,460,not recorded,not recorded,moss polster,-62,"Kuneš, P., V. Abraham, B. Werchan, Z. Plesková, K. Fajmon, E. Jamrichová, and J. Roleček. 2019. Relative pollen productivity estimates for vegetation reconstruction in central-eastern Europe inferred at local and regional scales. The Holocene 29: 1708-1719"
