taxon_name,clean_name,action
Abies,Abies,update
Abies alba,Abies alba,update
Acer,Acer,update
Achillea type,Achillea type,update
Aconitum type,Aconitum type,update
Aesculus hippocastanum,Aesculus hippocastanum,update
Ailanthus altissima,Ailanthus altissima,update
Alchemilla type,Alchemilla type,update
Allium ursinum type,Allium ursinum type,update
Alnus,Alnus,update
Alnus glutinosa,Alnus glutinosa,update
Amaranthaceae,Amaranthaceae,update
Ambrosia,Ambrosia,update
Ambrosia artemisiifolia type,Ambrosia artemisiifolia type,update
Ambrosia type,Ambrosia type,update
Anemone nemorosa type,Anemone nemorosa type,update
Anthemis arvensis type,Anthemis arvensis type,update
Anthriscus sylvestris type,Anthriscus sylvestris type,update
Apiaceae,Apiaceae,update
Artemisia,Artemisia,update
Artemisia vulgaris type,Artemisia vulgaris type,update
Aster type,Aster type,update
Asteraceae,Asteraceae,update
Asteroideae,Asteroideae,update
Atropa bella-donna,Atropa bella-donna,update
Betula,Betula,update
Bidens type,Bidens type,update
Brassicaceae,Brassicaceae,update
Bupleurum falcatum type,Bupleurum falcatum type,update
Calluna vulgaris,Calluna vulgaris,update
Campanula trachelium type,Campanula trachelium type,update
Cannabaceae,Cannabaceae,update
Carex type,Carex type,update
Carpinus,Carpinus,update
Carpinus betulus,Carpinus betulus,update
Caryophyllaceae,Caryophyllaceae,update
Castanea,Castanea,update
Cedrus,Cedrus,update
Centaurea,Centaurea,update
Centaurea cyanus type,Centaurea cyanus type,update
Centaurea jacea type,Centaurea jacea type,update
Centaurea scabiosa type,Centaurea scabiosa type,update
Chaerophyllum hirsutum,Chaerophyllum hirsutum,update
Chrysosplenium,Chrysosplenium,update
Cichorioideae,Cichorioideae,update
Circaea,Circaea,update
Cirsium,Cirsium,update
Cirsium type,Cirsium type,update
Cornus mas type,Cornus mas type,update
Cornus sanguinea,Cornus sanguinea,update
Corylus,Corylus,update
Corylus avellana,Corylus avellana,update
Corylus/Myrica,Corylus/Myrica,update
Crataegus,Crataegus,update
Cuscuta,Cuscuta,update
Cyperaceae,Cyperaceae,update
Daucus type,Daucus type,update
Elaeagnus,Elaeagnus,update
Empetrum nigrum,Empetrum nigrum,update
Empetrum nigrum type,Empetrum nigrum type,update
Empetrum type,Empetrum type,update
Ephedra,Ephedra,update
Epilobium,Epilobium,update
Equisetum,Equisetum,update
Ericales,Ericales,update
Euonymus europaeus,Euonymus europaeus,update
Euphorbia,Euphorbia,update
Fabaceae,Fabaceae,update
Fagus,Fagus,update
Fagus sylvatica,Fagus sylvatica,update
Filipendula,Filipendula,update
Frangula alnus,Frangula alnus,update
Fraxinus,Fraxinus,update
Fraxinus excelsior,Fraxinus excelsior,update
Fraxinus excelsior type,Fraxinus excelsior type,update
Galeopsis type,Galeopsis type,update
Geranium pratense type,Geranium pratense type,update
Geranium robertianum type,Geranium robertianum type,update
Geum type,Geum type,update
Gnaphalium type,Gnaphalium type,update
Hedera helix,Hedera helix,update
Helianthemum nummularium type,Helianthemum nummularium type,update
Heracleum sphondylium type,Heracleum sphondylium type,update
Hippophae rhamnoides,Hippophae rhamnoides,update
Huperzia selago,Huperzia selago,update
Hypericum perforatum,Hypericum perforatum,update
Hypericum perforatum type,Hypericum perforatum type,update
Hypericum pulchrum type,Hypericum pulchrum type,update
Impatiens,Impatiens,update
Impatiens parviflora,Impatiens parviflora,update
Juglans,Juglans,update
Juniperus,Juniperus,update
Juniperus communis,Juniperus communis,update
Juniperus type,Juniperus type,update
Lamiaceae,Lamiaceae,update
Lamium album type,Lamium album type,update
Lamium type,Lamium type,update
Larix,Larix,update
Larix/Pseudotsuga,Larix/Pseudotsuga,update
Lathyrus type,Lathyrus type,update
Ligustrum type,Ligustrum type,update
Linaria,Linaria,update
Linum catharticum,Linum catharticum,update
Littorella uniflora,Littorella uniflora,update
Loranthus europaeus,Loranthus europaeus,update
Lotus pedunculatus,Lotus pedunculatus,update
Lotus type,Lotus type,update
Lycopodium alpinum,Lycopodium alpinum,update
Lycopodium clavatum,Lycopodium clavatum,update
Lysimachia,Lysimachia,update
Lysimachia vulgaris type,Lysimachia vulgaris type,update
Matricaria type,Matricaria type,update
Melampyrum,Melampyrum,update
Melampyrum pratense,Melampyrum pratense,update
Mentha type,Mentha type,update
Mercurialis,Mercurialis,update
Myrica,Myrica,update
Narthecium ossifragum,Narthecium ossifragum,update
Olea,Olea,update
Olea europaea,Olea europaea,update
Osmunda regalis,Osmunda regalis,update
Ostrya type,Ostrya type,update
Parnassia,Parnassia,update
Pedicularis,Pedicularis,update
Persicaria maculosa type,Persicaria maculosa type,update
Petasites type,Petasites type,update
Peucedanum palustre type,Peucedanum palustre type,update
Phyteuma,Phyteuma,update
Picea,Picea,update
Picea abies,Picea abies,update
Pimpinella anisum,Pimpinella anisum,update
Pimpinella major type,Pimpinella major type,update
Pimpinella saxifraga,Pimpinella saxifraga,update
Pinus,Pinus,update
Pinus sylvestris,Pinus sylvestris,update
Plantago,Plantago,update
Plantago lanceolata,Plantago lanceolata,update
Plantago lanceolata type,Plantago lanceolata type,update
Plantago major type,Plantago major type,update
Plantago maritima,Plantago maritima,update
Plantago media,Plantago media,update
Plantago media/Plantago major,Plantago media/Plantago major,update
Plantago media/Plantago major type,Plantago media/Plantago major type,update
Platanus orientalis,Platanus orientalis,update
Poaceae,Poaceae,update
Polygala,Polygala,update
Polygonum,Polygonum,update
Polygonum aviculare,Polygonum aviculare,update
Polypodiaceae,Polypodiaceae,update
Polypodiales,Polypodiales,update
Polypodiophyta,Polypodiales,update
Polypodium,Polypodium,update
Populus,Populus,update
Potentilla type,Potentilla type,update
Prunus,Prunus,update
Prunus type,Prunus type,update
Pteridium aquilinum,Pteridium aquilinum,update
Pulmonaria type,Pulmonaria type,update
Quercus,Quercus,update
Quercus deciduous,Quercus deciduous,update
Quercus evergreen,Quercus evergreen,update
Ranunculaceae,Ranunculaceae,update
Ranunculus,Ranunculus,update
Ranunculus acris type,Ranunculus acris type,update
Ranunculus type,Ranunculus type,update
Rhamnus type,Rhamnus type,update
Rhinanthus type,Rhinanthus type,update
Ribes,Ribes,update
Rosaceae,Rosaceae,update
Rubiaceae,Rubiaceae,update
Rubus,Rubus,update
Rumex,Rumex,update
Rumex acetosa type,Rumex acetosa type,update
Rumex acetosella,Rumex acetosella,update
Rumex acetosella type,Rumex acetosella type,update
Rumex obtusifolius type,Rumex obtusifolius type,update
Rumex type,Rumex type,update
Salix,Salix,update
