taxon_name,clean_name,action
?Ilex sp,Ilex,update
Acacia groupe III,Acacia,update
Acacia sp,Acacia,update
Acalypha-type,Acalypha type,update
Acardiaceae,Anacardiaceae,update
Achyranthes,Achyranthes,update
Adi,Adina,update
Aeschynomene-type baumii,Aeschynomene baumii type,update
Afrocrania,Cornus,update
Aidia,Aidia,update
Aizoaceae-type,Aizoaceae,update
Alchornea cf latifolia,Alchornea latifolia type,update
Alchornea sp,Alchornea,update
Alternthera,Alternanthera,update
Amaranth/Chenopod,Amaranthaceae,update
Amaranthaceae/Chenopod,Amaranthaceae,update
Amaranthaceae/Chenopodiaceae,Amaranthaceae,update
Ambrosia maritima,Ambrosia maritima,update
Ambrosieae,Asteroideae,update
Ancistrophyllum seclorum,Ancistrophyllum secundiflorum,update
Anemia sp.,Anemia,update
Anopyxis,Anopyxis,update
Anthocleista sp,Anthocleista,update
Anthonota,Anthonotha,update
Anthonotha sp,Anthonotha,update
Anthospermum-type,Anthospermum type,update
Anthostema,Anthostema,update
Antiaris,Antiaris,update
Antidesma sp,Antidesma,update
Antidesma venosum,Antidesma venosum,update
Asclepidaceae,Asclepiadaceae,update
Asphodelaceae,Asphodelaceae,update
Asteraceae (echite),Asteraceae,update
Asteraceae HS,Asteraceae,update
Asteraceae-Lactucoideae,Cichorioideae,update
Asteraceae-ordinary long spine,Asteraceae,update
Asteraceae/Compositae,Asteraceae,update
Barbeyaceae,Barbeyaceae,update
Basilicum sp,Basilicum,update
Bauhinia sp,Bauhinia,update
Berlinia,Berlinia,update
Berlinia/Isoberlinia sp,Berlinia/Isoberlinia,update
Bignoniaceae-Rhigosum,Rhigozum type,update
Bigoniaceae,Bigoniaceae,update
Blechnaceae,Aspleniaceae,update
Blepharis,Blepharis,update
Boragiceae,Boraginaceae,update
Borassus-type,Borassus type,update
Borassus-type aethiopium,Borassus aethiopum type,update
Borreria,Borreria,update
Bosqueia,Trilepisium,update
Bosqueia angolensis,Trilepisium madagascariense,update
Brachylae,Brachylaena,update
Brachystegia sp,Brachystegia,update
Bridelia micrantha,Bridelia micrantha,update
Bridelia micrantha-t,Bridelia micrantha type,update
Bridelia sp,Bridelia,update
Bruniaceae,Bruniaceae,update
Burkea,Burkea,update
Burkea sp,Burkea,update
Burseraceae,Burseraceae,update
Caesalpiniaceae,Caesalpinoideae,update
Caesalpinioideae,Caesalpinoideae,update
Calamus deeratus,Calamus deerratus,update
Canthium schimperianum-type,Psydrax schimperianus type,update
Canthium subcordata,Psydrax subcordatus,update
Capparidaceae,Capparaceae,update
Carapa-t grandiflora,Carapa grandiflora type,update
Cassine sp type,Cassine type,update
Cassine-type,Cassine type,update
Casuari,Casuarina,update
Casuarinia sp,Casuarina,update
Celastraceae-Cassine,Cassine,update
Celastraceae-Gymnosporia,Gymnosporia,update
Celastraceae-Maytenus,Maytenus,update
Celosia sp,Celosia,update
Celosia sp type,Celosia type,update
Celosia-type trigy,Celosia trigyna type,update
Celtis africa-type,Celtis africana type,update
Celtis sp,Celtis,update
cf Cyathea spore,Cyathea type,update
cf Eichhornia sp,Pontederia type,update
cf Ericaceae,Ericaceae,update
cf Morinda lucida,Morinda lucida type,update
cf. Cleome,Cleome type,update
cf. Juniperus procera,Juniperus procera type,update
Chaetacme,Chaetachme,update
ChenoAmar,Amaranthaceae,update
Chenopodiacea/Amaranthaceae,Amaranthaceae,update
Chenopodiaceae/Amaranthaceae,Amaranthaceae,update
Chlorophora,Chlorophora,update
Chlorophora-type excelsa,Milicia excelsa type,update
Chrolophora-t excelsa,Milicia excelsa type,update
Cichoriae,Cichorioideae,update
Cichorieae,Cichorioideae,update
Cissampelos type mucronata,Cissampelos mucronata type,update
Cissus-type,Cissus type,update
Cleome,Cleome,update
Clerodendron,Clerodendrum,update
Cliffortia nitidula,Cliffortia nitidula,update
Cnestis,Cnestis,update
Cnestis ferruginea-type,Cnestis ferruginea type,update
Colophospermum,Colophospermum,update
Combretum,Combretum,update
Combretum aculeatum-type,Combretum aculeatum type,update
Combretum molle-type,Combretum molle  type,update
Commeli benghalensis,Commelina benghalensis,update
Commeli-type benghalensis,Commelina benghalensis type,update
Commeli-type forskalaei,Commelina forskaolii type,update
Commelicea,Commelinaceae,update
Commelina sp,Commelina,update
Comp.tub.,Asteroideae,update
Compositae,Asteraceae,update
"Compositae (except Artemesia, Stoebe)",Asteraceae,update
Compositae tubuliflorae,Asteroideae,update
Convolvulaceae-Ipomoea,Ipomoea,update
Crassularia,Crassula,update
Crinum-type tans,Crinum natans type,update
Crossopterix febrifuga,Crossopterix febrifuga,update
Crossopteryx,Crossopteryx,update
Crossopteryx-type,Crossopteryx type,update
Crotalaria-type,Crotalaria type,update
Croton-t,Croton type,update
Crudia,Crudia,update
Cupressus lusitanica,Cupressus lusitanica,update
Cyatheaceae,Cyatheaceae,update
Cyathula sp,Cyathula,update
Daniella cf oliverii,Daniellia oliveri type,update
Dendrosenecio,Dendrosenecio,update
Desmodium-type,Desmodium type,update
Dialium-type,Dialium type,update
Dichostema glaucescens-type,Dichostema glaucescens type,update
Diospyros sp,Diospyros,update
Dobera glabra-type,Dobera glabra type,update
Dodoea,Dodonaea,update
Dodoea angustifolia,Dodonaea viscosa subsp angustifolia type,update
Dodoea viscosa,Dodonaea viscosa,update
Dodoea viscosa-type,Dodonaea viscosa type,update
Dombeya,Dombeya,update
Dombeya-t,Dombeya type,update
Dryopteris sp,Dryopteris,update
Drypetes,Drypetes,update
Ebeceae,Ebenaceae,update
Eichhornia sp,Pontederia,update
Eichhornia type,Pontederia type,update
Elaeis,Elaeis,update
Encephalatos,Encephalartos,update
Entada,Entada,update
Entada sp,Entada,update
Eriocaulaceae,Eriocaulaceae,update
Erythrococca,Erythrococca,update
Erythrococca-t,Erythrococca type,update
Erythrophleum,Erythrophleum,update
Erythrophleum sp,Erythrophleum,update
Erythrophluem cf ivorense,Erythrophleum ivorense type,update
Eugenia,Eugenia,update
Euphorbia cf hirta,Euphorbia hirta type,update
Euphorbia hypericifolia,Euphorbia hypericifolia,update
Euphorbiaceae type 1,Euphorbiaceae,update
Euphorbiaceae-Acalypha,Acalypha,update
Euphorbiaceae-Croton,Croton,update
