taxon_name,clean_name,action
Acer,Acer,update
Aegopodium,Aegopodium,update
Aesculus h,Aesculus hippocastanum,update
Agrostemma,Agrostemma,update
Alchemilla,Alchemilla,update
Allium p.p,Allium,update
Allium vin,Allium vineale,update
Alnus,Alnus,update
Anagallis,Anagallis,update
Anemone ne,Anemone nemorosa,update
Angelica s,Angelica sylvestris,update
Anthemis t,Anthemis type,update
Anthriscus,Anthriscus,update
Anthyllis,Anthyllis,update
Apiaceae c,Apiaceae,update
Apiaceae u,Apiaceae,update
Armeria,Armeria,update
Artemisia,Artemisia,update
Aster type,Aster type,update
Athyrium f,Athyrium filix-femina,update
Betula,Betula,update
Bidens typ,Bidens type,update
Botrychium,Botrychium,update
Calluna,Calluna,update
Campanula,Campanula,update
Carpinus,Carpinus,update
Centaurea,Centaurea,update
Cerastium,Cerastium,update
Chaerophyl,Chaerophyllum,update
Chenopodia,Amaranthaceae,update
Chrysosple,Chrysosplenium,update
Cichorium,Cichorium,update
Cirsium,Cirsium,update
Conium mac,Conium maculatum,update
Cornus san,Cornus sanguinea,update
Corylus,Corylus,update
Cotoneaste,Cotoneaster,update
Crataegus,Crataegus,update
Cyperaceae,Cyperaceae,update
Daucus car,Daucus carota,update
Dianthus t,Dianthus,update
Dryopteris,Dryopteris,update
Empetrum,Empetrum,update
Epilobium,Epilobium,update
Equisetum,Equisetum,update
Erica tetr,Erica tetralix,update
Ericaceae,Ericaceae,update
Eriophorum,Eriophorum,update
Euonymus e,Euonymus europaeus,update
Euphorbia,Euphorbia,update
Fagus,Fagus,update
Fallopia c,Fallopia,update
Filipendul,Filipendula,update
Fragaria,Fragaria,update
Frangula a,Frangula alnus,update
Fraxinus e,Fraxinus excelsior,update
Galium typ,Galium type,update
Genista ty,Genista type,update
Gentianell,Gentianella,update
Geranium t,Geranium type,update
Geum urban,Geum urbanum,update
Glaux,Lysimachia maritima,update
Globularia,Globularia,update
Gramineae,Poaceae,update
Gymnocarpi,Gymnocarpium,update
Gypsophila,Gypsophila,update
Hedera,Hedera,update
Helianthem,Helianthemum,update
Heracleum,Heracleum,update
Hornungia,Hornungia,update
Hypericum,Hypericum,update
Impatiens,Impatiens,update
Jasione,Jasione,update
Juglans re,Juglans regia,update
Juncaceae,Juncaceae,update
Juniperus,Juniperus,update
Knautia,Knautia,update
Lamium,Lamium,update
Ligusticum,Ligusticum,update
Ligustrum,Ligustrum,update
Linaria,Linaria,update
Linum cath,Linum catharticum,update
Linum usit,Linum usitatissimum,update
Lonicera,Lonicera,update
Lotus type,Lotus type,update
Lychnis fl,Silene flos-cuculi,update
Lycopodium,Lycopodium,update
Lysimachia,Lysimachia,update
Lythrum sa,Lythrum salicaria,update
Matteuccia,Matteuccia,update
Medicago s,Medicago sativa,update
Melampyrum,Melampyrum,update
Mentha typ,Mentha type,update
Mercuriali,Mercurialis,update
Myosotis d,Myosotis,update
Myrica,Myrica,update
Oenanthe f,Oenanthe fistulosa,update
Ononis typ,Ononis type,update
Ophiogloss,Ophioglossum,update
Peucedanum,Peucedanum,update
Picea abie,Picea abies,update
Pimpinella,Pimpinella,update
Pinus,Pinus,update
Plantago c,Plantago coronopus,update
Plantago l,Plantago lanceolata,update
Plantago m,Plantago m,update
Polygala v,Polygala vulgaris,update
Polygonum,Polygonum,update
Polypodiac,Polypodiaceae,update
Polypodium,Polypodium,update
Populus,Populus,update
Potentilla,Potentilla,update
Primula ve,Primula veris,update
Prunella t,Prunella type,update
Prunus,Prunus,update
Prunus avi,Prunus avium,update
Pteridium,Pteridium,update
Quercus,Quercus,update
Ranunculac,Ranunculaceae,update
Ranunculus,Ranunculus,update
Reseda lut,Reseda lutea,update
Rhamnus ca,Rhamnus cathartica,update
Rhinanthus,Rhinanthus,update
Rosa,Rosa,update
Rosaceae c,Rosaceae,update
Rosaceae u,Rosaceae,update
Rubus,Rubus,update
Rumex acet,Rumex acetosa,update
Rumex obtu,Rumex obtusifolius,update
Sagina,Sagina,update
Salix,Salix,update
Sambucus n,Sambucus nigra,update
Sambucus r,Sambucus racemosa,update
Sanicula e,Sanicula europaea,update
Saxifraga,Saxifraga,update
Scabiosa,Scabiosa,update
Schoenople,Schoenoplectus,update
Scilla typ,Scilla type,update
Scleranthu,Scleranthus,update
Scorzonera,Scorzonera,update
Scrophular,Scrophulariaceae,update
Sedum,Sedum,update
Serratula,Serratula,update
Silene dio,Silene dioica,update
Sinapis ty,Sinapis type,update
Solanum,Solanum,update
Sonchus ol,Sonchus oleraceus,update
Sorbus cf.,Sorbus type,update
Spergula t,Spergula type,update
Stachys sy,Stachys sylvatica,update
Stellaria,Stellaria,update
Succisa pr,Succisa pratensis,update
Symphytum,Symphytum,update
Thalictrum,Thalictrum,update
Tilia,Tilia,update
Trientalis,Trientalis,update
Trifolium,Trifolium,update
Trollius,Trollius,update
Ulmus,Ulmus,update
Urtica,Urtica,update
Vaccinium,Vaccinium,update
Valeriana,Valeriana,update
Valerianel,Valerianella,update
Veronica,Veronica,update
Veronica c,Veronica,update
Viburnum,Viburnum,update
Vicia crac,Vicia cracca,update
Vicia sylv,Vicia sylvatica,update
Vicia type,Vicia type,update
Viola,Viola,update
Viola arve,Viola arvensis,update
Viola cani,Viola canina,update
Viola palu,Viola palustris,update
Avena type,Avena type,delete
Caltha pal,Caltha pal,delete
Cannabis t,Cannabis t,delete
Cerealia u,Cerealia u,delete
Comarum pa,Comarum pa,delete
Fagopyrum,Fagopyrum,delete
Hordeum ty,Hordeum ty,delete
Hydrocotyl,Hydrocotyl,delete
Menyanthes,Menyanthes,delete
Pediastrum,Pediastrum,delete
Picea stom,Picea stom,delete
Pinus stom,Pinus stom,delete
Potamogeto,Potamogeto,delete
Secale,Secale,delete
Sparganium,Sparganium,delete
Sphagnum,Sphagnum,delete
Triglochin,Triglochin,delete
Triticum t,Triticum t,delete
Typha lati,Typha lati,delete
Zea mays,Zea mays,delete
